WBO2_Ctrl,WBO2_Comp,i27_Ctrl,i27_Comp,1019_Ctrl,1019_Comp
75.0,71,28.0,3.0,23.0,11.0
86.0,60,47.0,0.0,104.0,18.0
102.0,34,15.0,7.0,68.0,17.0
109.0,57,55.0,9.0,22.0,11.0
133.0,46,64.0,4.0,129.0,2.0
149.0,13,41.0,4.0,153.0,3.0
75.0,1,24.0,8.0,88.0,1.0
9.0,7,11.0,2.0,25.0,2.0
31.0,4,10.0,1.0,9.0,10.0
8.0,11,7.0,0.0,17.0,8.0
17.0,5,8.0,2.0,7.0,11.0
29.0,4,2.0,0.0,15.0,0.0
29.0,5,5.0,3.0,12.0,7.0
95.0,5,4.0,7.0,20.0,35.0
119.0,81,45.0,27.0,28.0,31.0
124.0,106,49.0,26.0,28.0,32.0
100.0,89,41.0,32.0,30.0,70.0
107.0,90,59.0,23.0,38.0,68.0
95.0,85,31.0,16.0,31.0,0.0
132.0,130,38.0,22.0,13.0,4.0
30.0,131,79.0,28.0,6.0,3.0
52.0,3,50.0,0.0,1.0,0.0
44.0,13,5.0,2.0,7.0,0.0
64.0,59,0.0,8.0,10.0,0.0
73.0,84,2.0,1.0,3.0,9.0
43.0,25,2.0,0.0,6.0,
96.0,7,13.0,29.0,,
87.0,69,1.0,2.0,,
175.0,111,2.0,32.0,,
228.0,122,30.0,17.0,,
210.0,141,11.0,6.0,,
166.0,107,57.0,5.0,,
163.0,114,37.0,7.0,,
211.0,88,36.0,4.0,,
160.0,129,56.0,5.0,,
117.0,78,104.0,3.0,,
129.0,67,17.0,0.0,,
127.0,54,12.0,1.0,,
154.0,28,9.0,24.0,,
180.0,92,7.0,1.0,,
41.0,57,23.0,2.0,,
16.0,61,45.0,8.0,,
30.0,50,17.0,1.0,,
56.0,25,1.0,96.0,,
101.0,16,16.0,64.0,,
32.0,7,19.0,40.0,,
15.0,37,2.0,1.0,,
73.0,38,9.0,1.0,,
68.0,2,1.0,1.0,,
72.0,17,8.0,,,
48.0,18,,,,
33.0,63,,,,
104.0,11,,,,
72.0,66,,,,
,104,,,,
,43,,,,
