WBO2_Ctrl,WBO2_Comp,i27_Ctrl,i27_Comp,1019_Ctrl,1019_Comp
757.0,39,3.0,1.0,31.0,519.0
676.0,145,20.0,46.0,43.0,703.0
766.0,241,2.0,98.0,117.0,804.0
412.0,265,139.0,489.0,234.0,817.0
587.0,393,333.0,256.0,82.0,946.0
722.0,547,742.0,219.0,166.0,866.0
840.0,585,528.0,58.0,287.0,843.0
53.0,69,76.0,1.0,357.0,321.0
157.0,293,67.0,347.0,318.0,358.0
63.0,179,244.0,87.0,392.0,381.0
133.0,119,361.0,182.0,424.0,286.0
196.0,593,374.0,291.0,540.0,311.0
174.0,514,256.0,82.0,559.0,386.0
11.0,177,268.0,70.0,762.0,261.0
6.0,38,182.0,145.0,142.0,268.0
3.0,71,143.0,60.0,178.0,227.0
20.0,167,173.0,49.0,283.0,389.0
5.0,353,171.0,93.0,337.0,567.0
12.0,381,299.0,111.0,361.0,146.0
21.0,463,229.0,68.0,43.0,87.0
80.0,26,117.0,154.0,121.0,103.0
20.0,266,246.0,215.0,118.0,155.0
55.0,208,6.0,216.0,154.0,97.0
103.0,98,29.0,95.0,189.0,185.0
86.0,98,35.0,203.0,154.0,126.0
87.0,0,64.0,254.0,284.0,
41.0,428,71.0,306.0,,
13.0,153,78.0,312.0,,
12.0,247,144.0,349.0,,
8.0,85,284.0,371.0,,
8.0,74,254.0,883.0,,
11.0,40,309.0,412.0,,
18.0,496,330.0,533.0,,
20.0,969,267.0,309.0,,
36.0,99,390.0,702.0,,
58.0,306,157.0,107.0,,
55.0,256,279.0,144.0,,
40.0,362,309.0,186.0,,
49.0,256,361.0,388.0,,
54.0,127,358.0,241.0,,
121.0,223,683.0,220.0,,
75.0,112,278.0,515.0,,
113.0,201,595.0,104.0,,
54.0,230,116.0,141.0,,
78.0,317,233.0,212.0,,
121.0,317,194.0,111.0,,
92.0,38,259.0,240.0,,
30.0,298,200.0,441.0,,
38.0,347,356.0,344.0,,
58.0,382,358.0,,,
92.0,395,,,,
116.0,49,,,,
152.0,300,,,,
80.0,43,,,,
,53,,,,
,77,,,,
