WBO2_Ctrl,WBO2_Comp,i27_Ctrl,i27_Comp,1019_Ctrl,1019_Comp
17.0,24,0.0,0.0,0.0,4.0
29.0,43,0.0,6.0,3.0,0.0
12.0,40,0.0,55.0,1.0,1.0
10.0,110,0.0,30.0,0.0,13.0
8.0,62,0.0,22.0,0.0,2.0
13.0,13,2.0,16.0,6.0,4.0
5.0,62,8.0,2.0,6.0,14.0
0.0,1,2.0,0.0,4.0,4.0
0.0,110,1.0,0.0,1.0,5.0
0.0,63,1.0,1.0,4.0,7.0
0.0,4,0.0,0.0,4.0,50.0
7.0,464,1.0,0.0,2.0,17.0
5.0,399,3.0,0.0,1.0,3.0
8.0,73,1.0,0.0,0.0,0.0
2.0,21,14.0,13.0,0.0,2.0
0.0,46,0.0,18.0,1.0,0.0
13.0,111,36.0,17.0,0.0,0.0
4.0,304,6.0,48.0,0.0,24.0
3.0,344,16.0,41.0,2.0,118.0
4.0,395,19.0,39.0,0.0,55.0
21.0,13,9.0,15.0,11.0,60.0
5.0,126,31.0,112.0,2.0,15.0
37.0,93,0.0,106.0,2.0,69.0
21.0,50,0.0,8.0,7.0,167.0
15.0,85,0.0,30.0,7.0,83.0
11.0,0,1.0,174.0,12.0,
0.0,332,3.0,22.0,,
0.0,133,6.0,52.0,,
6.0,126,2.0,0.0,,
2.0,64,1.0,5.0,,
4.0,31,0.0,606.0,,
6.0,28,15.0,86.0,,
5.0,407,10.0,28.0,,
9.0,793,17.0,62.0,,
4.0,85,5.0,25.0,,
23.0,240,11.0,37.0,,
0.0,122,2.0,82.0,,
6.0,266,8.0,42.0,,
0.0,52,10.0,29.0,,
0.0,22,46.0,27.0,,
6.0,25,4.0,77.0,,
20.0,35,1.0,36.0,,
33.0,95,6.0,54.0,,
9.0,136,1.0,79.0,,
53.0,161,0.0,111.0,,
71.0,134,1.0,56.0,,
14.0,15,1.0,185.0,,
7.0,148,0.0,296.0,,
17.0,157,1.0,5.0,,
7.0,233,1.0,,,
16.0,287,,,,
15.0,12,,,,
95.0,213,,,,
21.0,3,,,,
,13,,,,
,27,,,,
