TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
HUMAN_PWY66-400	glycolysis	6.53222933261652e-05	-9.6361771813821	15	7	0.0958904109589041	73	902	5315,226,5230,3098,230,5214,2026	PKM,ALDOA,PGK1,HK1,ALDOC,PFKP,ENO2
META_ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	6.53222933261652e-05	-9.6361771813821	15	7	0.0958904109589041	73	902	5315,5230,226,3098,5214,2026,230	PKM,PGK1,ALDOA,HK1,PFKP,ENO2,ALDOC
META_ANAEROFRUCAT-PWY	homolactic fermentation	6.53222933261652e-05	-9.6361771813821	15	7	0.0958904109589041	73	902	5230,226,3098,5315,230,5214,2026	PGK1,ALDOA,HK1,PKM,ALDOC,PFKP,ENO2
HUMAN_UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II	0.00452441327222352	-5.39826737383431	5	3	0.0410958904109589	73	902	9945,91373,6675	GFPT2,UAP1L1,UAP1
HUMAN_PWY66-407	superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle	0.00594450688190684	-5.12528769897321	36	8	0.10958904109589	73	902	2026,5214,230,226,5230,3098,5315,6392	ENO2,PFKP,ALDOC,ALDOA,PGK1,HK1,PKM,SDHD
HUMAN_PWY-5067	glycogen biosynthesis	0.0140543856632899	-4.26482078505671	7	3	0.0410958904109589	73	902	55276,2632,2997	PGM2,GBE1,GYS1
META_PWY-5661	GDP-glucose biosynthesis	0.0183815469876627	-3.99640799869422	3	2	0.0273972602739726	73	902	55276,3098	PGM2,HK1
HUMAN_PWY-5661-1	GDP-glucose biosynthesis II	0.0183815469876627	-3.99640799869422	3	2	0.0273972602739726	73	902	3098,55276	HK1,PGM2
META_PWY66-399	gluconeogenesis III	0.0271778856124932	-3.60535166531993	15	4	0.0547945205479452	73	902	5230,226,2026,230	PGK1,ALDOA,ENO2,ALDOC
HUMAN_PWY66-399	gluconeogenesis	0.0271778856124932	-3.60535166531993	15	4	0.0547945205479452	73	902	226,5230,230,2026	ALDOA,PGK1,ALDOC,ENO2
HUMAN_PWY66-423	fructose 2,6-bisphosphate synthesis	0.0348414756609022	-3.35694677253021	4	2	0.0273972602739726	73	902	5210,5209	PFKFB4,PFKFB3
HUMAN_PWY-5874	heme degradation	0.0348414756609022	-3.35694677253021	4	2	0.0273972602739726	73	902	3162,645	HMOX1,BLVRB
META_PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)	0.0348414756609022	-3.35694677253021	4	2	0.0273972602739726	73	902	2997,2632	GYS1,GBE1
META_PWY66-423	fructose 2,6-bisphosphate biosynthesis	0.0348414756609022	-3.35694677253021	4	2	0.0273972602739726	73	902	5210,5209	PFKFB4,PFKFB3
META_PWY66-373	sucrose degradation V (sucrose alpha-glucosidase)	0.0348414756609022	-3.35694677253021	4	2	0.0273972602739726	73	902	230,226	ALDOC,ALDOA
HUMAN_PWY66-367	ketogenesis	0.0550528505868052	-2.89946163537742	5	2	0.0273972602739726	73	902	3155,56898	HMGCL,BDH2
HUMAN_PWY66-373	sucrose degradation	0.0783173373325536	-2.54698627862389	6	2	0.0273972602739726	73	902	230,226	ALDOC,ALDOA
META_PWY-841	superpathway of purine nucleotides de novo biosynthesis I	0.080717054616089	-2.51680539250132	13	3	0.0410958904109589	73	902	3615,10606,5471	IMPDH2,PAICS,PPAT
HUMAN_MANNCAT-PWY	D-mannose degradation	0.0809312638581924	-2.51415507891301	1	1	0.0136986301369863	73	902	4351	MPI
HUMAN_PWY-2161B	glutamate removal from folates	0.0809312638581924	-2.51415507891301	1	1	0.0136986301369863	73	902	8836	GGH
HUMAN_BGALACT-PWY	lactose degradation III	0.0809312638581924	-2.51415507891301	1	1	0.0136986301369863	73	902	2720	GLB1
META_PWY-6567	chondroitin sulfate biosynthesis (late stages)	0.104022518000447	-2.2631478840426	7	2	0.0273972602739726	73	902	56548,9469	CHST7,CHST3
HUMAN_PWY-5514	UDP-N-acetyl-D-galactosamine biosynthesis II	0.104022518000447	-2.2631478840426	7	2	0.0273972602739726	73	902	6675,91373	UAP1,UAP1L1
HUMAN_PWY-6567	chondroitin sulfate biosynthesis (late stages)	0.131632849861139	-2.02773867223495	8	2	0.0273972602739726	73	902	9469,56548	CHST3,CHST7
HUMAN_PWY-2201	folate transformations I	0.131632849861139	-2.02773867223495	8	2	0.0273972602739726	73	902	6472,10797	SHMT2,MTHFD2
HUMAN_PWY-7433	mucin core 1 and core 2 O-glycosylation	0.136574534251691	-1.99088477490796	25	4	0.0547945205479452	73	902	79695,6482,374378,6484	GALNT12,ST3GAL1,GALNT18,ST3GAL4
HUMAN_PWY-6367	D-myo-inositol-5-phosphate metabolism	0.152438453125405	-1.88099435046036	17	3	0.0410958904109589	73	902	5335,5333,5331	PLCG1,PLCD1,PLCB3
META_PWY-5340	sulfate activation for sulfonation	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	9060	PAPSS2
META_PWY-7343	UDP-glucose biosynthesis	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	55276	PGM2
META_PWY-4041	gamma-glutamyl cycle	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	2729	GCLC
HUMAN_PWY-6124	inosine-5'-phosphate biosynthesis	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	10606	PAICS
HUMAN_PWY-1801	formaldehyde oxidation	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	128	ADH5
HUMAN_PWY0-662	PRPP biosynthesis	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	5634	PRPS2
META_PWY0-662	PRPP biosynthesis I	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	5634	PRPS2
HUMAN_PWY66-14	MAP kinase cascade	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	5604	MAP2K1
HUMAN_PWY-6121	5-aminoimidazole ribonucleotide biosynthesis	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	5471	PPAT
HUMAN_GLYSYN-PWY	glycine/serine biosynthesis	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	6472	SHMT2
META_PWY-5874	heme degradation	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	3162	HMOX1
HUMAN_PWY-5340	sulfate activation for sulfonation	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	9060	PAPSS2
META_SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	6472	SHMT2
HUMAN_PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	253430	IPMK
META_PWY-6124	inosine-5'-phosphate biosynthesis II	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	10606	PAICS
META_PWY-6365	D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	253430	IPMK
META_PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	0.155395212510785	-1.86178364904706	2	1	0.0136986301369863	73	902	5471	PPAT
META_PWY-6569	chondroitin sulfate biosynthesis	0.17280276096726	-1.75560444492003	18	3	0.0410958904109589	73	902	22856,9469,56548	CHSY1,CHST3,CHST7
HUMAN_LIPASYN-PWY	phospholipases	0.201768028483164	-1.60063661531314	29	4	0.0547945205479452	73	902	5335,5333,201164,5331	PLCG1,PLCD1,PLD6,PLCB3
HUMAN_PWY-6309	L-kynurenine degradation	0.221526362348085	-1.50721367920611	11	2	0.0273972602739726	73	902	56267,125061	KYAT3,AFMID
HUMAN_NADSYN-PWY	NAD de novo biosynthesis	0.221526362348085	-1.50721367920611	11	2	0.0273972602739726	73	902	55191,125061	NADSYN1,AFMID
HUMAN_HEME-BIOSYNTHESIS-II	heme biosynthesis from uroporphyrinogen-III I	0.223902045275704	-1.49654662064602	3	1	0.0136986301369863	73	902	1371	CPOX
HUMAN_NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	0.223902045275704	-1.49654662064602	3	1	0.0136986301369863	73	902	6120	RPE
META_PWY0-1296	purine ribonucleosides degradation	0.223902045275704	-1.49654662064602	3	1	0.0136986301369863	73	902	55276	PGM2
HUMAN_PWY-6554	1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	0.223902045275704	-1.49654662064602	3	1	0.0136986301369863	73	902	253430	IPMK
