TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
human chr14q22.1	human chr14q22.1	9.39386243045534e-05	-9.27286892187809	27	7	0.00639853747714808	1094	26134	114088,81542,5836,5732,60485,10979,30001	TRIM9,TMX1,PYGL,PTGER2,SAV1,FERMT2,ERO1A
human chr1p34.2	human chr1p34.2	0.000112927700504673	-9.08876276256589	68	11	0.010054844606947	1094	26134	84879,64175,284716,656,440584,6018,5792,54802,6513,84217,4610	MFSD2A,P3H1,RIMKLA,BMP8B,SLC2A1-DT,RLF,PTPRF,TRIT1,SLC2A1,ZMYND12,MYCL
human chr8p21.3	human chr8p21.3	0.00570870882618597	-5.16576240589555	52	7	0.00639853747714808	1094	26134	63898,8793,23039,80346,55806,4023,2675	SH2D4A,TNFRSF10D,XPO7,REEP4,HR,LPL,GFRA2
human chr8p21.2	human chr8p21.2	0.00654623457385895	-5.02886526885852	29	5	0.00457038391224863	1094	26134	6781,665,10687,54793,81551	STC1,BNIP3L,PNMA2,KCTD9,STMN4
human chr4q34.1	human chr4q34.1	0.00715363077944562	-4.94013524984261	19	4	0.0036563071297989	1094	26134	3148,80817,8819,26269	HMGB2,CEP44,SAP30,FBXO8
human chr1q42.3	human chr1q42.3	0.00715363077944562	-4.94013524984261	19	4	0.0036563071297989	1094	26134	7107,359948,9804,56605	GPR137B,IRF2BP2,TOMM20,ERO1B
human chr11q13.5	human chr11q13.5	0.00865026819207042	-4.75016495365536	20	4	0.0036563071297989	1094	26134	871,25987,7481,2615	SERPINH1,TSKU,WNT11,LRRC32
human chr10p11.22	human chr10p11.22	0.00937756164664269	-4.66943550214099	11	3	0.00274223034734918	1094	26134	8829,220930,94134	NRP1,ZEB1-AS1,ARHGAP12
human chr3p11.1	human chr3p11.1	0.00992879891611062	-4.61231576331517	4	2	0.00182815356489945	1094	26134	2042,55279	EPHA3,ZNF654
human chr17q24.2	human chr17q24.2	0.0100130907425538	-4.60386196782337	32	5	0.00457038391224863	1094	26134	26207,284018,9931,9120,786	PITPNC1,C17orf58,HELZ,SLC16A6,CACNG1
human chr4q21.23	human chr4q21.23	0.0121187165850614	-4.41300419626962	12	3	0.00274223034734918	1094	26134	84803,1040,10855	GPAT3,CDS1,HPSE
human chr8q11.23	human chr8q11.23	0.0121187165850614	-4.41300419626962	12	3	0.00274223034734918	1094	26134	2831,4986,115294	NPBWR1,OPRK1,PCMTD1
