TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.60.120.650	Cupin	7.08338178983223e-07	-14.1603442033619	30	11	0.0125570776255708	876	14470	5927,55818,80853,55806,84678,10765,23135,23210,8242,23030,23081	KDM5A,KDM3A,KDM7A,HR,KDM2B,KDM5B,KDM6B,JMJD6,KDM5C,KDM4B,KDM4C
2.60.120.620	q2cbj1_9rhob like domain	0.00047835765873854	-7.64515186522605	18	6	0.00684931506849315	876	14470	5351,5352,5033,8974,54583,64175	PLOD1,PLOD2,P4HA1,P4HA2,EGLN1,P3H1
1.20.5.170	-	0.00115623974208284	-6.76258214088913	167	21	0.023972602739726	876	14470	3726,9935,1386,1628,114088,1051,1649,28964,4783,23764,9025,2355,23062,55509,1054,3727,3725,7494,9586,7431,467	JUNB,MAFB,ATF2,DBP,TRIM9,CEBPB,DDIT3,GIT1,NFIL3,MAFF,RNF8,FOSL2,GGA2,BATF3,CEBPG,JUND,JUN,XBP1,CREB5,VIM,ATF3
2.10.110.10	Cysteine Rich Protein	0.00135103596680714	-6.60688359799935	73	12	0.0136986301369863	876	14470	4026,1466,2274,4005,26136,64211,8994,10529,4004,2273,5829,22998	LPP,CSRP2,FHL2,LMO2,TES,LHX5,LIMD1,NEBL,LMO1,FHL1,PXN,LIMCH1
1.20.140.20	Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain	0.0020162476621845	-6.20651708801245	5	3	0.00342465753424658	876	14470	5165,10295,5163	PDK3,BCKDK,PDK1
6.10.140.1740	-	0.0020162476621845	-6.20651708801245	5	3	0.00342465753424658	876	14470	51147,3621,3622	ING4,ING1,ING2
3.90.20.20	-	0.00366104537394786	-5.61000655105363	2	2	0.00228310502283105	876	14470	80273,134266	GRPEL1,GRPEL2
1.20.58.1480	-	0.00366104537394786	-5.61000655105363	2	2	0.00228310502283105	876	14470	51185,9361	CRBN,LONP1
2.10.10.100	-	0.00366104537394786	-5.61000655105363	2	2	0.00228310502283105	876	14470	6675,91373	UAP1,UAP1L1
6.10.250.1020	-	0.00366104537394786	-5.61000655105363	2	2	0.00228310502283105	876	14470	665,664	BNIP3L,BNIP3
2.30.22.10	Head domain of nucleotide exchange factor GrpE	0.00366104537394786	-5.61000655105363	2	2	0.00228310502283105	876	14470	80273,134266	GRPEL1,GRPEL2
2.40.240.130	-	0.00385113165560617	-5.55938823735224	6	3	0.00342465753424658	876	14470	8313,1856,1855	AXIN2,DVL2,DVL1
6.10.140.210	-	0.00385113165560617	-5.55938823735224	6	3	0.00342465753424658	876	14470	5909,6494,23108	RAP1GAP,SIPA1,RAP1GAP2
3.90.640.90	Anti-proliferative protein, N-terminal domain	0.00385113165560617	-5.55938823735224	6	3	0.00342465753424658	876	14470	10950,694,7832	BTG3,BTG1,BTG2
2.60.120.260	Galactose-binding domain-like	0.00556343459020561	-5.19153962938618	97	13	0.0148401826484018	876	14470	285761,2042,2043,8828,284217,2720,4289,2046,5125,8829,10178,4126,23353	DCBLD1,EPHA3,EPHA4,NRP2,LAMA1,GLB1,MKLN1,EPHA8,PCSK5,NRP1,TENM1,MANBA,SUN1
4.10.1000.10	Zinc finger, CCCH-type	0.00577820966566944	-5.15366139070316	28	6	0.00684931506849315	876	14470	7538,29066,149041,84524,9931,376940	ZFP36,ZC3H7A,RC3H1,ZC3H8,HELZ,ZC3H6
4.10.280.10	Helix-loop-helix DNA-binding domain	0.00705080496686554	-4.95461348897873	111	14	0.0159817351598174	876	14470	4861,6939,430,64344,4601,405,6720,7942,84667,220202,3397,4610,79365,8553	NPAS1,TCF15,ASCL2,HIF3A,MXI1,ARNT,SREBF1,TFEB,HES7,ATOH7,ID1,MYCL,BHLHE41,BHLHE40
1.10.565.10	Retinoid X Receptor	0.00761205436730539	-4.87802218725827	48	8	0.0091324200913242	876	14470	5914,5915,6256,9572,3164,6095,2063,9975	RARA,RARB,RXRA,NR1D1,NR4A1,RORA,NR2F6,NR1D2
1.10.287.160	HR1 repeat	0.00983947459914662	-4.62135296373918	8	3	0.00342465753424658	876	14470	1495,85415,5585	CTNNA1,RHPN2,PKN1
3.90.520.10	SMAD MH1 domain	0.00983947459914662	-4.62135296373918	8	3	0.00342465753424658	876	14470	4093,4092,4088	SMAD9,SMAD7,SMAD3
6.20.250.40	-	0.0105408146319061	-4.55250044930095	3	2	0.00228310502283105	876	14470	8887,10241	TAX1BP1,CALCOCO2
1.10.357.20	SLC41 divalent cation transporters, integral membrane domain	0.0105408146319061	-4.55250044930095	3	2	0.00228310502283105	876	14470	54946,254428	SLC41A3,SLC41A1
2.60.120.230	-	0.0105408146319061	-4.55250044930095	3	2	0.00228310502283105	876	14470	5066,26002	PAM,MOXD1
6.10.140.1460	-	0.0105408146319061	-4.55250044930095	3	2	0.00228310502283105	876	14470	5033,8974	P4HA1,P4HA2
2.60.120.310	Copper type II, ascorbate-dependent monooxygenase, N-terminal domain	0.0105408146319061	-4.55250044930095	3	2	0.00228310502283105	876	14470	5066,26002	PAM,MOXD1
1.10.10.1580	Interferon regulatory factor 2-binding protein	0.0105408146319061	-4.55250044930095	3	2	0.00228310502283105	876	14470	359948,64207	IRF2BP2,IRF2BPL
3.10.330.70	-	0.0105408146319061	-4.55250044930095	3	2	0.00228310502283105	876	14470	23030,23081	KDM4B,KDM4C
2.60.200.10	-	0.0106397551639498	-4.54315780624037	15	4	0.0045662100456621	876	14470	4093,3394,4088,4092	SMAD9,IRF8,SMAD3,SMAD7
