TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR004827	bZIP	4.64650625353251e-11	-23.7923204290614	54	19	0.0181470869149952	1047	18521	23764,9586,571,7494,1054,1628,2355,153222,1051,467,9935,3725,55509,4783,4779,3727,1649,3726,1386	MAFF,CREB5,BACH1,XBP1,CEBPG,DBP,FOSL2,CREBRF,CEBPB,ATF3,MAFB,JUN,BATF3,NFIL3,NFE2L1,JUND,DDIT3,JUNB,ATF2
IPR046347	bZIP_sf	1.8098507222844e-09	-20.1300214689459	52	17	0.0162368672397326	1047	18521	55509,4783,3725,9935,3727,3726,1386,23764,9586,1054,571,7494,2355,153222,1628,467,1051	BATF3,NFIL3,JUN,MAFB,JUND,JUNB,ATF2,MAFF,CREB5,CEBPG,BACH1,XBP1,FOSL2,CREBRF,DBP,ATF3,CEBPB
IPR003347	JmjC_dom	7.68314023806266e-07	-14.0790673022051	32	11	0.0105062082139446	1047	18521	84678,23210,23081,5927,23135,55806,55818,80853,8242,10765,23030	KDM2B,JMJD6,KDM4C,KDM5A,KDM6B,HR,KDM3A,KDM7A,KDM5C,KDM5B,KDM4B
IPR008917	TF_DNA-bd_sf	1.31766203231495e-05	-11.2370664864196	16	7	0.00668576886341929	1047	18521	571,3727,3725,9935,4779,23764,3726	BACH1,JUND,JUN,MAFB,NFE2L1,MAFF,JUNB
IPR011011	Znf_FYVE_PHD	2.52159313812422e-05	-10.5880345655313	136	21	0.0200573065902579	1047	18521	3621,3622,84678,1789,23349,23469,57732,5927,23081,80853,148479,9110,51147,10765,9372,79960,115426,8242,23030,51317,57590	ING1,ING2,KDM2B,DNMT3B,PHF24,PHF3,ZFYVE28,KDM5A,KDM4C,KDM7A,PHF13,MTMR4,ING4,KDM5B,ZFYVE9,JADE1,UHRF2,KDM5C,KDM4B,PHF21A,WDFY1
IPR003349	JmjN	0.000113471432666852	-9.08395944728839	10	5	0.00477554918815664	1047	18521	23030,10765,8242,23081,5927	KDM4B,KDM5B,KDM5C,KDM4C,KDM5A
IPR001965	Znf_PHD	0.000129396676776344	-8.95262785801749	89	15	0.0143266475644699	1047	18521	23081,5927,23469,3622,3621,84678,115426,8242,79960,10765,51317,23030,148479,80853,51147	KDM4C,KDM5A,PHF3,ING2,ING1,KDM2B,UHRF2,KDM5C,JADE1,KDM5B,PHF21A,KDM4B,PHF13,KDM7A,ING4
IPR006620	Pro_4_hyd_alph	0.00015770717453067	-8.75477057022563	16	6	0.00573065902578797	1047	18521	5352,5033,5351,8974,64175,54583	PLOD2,P4HA1,PLOD1,P4HA2,P3H1,EGLN1
IPR044801	Filamin	0.000180165533026893	-8.62163450174558	3	3	0.00286532951289398	1047	18521	2318,2316,2317	FLNC,FLNA,FLNB
IPR005643	JNK	0.000180165533026893	-8.62163450174558	3	3	0.00286532951289398	1047	18521	3727,3726,3725	JUND,JUNB,JUN
IPR022728	Period_circadian-like_C	0.000180165533026893	-8.62163450174558	3	3	0.00286532951289398	1047	18521	8863,8864,5187	PER3,PER2,PER1
IPR048814	Per1-3_PAS-A	0.000180165533026893	-8.62163450174558	3	3	0.00286532951289398	1047	18521	8863,5187,8864	PER3,PER1,PER2
IPR002112	Leuzip_Jun	0.000180165533026893	-8.62163450174558	3	3	0.00286532951289398	1047	18521	3726,3727,3725	JUNB,JUND,JUN
IPR001781	Znf_LIM	0.000580511668780465	-7.45160065577002	71	12	0.0114613180515759	1047	18521	64211,4026,22998,5829,10529,8994,26136,1466,2274,2273,4004,4005	LHX5,LPP,LIMCH1,PXN,NEBL,LIMD1,TES,CSRP2,FHL2,FHL1,LMO1,LMO2
IPR048615	KDM5_C-hel	0.000690190242583969	-7.27854328448525	4	3	0.00286532951289398	1047	18521	8242,5927,10765	KDM5C,KDM5A,KDM5B
IPR033332	BTG	0.000690190242583969	-7.27854328448525	4	3	0.00286532951289398	1047	18521	694,10950,7832	BTG1,BTG3,BTG2
IPR013637	Lys_sp_deMease-like_dom	0.000690190242583969	-7.27854328448525	4	3	0.00286532951289398	1047	18521	8242,5927,10765	KDM5C,KDM5A,KDM5B
IPR005123	Oxoglu/Fe-dep_dioxygenase	0.000837510737992406	-7.08507647286378	21	6	0.00573065902578797	1047	18521	64175,54583,5352,5033,5351,8974	P3H1,EGLN1,PLOD2,P4HA1,PLOD1,P4HA2
IPR019786	Zinc_finger_PHD-type_CS	0.000961641641090385	-6.94686869115837	65	11	0.0105062082139446	1047	18521	3621,3622,23349,5927,23469,51147,80853,51317,10765,79960,8242	ING1,ING2,PHF24,KDM5A,PHF3,ING4,KDM7A,PHF21A,KDM5B,JADE1,KDM5C
IPR019787	Znf_PHD-finger	0.00108554075895139	-6.82567702080052	76	12	0.0114613180515759	1047	18521	51147,80853,51317,8242,115426,79960,10765,84678,3622,3621,5927,23469	ING4,KDM7A,PHF21A,KDM5C,UHRF2,JADE1,KDM5B,KDM2B,ING2,ING1,KDM5A,PHF3
IPR001589	Actinin_actin-bd_CS	0.00141386751604708	-6.5614264103478	23	6	0.00573065902578797	1047	18521	2316,2318,2317,88,87,79789	FLNA,FLNC,FLNB,ACTN2,ACTN1,CLMN
IPR013655	PAS_fold_3	0.00161975469461772	-6.42548056427896	10	4	0.00382043935052531	1047	18521	8864,5187,8863,4861	PER2,PER1,PER3,NPAS1
