TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	4.29438202397584e-10	-21.5685432675162	25	13	0.0293453724604966	443	7161	2821,5223,7167,3099,226,2597,5315,230,2026,2023,5214,3098,5230	GPI,PGAM1,TPI1,HK2,ALDOA,GAPDH,PKM,ALDOC,ENO2,ENO1,PFKP,HK1,PGK1
hsa_M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	4.29438202397584e-10	-21.5685432675162	25	13	0.0293453724604966	443	7161	5315,3098,2597,5214,5230,7167,230,5223,2821,3099,226,2023,2026	PKM,HK1,GAPDH,PFKP,PGK1,TPI1,ALDOC,PGAM1,GPI,HK2,ALDOA,ENO1,ENO2
M00002	Glycolysis, core module involving three-carbon compounds	1.99761587671755e-06	-13.1235561501162	12	7	0.0158013544018059	443	7161	5230,2597,5315,2023,2026,7167,5223	PGK1,GAPDH,PKM,ENO1,ENO2,TPI1,PGAM1
hsa_M00002	Glycolysis, core module involving three-carbon compounds	1.99761587671755e-06	-13.1235561501162	12	7	0.0158013544018059	443	7161	2597,5315,5230,5223,7167,2026,2023	GAPDH,PKM,PGK1,PGAM1,TPI1,ENO2,ENO1
hsa00010	Glycolysis / Gluconeogenesis	2.10318140290512e-06	-13.0720594058553	67	16	0.036117381489842	443	7161	55276,7167,5223,2821,226,3099,2597,5315,5236,230,128,2023,2026,3098,5214,5230	PGM2,TPI1,PGAM1,GPI,ALDOA,HK2,GAPDH,PKM,PGM1,ALDOC,ADH5,ENO1,ENO2,HK1,PFKP,PGK1
ko00010	Glycolysis / Gluconeogenesis	2.10318140290512e-06	-13.0720594058553	67	16	0.036117381489842	443	7161	226,3099,55276,7167,2821,5223,2597,5315,5236,2023,2026,230,128,5230,5214,3098	ALDOA,HK2,PGM2,TPI1,GPI,PGAM1,GAPDH,PKM,PGM1,ENO1,ENO2,ALDOC,ADH5,PGK1,PFKP,HK1
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	2.98294841349673e-06	-12.7225983460788	17	8	0.018058690744921	443	7161	5223,7167,230,2026,226,2023,2597,5230	PGAM1,TPI1,ALDOC,ENO2,ALDOA,ENO1,GAPDH,PGK1
hsa_M00003	Gluconeogenesis, oxaloacetate => fructose-6P	2.98294841349673e-06	-12.7225983460788	17	8	0.018058690744921	443	7161	2026,226,2023,5223,7167,230,5230,2597	ENO2,ALDOA,ENO1,PGAM1,TPI1,ALDOC,PGK1,GAPDH
ko01230	Biosynthesis of amino acids	8.41592419784646e-06	-11.6853849089194	74	16	0.036117381489842	443	7161	2023,5634,2026,230,26227,1491,5230,5214,226,6120,7167,5223,84706,5315,2597,6472	ENO1,PRPS2,ENO2,ALDOC,PHGDH,CTH,PGK1,PFKP,ALDOA,RPE,TPI1,PGAM1,GPT2,PKM,GAPDH,SHMT2
hsa01230	Biosynthesis of amino acids	8.41592419784646e-06	-11.6853849089194	74	16	0.036117381489842	443	7161	5214,26227,5230,1491,230,2026,5634,2023,2597,5315,6472,84706,5223,7167,6120,226	PFKP,PHGDH,PGK1,CTH,ALDOC,ENO2,PRPS2,ENO1,GAPDH,PKM,SHMT2,GPT2,PGAM1,TPI1,RPE,ALDOA
hsa04066	HIF-1 signaling pathway	1.06203928695793e-05	-11.4527345494657	101	19	0.0428893905191874	443	7161	405,2023,5209,5163,6513,2026,817,54583,3098,5604,5230,3162,5335,226,3099,7422,5970,2597,7076	ARNT,ENO1,PFKFB3,PDK1,SLC2A1,ENO2,CAMK2D,EGLN1,HK1,MAP2K1,PGK1,HMOX1,PLCG1,ALDOA,HK2,VEGFA,RELA,GAPDH,TIMP1
hsa01200	Carbon metabolism	1.84857069915375e-05	-10.8985127195374	114	20	0.0451467268623025	443	7161	5223,2821,7167,6120,3099,226,2597,5315,6472,84706,128,230,6392,2026,5634,2023,3098,5214,26227,5230	PGAM1,GPI,TPI1,RPE,HK2,ALDOA,GAPDH,PKM,SHMT2,GPT2,ADH5,ALDOC,SDHD,ENO2,PRPS2,ENO1,HK1,PFKP,PHGDH,PGK1
ko01200	Carbon metabolism	1.84857069915375e-05	-10.8985127195374	114	20	0.0451467268623025	443	7161	84706,6472,2597,5315,3099,226,7167,6120,2821,5223,5230,26227,5214,3098,5634,2023,2026,6392,230,128	GPT2,SHMT2,GAPDH,PKM,HK2,ALDOA,TPI1,RPE,GPI,PGAM1,PGK1,PHGDH,PFKP,HK1,PRPS2,ENO1,ENO2,SDHD,ALDOC,ADH5
ko04710	Circadian rhythm	7.24925278910391e-05	-9.53202706498693	31	9	0.0203160270880361	443	7161	79365,9572,8864,5187,6095,5565,8553,8863,1408	BHLHE41,NR1D1,PER2,PER1,RORA,PRKAB2,BHLHE40,PER3,CRY2
hsa04710	Circadian rhythm	7.24925278910391e-05	-9.53202706498693	31	9	0.0203160270880361	443	7161	5565,6095,1408,8863,8553,8864,79365,9572,5187	PRKAB2,RORA,CRY2,PER3,BHLHE40,PER2,BHLHE41,NR1D1,PER1
hsa04668	TNF signaling pathway	9.6867282109477e-05	-9.2421687420118	108	18	0.0406320541760722	443	7161	5600,9021,8986,602,1386,7187,3726,5604,153090,3383,8717,3725,1051,9586,9252,5970,1326,7128	MAPK11,SOCS3,RPS6KA4,BCL3,ATF2,TRAF3,JUNB,MAP2K1,DAB2IP,ICAM1,TRADD,JUN,CEBPB,CREB5,RPS6KA5,RELA,MAP3K8,TNFAIP3
ko04668	TNF signaling pathway	9.6867282109477e-05	-9.2421687420118	108	18	0.0406320541760722	443	7161	9252,5970,9586,7128,1326,1051,8717,3725,5604,3383,153090,8986,602,5600,9021,7187,1386,3726	RPS6KA5,RELA,CREB5,TNFAIP3,MAP3K8,CEBPB,TRADD,JUN,MAP2K1,ICAM1,DAB2IP,RPS6KA4,BCL3,MAPK11,SOCS3,TRAF3,ATF2,JUNB
ko00051	Fructose and mannose metabolism	0.000124114361848176	-8.99430714442248	33	9	0.0203160270880361	443	7161	226,3099,5209,5210,7167,230,5214,4351,3098	ALDOA,HK2,PFKFB3,PFKFB4,TPI1,ALDOC,PFKP,MPI,HK1
hsa00051	Fructose and mannose metabolism	0.000124114361848176	-8.99430714442248	33	9	0.0203160270880361	443	7161	5209,226,3099,230,7167,5210,3098,4351,5214	PFKFB3,ALDOA,HK2,ALDOC,TPI1,PFKFB4,HK1,MPI,PFKP
hsa00030	Pentose phosphate pathway	0.000351233054515937	-7.95406058185107	30	8	0.018058690744921	443	7161	5236,5214,5634,226,2821,55276,6120,230	PGM1,PFKP,PRPS2,ALDOA,GPI,PGM2,RPE,ALDOC
ko00030	Pentose phosphate pathway	0.000351233054515937	-7.95406058185107	30	8	0.018058690744921	443	7161	5236,5214,2821,230,6120,55276,226,5634	PGM1,PFKP,GPI,ALDOC,RPE,PGM2,ALDOA,PRPS2
hsa04010	MAPK signaling pathway	0.000464084677208542	-7.67544352840409	255	30	0.0677200902934537	443	7161	3164,3727,3725,2261,2318,4616,5970,10912,5923,9252,8911,3310,1386,1399,5924,5600,8986,1852,10125,1847,5604,9064,5598,4791,786,2317,1326,8913,1649,2316	NR4A1,JUND,JUN,FGFR3,FLNC,GADD45B,RELA,GADD45G,RASGRF1,RPS6KA5,CACNA1I,HSPA6,ATF2,CRKL,RASGRF2,MAPK11,RPS6KA4,DUSP9,RASGRP1,DUSP5,MAP2K1,MAP3K6,MAPK7,NFKB2,CACNG1,FLNB,MAP3K8,CACNA1G,DDIT3,FLNA
ko04010	MAPK signaling pathway	0.000464084677208542	-7.67544352840409	255	30	0.0677200902934537	443	7161	3725,2261,2318,4616,5923,5970,10912,9252,3164,3727,786,2317,1326,1649,8913,2316,8911,1386,3310,1399,5924,5600,8986,10125,1852,9064,5604,1847,5598,4791	JUN,FGFR3,FLNC,GADD45B,RASGRF1,RELA,GADD45G,RPS6KA5,NR4A1,JUND,CACNG1,FLNB,MAP3K8,DDIT3,CACNA1G,FLNA,CACNA1I,ATF2,HSPA6,CRKL,RASGRF2,MAPK11,RPS6KA4,RASGRP1,DUSP9,MAP3K6,MAP2K1,DUSP5,MAPK7,NFKB2
hsa04137	Mitophagy - animal	0.000466114402995701	-7.67107945397805	64	12	0.0270880361173815	443	7161	55288,5970,3725,665,8887,2309,664,10241,64786,79065,23710,7942	RHOT1,RELA,JUN,BNIP3L,TAX1BP1,FOXO3,BNIP3,CALCOCO2,TBC1D15,ATG9A,GABARAPL1,TFEB
ko04137	Mitophagy - animal	0.000466114402995701	-7.67107945397805	64	12	0.0270880361173815	443	7161	8887,665,64786,10241,664,2309,79065,7942,23710,55288,5970,3725	TAX1BP1,BNIP3L,TBC1D15,CALCOCO2,BNIP3,FOXO3,ATG9A,TFEB,GABARAPL1,RHOT1,RELA,JUN
ko00520	Amino sugar and nucleotide sugar metabolism	0.00057699165725196	-7.45768275039613	48	10	0.0225733634311512	443	7161	3074,3099,2821,55276,91373,5236,9945,6675,3098,4351	HEXB,HK2,GPI,PGM2,UAP1L1,PGM1,GFPT2,UAP1,HK1,MPI
hsa00520	Amino sugar and nucleotide sugar metabolism	0.00057699165725196	-7.45768275039613	48	10	0.0225733634311512	443	7161	2821,55276,3099,3074,9945,5236,4351,3098,6675,91373	GPI,PGM2,HK2,HEXB,GFPT2,PGM1,MPI,HK1,UAP1,UAP1L1
hsa00500	Starch and sucrose metabolism	0.00130845502304346	-6.63890820949775	36	8	0.018058690744921	443	7161	2997,3098,5236,3099,2632,5836,55276,2821	GYS1,HK1,PGM1,HK2,GBE1,PYGL,PGM2,GPI
ko00500	Starch and sucrose metabolism	0.00130845502304346	-6.63890820949775	36	8	0.018058690744921	443	7161	5836,55276,2821,2632,3099,3098,5236,2997	PYGL,PGM2,GPI,GBE1,HK2,HK1,PGM1,GYS1
