TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
hif1_tfpathway	HIF-1-alpha transcription factor network	6.73907761974039e-07	-14.2101725870697	65	20	0.0961538461538462	208	2226	10397,8553,3098,405,7422,226,2023,5236,3162,5230,664,3099,54583,133,6513,4088,3725,79365,5209,5315	NDRG1,BHLHE40,HK1,ARNT,VEGFA,ALDOA,ENO1,PGM1,HMOX1,PGK1,BNIP3,HK2,EGLN1,ADM,SLC2A1,SMAD3,JUN,BHLHE41,PFKFB3,PKM
atf2_pathway	ATF-2 transcription factor network	0.00377414245417856	-5.57958208654291	55	12	0.0576923076923077	208	2226	3725,1386,1466,1847,3727,890,467,5600,10891,3726,1649,9021	JUN,ATF2,CSRP2,DUSP5,JUND,CCNA2,ATF3,MAPK11,PPARGC1A,JUNB,DDIT3,SOCS3
epha_fwdpathway	EPHA forward signaling	0.00603806442507023	-5.10967177781897	31	8	0.0384615384615385	208	2226	1399,7525,2046,2043,25791,2042,1942,5335	CRKL,YES1,EPHA8,EPHA4,NGEF,EPHA3,EFNA1,PLCG1
s1p_s1p1_pathway	S1P1 pathway	0.00783869694823286	-4.84868266401604	20	6	0.0288461538461538	208	2226	8877,5335,2781,3690,2773,7422	SPHK1,PLCG1,GNAZ,ITGB3,GNAI3,VEGFA
hif2pathway	HIF-2-alpha transcription factor network	0.0108778574745462	-4.52102598024166	34	8	0.0384615384615385	208	2226	8553,6513,7422,3646,405,54583,5230,1942	BHLHE40,SLC2A1,VEGFA,EIF3E,ARNT,EGLN1,PGK1,EFNA1
p38alphabetadownstreampathway	Signaling mediated by p38-alpha and p38-beta	0.0129981128940343	-4.34295109405498	35	8	0.0384615384615385	208	2226	10891,1649,9252,3725,1051,1386,5600,8986	PPARGC1A,DDIT3,RPS6KA5,JUN,CEBPB,ATF2,MAPK11,RPS6KA4
ecadherin_stabilization_pathway	Stabilization and expansion of the E-cadherin adherens junction	0.0283130552929499	-3.56443226293519	40	8	0.0384615384615385	208	2226	4248,28964,87,10787,4026,1495,7414,1942	MGAT3,GIT1,ACTN1,NCKAP1,LPP,CTNNA1,VCL,EFNA1
vegfr1_2_pathway	Signaling events mediated by VEGFR1 and VEGFR2	0.0287053906545275	-3.55067034617009	63	11	0.0528846153846154	208	2226	7414,5335,7525,405,7422,8828,5600,3690,5829,8829,2549	VCL,PLCG1,YES1,ARNT,VEGFA,NRP2,MAPK11,ITGB3,PXN,NRP1,GAB1
ephrina_ephapathway	EphrinA-EPHA pathway	0.0316212431320819	-3.45392613323352	8	3	0.0144230769230769	208	2226	2043,2046,2042	EPHA4,EPHA8,EPHA3
il6_7pathway	IL6-mediated signaling events	0.0419149468297203	-3.17211278941942	43	8	0.0384615384615385	208	2226	1051,3725,3572,7076,5600,9021,3726,3716	CEBPB,JUN,IL6ST,TIMP1,MAPK11,SOCS3,JUNB,JAK1
