TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF02373	JmjC	1.22448722148773e-07	-15.9155734893007	22	10	0.00983284169124877	1017	17795	23030,10765,5927,23081,55818,55806,23135,23210,8242,80853	KDM4B,KDM5B,KDM5A,KDM4C,KDM3A,HR,KDM6B,JMJD6,KDM5C,KDM7A
PF02375	JmjN	0.000119488058985997	-9.0322941163889	10	5	0.00491642084562439	1017	17795	8242,10765,23030,23081,5927	KDM5C,KDM5B,KDM4B,KDM4C,KDM5A
PF00170	bZIP_1	0.000123258581898001	-9.00122611746146	28	8	0.00786627335299902	1017	17795	55509,3725,2355,3726,1386,9586,467,3727	BATF3,JUN,FOSL2,JUNB,ATF2,CREB5,ATF3,JUND
PF03957	Jun	0.000186148673508464	-8.58896488359915	3	3	0.00294985250737463	1017	17795	3725,3727,3726	JUN,JUND,JUNB
PF12114	Period_C	0.000186148673508464	-8.58896488359915	3	3	0.00294985250737463	1017	17795	5187,8864,8863	PER1,PER2,PER3
PF21353	Per3-like_PAS-A	0.000186148673508464	-8.58896488359915	3	3	0.00294985250737463	1017	17795	8864,8863,5187	PER2,PER3,PER1
PF07716	bZIP_2	0.000208749700943554	-8.47437462684007	11	5	0.00491642084562439	1017	17795	1054,7494,1051,4783,1628	CEBPG,XBP1,CEBPB,NFIL3,DBP
PF00412	LIM	0.000488470543918513	-7.62423138734041	69	12	0.0117994100294985	1017	17795	64211,1466,4026,8994,10529,22998,5829,4005,4004,2273,26136,2274	LHX5,CSRP2,LPP,LIMD1,NEBL,LIMCH1,PXN,LMO2,LMO1,FHL1,TES,FHL2
PF21323	KDM5_C-hel	0.000712767790640858	-7.24635486992059	4	3	0.00294985250737463	1017	17795	8242,5927,10765	KDM5C,KDM5A,KDM5B
PF08429	PLU-1	0.000712767790640858	-7.24635486992059	4	3	0.00294985250737463	1017	17795	10765,5927,8242	KDM5B,KDM5A,KDM5C
PF08447	PAS_3	0.00168663347064823	-6.38502076597841	10	4	0.00393313667649951	1017	17795	8863,8864,4861,5187	PER3,PER2,NPAS1,PER1
PF12998	ING	0.00170597659604781	-6.37361754861882	5	3	0.00294985250737463	1017	17795	51147,3622,3621	ING4,ING2,ING1
PF02928	zf-C5HC2	0.00170597659604781	-6.37361754861882	5	3	0.00294985250737463	1017	17795	8242,10765,5927	KDM5C,KDM5B,KDM5A
PF10436	BCDHK_Adom3	0.00170597659604781	-6.37361754861882	5	3	0.00294985250737463	1017	17795	5163,5165,10295	PDK1,PDK3,BCKDK
PF01044	Vinculin	0.00170597659604781	-6.37361754861882	5	3	0.00294985250737463	1017	17795	8727,1495,7414	CTNNAL1,CTNNA1,VCL
PF13640	2OG-FeII_Oxy_3	0.00253113848200562	-5.97908608457155	11	4	0.00393313667649951	1017	17795	64175,8974,54583,5033	P3H1,P4HA2,EGLN1,P4HA1
PF06311	NumbF	0.00326319541652385	-5.72504837455745	2	2	0.00196656833824975	1017	17795	9253,8650	NUMBL,NUMB
PF01025	GrpE	0.00326319541652385	-5.72504837455745	2	2	0.00196656833824975	1017	17795	134266,80273	GRPEL2,GRPEL1
PF16500	Cyclin_N2	0.00326319541652385	-5.72504837455745	2	2	0.00196656833824975	1017	17795	8900,890	CCNA1,CCNA2
PF11980	DUF3481	0.00326319541652385	-5.72504837455745	2	2	0.00196656833824975	1017	17795	8829,8828	NRP1,NRP2
