TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR00043	LEUZIPPRJUN	0.000214842590031913	-8.44560493736799	3	3	0.00955414012738853	314	5227	3725,3727,3726	JUN,JUND,JUNB
PR01192	GLUCTRSPORT3	0.00359792478500987	-5.62739804833882	2	2	0.00636942675159236	314	5227	6515,144195	SLC2A3,SLC2A14
PR00773	GRPEPROTEIN	0.00359792478500987	-5.62739804833882	2	2	0.00636942675159236	314	5227	134266,80273	GRPEL2,GRPEL1
PR00310	ANTIPRLFBTG1	0.00374817212479704	-5.58648699122155	6	3	0.00955414012738853	314	5227	10950,7832,694	BTG3,BTG2,BTG1
PR00047	STROIDFINGER	0.00544524354596397	-5.21301279522946	46	8	0.0254777070063694	314	5227	5914,5915,3164,6095,2063,9572,6256,9975	RARA,RARB,NR4A1,RORA,NR2F6,NR1D1,RXRA,NR1D2
PR00398	STRDHORMONER	0.00622870741542264	-5.07858644516945	47	8	0.0254777070063694	314	5227	6095,9572,2063,6256,9975,5914,5915,3164	RORA,NR1D1,NR2F6,RXRA,NR1D2,RARA,RARB,NR4A1
PR00042	LEUZIPPRFOS	0.00958804800289172	-4.64723795586311	8	3	0.00955414012738853	314	5227	467,2355,55509	ATF3,FOSL2,BATF3
PR00148	ENOLASE	0.0103640891748049	-4.56940841203476	3	2	0.00636942675159236	314	5227	2023,2026	ENO1,ENO2
PR01597	ZONOCCLUDNS	0.0103640891748049	-4.56940841203476	3	2	0.00636942675159236	314	5227	9414,27134	TJP2,TJP3
PR01629	TVDCCALPHA1	0.0103640891748049	-4.56940841203476	3	2	0.00636942675159236	314	5227	8911,8913	CACNA1I,CACNA1G
PR00056	HSFDOMAIN	0.0103640891748049	-4.56940841203476	3	2	0.00636942675159236	314	5227	3298,3299	HSF2,HSF4
PR00509	PGMPMM	0.0103640891748049	-4.56940841203476	3	2	0.00636942675159236	314	5227	55276,5236	PGM2,PGM1
PR01760	DISHEVELLED	0.0103640891748049	-4.56940841203476	3	2	0.00636942675159236	314	5227	1856,1855	DVL2,DVL1
PR01743	SSDNABINDING	0.0103640891748049	-4.56940841203476	3	2	0.00636942675159236	314	5227	170463,23635	SSBP4,SSBP2
PR00185	EUKARYTPORIN	0.0103640891748049	-4.56940841203476	3	2	0.00636942675159236	314	5227	7417,7416	VDAC2,VDAC1
PR00014	FNTYPEIII	0.0144328142231803	-4.23825089935	34	6	0.0191082802547771	314	5227	2042,2043,2046,283659,5792,54549	EPHA3,EPHA4,EPHA8,PRTG,PTPRF,SDK2
