TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50217	BZIP	5.69933634045138e-10	-21.2855011933784	51	18	0.0239043824701195	753	12186	2355,3727,571,3726,1054,55509,4779,1628,23764,4783,467,1051,9935,3725,1386,9586,7494,1649	FOSL2,JUND,BACH1,JUNB,CEBPG,BATF3,NFE2L1,DBP,MAFF,NFIL3,ATF3,CEBPB,MAFB,JUN,ATF2,CREB5,XBP1,DDIT3
PS00036	BZIP_BASIC	4.77135970714627e-08	-16.8580494257632	34	13	0.0172642762284197	753	12186	4779,55509,3726,3727,571,2355,9586,7494,1386,3725,467,153222,4783	NFE2L1,BATF3,JUNB,JUND,BACH1,FOSL2,CREB5,XBP1,ATF2,JUN,ATF3,CREBRF,NFIL3
PS51184	JMJC	1.81420897366678e-06	-13.2198610124286	32	11	0.0146082337317397	753	12186	55818,5927,10765,84678,23081,8242,23030,55806,23135,80853,23210	KDM3A,KDM5A,KDM5B,KDM2B,KDM4C,KDM5C,KDM4B,HR,KDM6B,KDM7A,JMJD6
PS51183	JMJN	0.000172556613889935	-8.66478517887415	10	5	0.00664010624169987	753	12186	10765,23030,5927,8242,23081	KDM5B,KDM4B,KDM5A,KDM5C,KDM4C
PS00478	LIM_DOMAIN_1	0.00124691184747739	-6.68708530646112	71	12	0.0159362549800797	753	12186	1466,4004,22998,5829,64211,4005,26136,4026,8994,2273,10529,2274	CSRP2,LMO1,LIMCH1,PXN,LHX5,LMO2,TES,LPP,LIMD1,FHL1,NEBL,FHL2
PS50023	LIM_DOMAIN_2	0.00124691184747739	-6.68708530646112	71	12	0.0159362549800797	753	12186	1466,4004,22998,5829,64211,26136,4005,4026,8994,2273,10529,2274	CSRP2,LMO1,LIMCH1,PXN,LHX5,TES,LMO2,LPP,LIMD1,FHL1,NEBL,FHL2
PS51471	FE2OG_OXY	0.001327622630951	-6.62436543175049	21	6	0.00796812749003984	753	12186	5352,5351,5033,8974,54583,64175	PLOD2,PLOD1,P4HA1,P4HA2,EGLN1,P3H1
PS50016	ZF_PHD_2	0.00159931161342851	-6.43818198392406	73	12	0.0159362549800797	753	12186	8242,3622,3621,84678,23469,51147,5927,51317,79960,115426,10765,80853	KDM5C,ING2,ING1,KDM2B,PHF3,ING4,KDM5A,PHF21A,JADE1,UHRF2,KDM5B,KDM7A
PS50109	HIS_KIN	0.00213886697500629	-6.14747904108865	5	3	0.00398406374501992	753	12186	10295,5165,5163	BCKDK,PDK3,PDK1
PS00019	ACTININ_1	0.00222141999693169	-6.10960864932179	23	6	0.00796812749003984	753	12186	88,79789,87,2316,2318,2317	ACTN2,CLMN,ACTN1,FLNA,FLNC,FLNB
