TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-HSA-70171	Glycolysis	1.21492121358342e-10	-22.8311717000378	32	15	0.0237341772151899	632	10285	5230,2597,7167,226,2821,3098,5210,3099,230,5315,5223,5214,2026,5209,2023	PGK1,GAPDH,TPI1,ALDOA,GPI,HK1,PFKFB4,HK2,ALDOC,PKM,PGAM1,PFKP,ENO2,PFKFB3,ENO1
R-HSA-71387	Metabolism of carbohydrates	1.34638655662126e-09	-20.4258414577859	296	47	0.0743670886075949	632	10285	4126,144195,2632,3339,5236,3036,5223,3074,6120,5230,2997,2720,5634,9818,22856,3099,55706,8480,56548,6482,6382,6484,226,5507,5836,230,9469,2023,5214,9060,2026,6513,9951,8702,55276,10402,2821,79369,5315,5210,5209,2597,3098,7167,6515,10855,90161	MANBA,SLC2A14,GBE1,HSPG2,PGM1,HAS1,PGAM1,HEXB,RPE,PGK1,GYS1,GLB1,PRPS2,NUP58,CHSY1,HK2,NDC1,RAE1,CHST7,ST3GAL1,SDC1,ST3GAL4,ALDOA,PPP1R3C,PYGL,ALDOC,CHST3,ENO1,PFKP,PAPSS2,ENO2,SLC2A1,HS3ST4,B4GALT4,PGM2,ST3GAL6,GPI,B3GNT4,PKM,PFKFB4,PFKFB3,GAPDH,HK1,TPI1,SLC2A3,HPSE,HS6ST2
R-HSA-70326	Glucose metabolism	1.08183403040414e-08	-18.3420229667872	81	21	0.0332278481012658	632	10285	2997,3098,226,7167,2821,5507,5836,2597,55276,5230,2023,2632,5209,5214,5236,2026,5223,5315,230,3099,5210	GYS1,HK1,ALDOA,TPI1,GPI,PPP1R3C,PYGL,GAPDH,PGM2,PGK1,ENO1,GBE1,PFKFB3,PFKP,PGM1,ENO2,PGAM1,PKM,ALDOC,HK2,PFKFB4
R-HSA-1368108	BMAL1:CLOCK,NPAS2 activates circadian gene expression	6.49813021258436e-07	-14.2465811750411	48	14	0.0221518987341772	632	10285	8841,5187,8553,10135,6256,10891,8864,1628,25819,6095,1408,79365,4783,9572	HDAC3,PER1,BHLHE40,NAMPT,RXRA,PPARGC1A,PER2,DBP,NOCT,RORA,CRY2,BHLHE41,NFIL3,NR1D1
R-HSA-400253	Circadian Clock	9.33573358315264e-07	-13.8842462928902	71	17	0.0268987341772152	632	10285	9572,4783,1408,79365,6095,25819,6720,10891,1386,8864,1628,6256,5187,8841,10135,8553,5500	NR1D1,NFIL3,CRY2,BHLHE41,RORA,NOCT,SREBF1,PPARGC1A,ATF2,PER2,DBP,RXRA,PER1,HDAC3,NAMPT,BHLHE40,PPP1CB
R-HSA-2173788	Downregulation of TGF-beta receptor signaling	2.03025996110206e-05	-10.8047616204593	27	9	0.0142405063291139	632	10285	9372,56937,5500,4092,4088,7514,23645,9110,23327	ZFYVE9,PMEPA1,PPP1CB,SMAD7,SMAD3,XPO1,PPP1R15A,MTMR4,NEDD4L
R-HSA-70263	Gluconeogenesis	9.207065212718e-05	-9.29295431773989	32	9	0.0142405063291139	632	10285	2023,7167,2821,226,5223,2026,230,2597,5230	ENO1,TPI1,GPI,ALDOA,PGAM1,ENO2,ALDOC,GAPDH,PGK1
R-HSA-2173789	TGF-beta receptor signaling activates SMADs	0.000154129063397726	-8.77772023252738	34	9	0.0142405063291139	632	10285	56937,9372,5500,4092,4088,7514,23327,9110,23645	PMEPA1,ZFYVE9,PPP1CB,SMAD7,SMAD3,XPO1,NEDD4L,MTMR4,PPP1R15A
R-HSA-3214842	HDMs demethylate histones	0.00107801866374537	-6.83263049333781	52	10	0.0158227848101266	632	10285	23135,84678,10765,8242,23081,5927,23210,55818,80853,23030	KDM6B,KDM2B,KDM5B,KDM5C,KDM4C,KDM5A,JMJD6,KDM3A,KDM7A,KDM4B
R-HSA-1630316	Glycosaminoglycan metabolism	0.00147734015477967	-6.51751200081092	124	17	0.0268987341772152	632	10285	22856,9469,56548,3339,3074,3036,6482,9060,6382,9951,8702,10402,6484,10855,2720,90161,79369	CHSY1,CHST3,CHST7,HSPG2,HEXB,HAS1,ST3GAL1,PAPSS2,SDC1,HS3ST4,B4GALT4,ST3GAL6,ST3GAL4,HPSE,GLB1,HS6ST2,B3GNT4
