TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00338	BRLZ	1.32039040403829e-09	-20.4453383834416	51	18	0.028391167192429	634	9717	7494,1386,9935,1054,3725,3727,9586,1628,23764,571,1649,3726,1051,4783,55509,4779,2355,467	XBP1,ATF2,MAFB,CEBPG,JUN,JUND,CREB5,DBP,MAFF,BACH1,DDIT3,JUNB,CEBPB,NFIL3,BATF3,NFE2L1,FOSL2,ATF3
SM00558	JmjC	9.7996467682918e-07	-13.8357493099833	29	11	0.0173501577287066	634	9717	55806,23081,55818,84678,8242,10765,23210,23030,80853,5927,23135	HR,KDM4C,KDM3A,KDM2B,KDM5C,KDM5B,JMJD6,KDM4B,KDM7A,KDM5A,KDM6B
SM00545	JmjN	0.000222677121613984	-8.40978772084179	10	5	0.00788643533123028	634	9717	5927,10765,8242,23030,23081	KDM5A,KDM5B,KDM5C,KDM4B,KDM4C
SM00702	P4Hc	0.00034269935077009	-7.97865702354104	16	6	0.00946372239747634	634	9717	8974,54583,5033,5352,64175,5351	P4HA2,EGLN1,P4HA1,PLOD2,P3H1,PLOD1
SM00249	PHD	0.000582348726310983	-7.44844110357181	89	15	0.0236593059936909	634	9717	51317,3622,23469,84678,115426,23081,5927,80853,23030,51147,10765,8242,79960,148479,3621	PHF21A,ING2,PHF3,KDM2B,UHRF2,KDM4C,KDM5A,KDM7A,KDM4B,ING4,KDM5B,KDM5C,JADE1,PHF13,ING1
SM00132	LIM	0.00196348571007335	-6.23303396175556	71	12	0.0189274447949527	634	9717	2274,4026,5829,26136,22998,1466,4005,64211,8994,4004,2273,10529	FHL2,LPP,PXN,TES,LIMCH1,CSRP2,LMO2,LHX5,LIMD1,LMO1,FHL1,NEBL
SM01408	ING	0.00250287930395358	-5.99031348824905	5	3	0.00473186119873817	634	9717	51147,3622,3621	ING4,ING2,ING1
SM00091	PAS	0.00457783777958861	-5.38652849285709	25	6	0.00946372239747634	634	9717	4861,64344,405,5187,8864,8863	NPAS1,HIF3A,ARNT,PER1,PER2,PER3
SM00099	btg1	0.00476352164853659	-5.34676804215755	6	3	0.00473186119873817	634	9717	10950,7832,694	BTG3,BTG2,BTG1
SM00021	DAX	0.00476352164853659	-5.34676804215755	6	3	0.00473186119873817	634	9717	8313,1856,1855	AXIN2,DVL2,DVL1
SM00642	Aamy	0.00793414761243154	-4.8365793520175	7	3	0.00473186119873817	634	9717	2632,6519,6520	GBE1,SLC3A1,SLC3A2
SM00399	ZnF_C4	0.00902046084385733	-4.70825985487599	46	8	0.0126182965299685	634	9717	9572,2063,5915,3164,5914,9975,6256,6095	NR1D1,NR2F6,RARB,NR4A1,RARA,NR1D2,RXRA,RORA
SM00430	HOLI	0.0116377517930309	-4.45350100026234	48	8	0.0126182965299685	634	9717	5915,5914,3164,6256,9975,9572,2063,6095	RARB,RARA,NR4A1,RXRA,NR1D2,NR1D1,NR2F6,RORA
SM00524	DWB	0.0120845655705727	-4.4158262132947	8	3	0.00473186119873817	634	9717	4092,4088,4093	SMAD7,SMAD3,SMAD9
SM01065	CBM_2	0.0121994092448988	-4.40636775096462	3	2	0.00315457413249211	634	9717	8987,56261	STBD1,GPCPD1
SM00353	HLH	0.0129449558545443	-4.34704907601664	111	14	0.0220820189274448	634	9717	6939,64344,4610,4601,430,79365,3397,4861,7942,405,220202,6720,8553,84667	TCF15,HIF3A,MYCL,MXI1,ASCL2,BHLHE41,ID1,NPAS1,TFEB,ARNT,ATOH7,SREBF1,BHLHE40,HES7
SM00557	IG_FLMN	0.0172588017400221	-4.05943301983751	9	3	0.00473186119873817	634	9717	2317,2318,2316	FLNB,FLNC,FLNA
SM00387	HATPase_c	0.0172588017400221	-4.05943301983751	9	3	0.00473186119873817	634	9717	10295,5165,5163	BCKDK,PDK3,PDK1
SM00222	Sec7	0.0173918686434066	-4.05175250133381	16	4	0.00630914826498423	634	9717	57221,84249,26269,9922	ARFGEF3,PSD2,FBXO8,IQSEC1
SM00454	SAM	0.0185155153483578	-3.98914623090412	83	11	0.0173501577287066	634	9717	64411,57524,148398,2042,23034,57713,23259,8496,2046,2043,8497	ARAP3,CASKIN1,SAMD11,EPHA3,SAMD4A,SFMBT2,DDHD2,PPFIBP1,EPHA8,EPHA4,PPFIA4
SM00385	CYCLIN	0.0211387076096174	-3.85664943524247	34	6	0.00946372239747634	634	9717	901,8900,890,57018,894,900	CCNG2,CCNA1,CCNA2,CCNL1,CCND2,CCNG1
SM01332	Cyclin_C	0.0215963432603036	-3.83523127212824	17	4	0.00630914826498423	634	9717	57018,894,8900,890	CCNL1,CCND2,CCNA1,CCNA2
SM00324	RhoGAP	0.0222753446724726	-3.8042748322333	64	9	0.0141955835962145	634	9717	395,23526,64411,9754,85360,94134,9411,58504,9743	ARHGAP6,ARHGAP45,ARAP3,STARD8,SYDE1,ARHGAP12,ARHGAP29,ARHGAP22,ARHGAP32
SM01192	Enolase_C	0.0233465740354786	-3.7573050278813	4	2	0.00315457413249211	634	9717	2026,2023	ENO2,ENO1
SM01193	Enolase_N	0.0233465740354786	-3.7573050278813	4	2	0.00315457413249211	634	9717	2023,2026	ENO1,ENO2
SM00855	PGAM	0.0234789864968202	-3.75164944948451	10	3	0.00473186119873817	634	9717	5223,5210,5209	PGAM1,PFKFB4,PFKFB3
SM00356	ZnF_C3H1	0.0282538973139651	-3.56652387288856	46	7	0.0110410094637224	634	9717	376940,9931,149041,84524,7538,29066,10150	ZC3H6,HELZ,RC3H1,ZC3H8,ZFP36,ZC3H7A,MBNL2
