TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP534	Glycolysis and Gluconeogenesis	8.32407974751662e-07	-13.9989431620407	49	15	0.0394736842105263	380	5310	226,3099,5214,2821,2023,3098,6515,7167,230,2026,2597,5230,5315,5223,6513	ALDOA,HK2,PFKP,GPI,ENO1,HK1,SLC2A3,TPI1,ALDOC,ENO2,GAPDH,PGK1,PKM,PGAM1,SLC2A1
WP1946	Cori Cycle	4.94294846298214e-06	-12.2175485499568	16	8	0.0210526315789474	380	5310	5214,2821,2597,7167,6513,3098,5223,5230	PFKP,GPI,GAPDH,TPI1,SLC2A1,HK1,PGAM1,PGK1
WP3614	Photodynamic therapy-induced HIF-1 survival signaling	5.44649683721401e-06	-12.1205379381247	37	12	0.0315789473684211	380	5310	6513,54583,6515,5315,3098,7039,5230,665,405,664,3485,7422	SLC2A1,EGLN1,SLC2A3,PKM,HK1,TGFA,PGK1,BNIP3L,ARNT,BNIP3,IGFBP2,VEGFA
WP410	Diurnally Regulated Genes with Circadian Orthologs	0.000123389009762355	-9.00016851235263	49	12	0.0315789473684211	380	5310	5187,687,5813,694,8987,10787,1408,5507,1051,8864,9975,8341	PER1,KLF9,PURA,BTG1,STBD1,NCKAP1,CRY2,PPP1R3C,CEBPB,PER2,NR1D2,H2BC15
WP236	Adipogenesis	0.000125552998449989	-8.98278259012903	131	22	0.0578947368421053	380	5310	10135,10891,6720,4616,1649,651,6319,8471,2487,9663,4088,56603,9021,3572,1051,3977,6095,4023,1855,10658,5914,6256	NAMPT,PPARGC1A,SREBF1,GADD45B,DDIT3,BMP3,SCD,IRS4,FRZB,LPIN2,SMAD3,CYP26B1,SOCS3,IL6ST,CEBPB,LIFR,RORA,LPL,DVL1,CELF1,RARA,RXRA
WP3594	Circadian rythm related genes	0.000313249956271386	-8.06850910378464	207	29	0.0763157894736842	380	5310	9967,22871,23239,5500,687,2063,6095,25819,405,8553,5187,8864,4783,9975,3725,5927,7071,10135,220202,1628,79365,10891,6720,3727,1408,8841,9572,8863,9456	THRAP3,NLGN1,PHLPP1,PPP1CB,KLF9,NR2F6,RORA,NOCT,ARNT,BHLHE40,PER1,PER2,NFIL3,NR1D2,JUN,KDM5A,KLF10,NAMPT,ATOH7,DBP,BHLHE41,PPARGC1A,SREBF1,JUND,CRY2,HDAC3,NR1D1,PER3,HOMER1
WP3915	Angiopoietin Like Protein 8 Regulatory Pathway	0.00100186520595316	-6.90589181036561	132	20	0.0526315789473684	380	5310	5565,2997,6720,6513,4023,5286,868,6319,2309,9252,1326,9064,8471,253260,5598,8986,5604,5600,6256,23433	PRKAB2,GYS1,SREBF1,SLC2A1,LPL,PIK3C2A,CBLB,SCD,FOXO3,RPS6KA5,MAP3K8,MAP3K6,IRS4,RICTOR,MAPK7,RPS6KA4,MAP2K1,MAPK11,RXRA,RHOQ
WP2374	Oncostatin M Signaling Pathway	0.00217167716687144	-6.13225552199467	66	12	0.0315789473684211	380	5310	253260,5604,3727,5970,5829,3977,3726,3716,9021,7422,3572,1051	RICTOR,MAP2K1,JUND,RELA,PXN,LIFR,JUNB,JAK1,SOCS3,VEGFA,IL6ST,CEBPB
WP481	Insulin Signaling	0.0022787609161607	-6.08412344156677	161	22	0.0578947368421053	380	5310	5598,2549,23433,30846,5600,8986,5604,9252,2309,8471,9064,1326,7494,2997,868,5286,6616,6513,10603,5792,9021,3725	MAPK7,GAB1,RHOQ,EHD2,MAPK11,RPS6KA4,MAP2K1,RPS6KA5,FOXO3,IRS4,MAP3K6,MAP3K8,XBP1,GYS1,CBLB,PIK3C2A,SNAP25,SLC2A1,SH2B2,PTPRF,SOCS3,JUN
WP49	IL-2 Signaling Pathway	0.00239677086602236	-6.03363292007976	42	9	0.0236842105263158	380	5310	894,9021,3716,2309,3725,1399,5604,1154,3560	CCND2,SOCS3,JAK1,FOXO3,JUN,CRKL,MAP2K1,CISH,IL2RB
WP2525	Trans-sulfuration and one carbon metabolism	0.00639995262527555	-5.0514646909446	32	7	0.0184210526315789	380	5310	6472,1491,25902,26227,10797,2729,1789	SHMT2,CTH,MTHFD1L,PHGDH,MTHFD2,GCLC,DNMT3B
WP3859	TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition	0.00718676214959099	-4.93551453557651	18	5	0.0131578947368421	380	5310	860,3397,4088,7431,1004	RUNX2,ID1,SMAD3,VIM,CDH6
WP3301	MFAP5-mediated ovarian cancer cell motility and invasiveness	0.00805328649463232	-4.82167501066441	12	4	0.0105263157894737	380	5310	9586,3690,3725,5335	CREB5,ITGB3,JUN,PLCG1
WP364	IL-6 signaling pathway	0.0100810401704139	-4.59709883015348	43	8	0.0210526315789474	380	5310	5604,2063,2549,3572,7076,3726,9021,3716	MAP2K1,NR2F6,GAB1,IL6ST,TIMP1,JUNB,SOCS3,JAK1
WP2332	Interleukin-11 Signaling Pathway	0.0115756179348254	-4.45885429513669	44	8	0.0210526315789474	380	5310	3383,5604,7525,860,5970,3572,9021,3716	ICAM1,MAP2K1,YES1,RUNX2,RELA,IL6ST,SOCS3,JAK1
WP2064	Neural Crest Differentiation	0.0131715584115244	-4.32969543981556	102	14	0.0368421052631579	380	5310	2261,4853,3516,8841,1856,10014,1855,1004,4791,3397,8313,64211,5376,283659	FGFR3,NOTCH2,RBPJ,HDAC3,DVL2,HDAC5,DVL1,CDH6,NFKB2,ID1,AXIN2,LHX5,PMP22,PRTG
WP366	TGF-beta Signaling Pathway	0.0132918014195393	-4.32060786844947	133	17	0.0447368421052632	380	5310	3725,860,3726,7071,1386,23327,467,9372,9063,3690,3727,5163,7049,8462,5604,4088,4092	JUN,RUNX2,JUNB,KLF10,ATF2,NEDD4L,ATF3,ZFYVE9,PIAS2,ITGB3,JUND,PDK1,TGFBR3,KLF11,MAP2K1,SMAD3,SMAD7
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	0.0133692062485449	-4.3148012577275	54	9	0.0236842105263158	380	5310	5585,1495,7431,4092,602,3727,308,2729,9021	PKN1,CTNNA1,VIM,SMAD7,BCL3,JUND,ANXA5,GCLC,SOCS3
WP3613	Photodynamic therapy-induced unfolded protein response	0.0149731989980385	-4.20149340945615	29	6	0.0157894736842105	380	5310	9695,27113,23645,7494,467,1649	EDEM1,BBC3,PPP1R15A,XBP1,ATF3,DDIT3
WP2018	RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway	0.0150098019727094	-4.19905182644782	55	9	0.0236842105263158	380	5310	7187,5604,3383,9060,3725,5970,5335,2274,4791	TRAF3,MAP2K1,ICAM1,PAPSS2,JUN,RELA,PLCG1,FHL2,NFKB2
WP395	IL-4 Signaling Pathway	0.0150098019727094	-4.19905182644782	55	9	0.0236842105263158	380	5310	5600,3269,4783,5970,1051,9021,3716,1386,2316	MAPK11,HRH1,NFIL3,RELA,CEBPB,SOCS3,JAK1,ATF2,FLNA
WP170	Nuclear Receptors	0.0190058300932163	-3.96300949987223	39	7	0.0184210526315789	380	5310	5915,9975,3164,5914,2063,6095,6256	RARB,NR1D2,NR4A1,RARA,NR2F6,RORA,RXRA
WP560	TGF-beta Receptor Signaling	0.0208204201477581	-3.87182103599133	58	9	0.0236842105263158	380	5310	9241,860,3725,3716,7049,4088,4093,9372,4092	NOG,RUNX2,JUN,JAK1,TGFBR3,SMAD3,SMAD9,ZFYVE9,SMAD7
WP2858	Ectoderm Differentiation	0.0256006959311075	-3.66513574305723	143	17	0.0447368421052632	380	5310	3148,7704,22871,5236,2274,152789,6469,91653,5292,6386,6016,2720,51043,6781,9935,25987,1004	HMGB2,ZBTB16,NLGN1,PGM1,FHL2,JAKMIP1,SHH,BOC,PIM1,SDCBP,RIT1,GLB1,ZBTB7B,STC1,MAFB,TSKU,CDH6
WP1528	Physiological and Pathological Hypertrophy  of the Heart	0.0295086598767794	-3.52307150357018	25	5	0.0131578947368421	380	5310	3977,817,5600,3725,3572	LIFR,CAMK2D,MAPK11,JUN,IL6ST
WP2874	Liver X Receptor Pathway	0.0298884129080705	-3.51028440185212	10	3	0.00789473684210526	380	5310	6256,6319,6720	RXRA,SCD,SREBF1
WP716	Vitamin A and Carotenoid Metabolism	0.0348954061753856	-3.35540008664995	44	7	0.0184210526315789	380	5310	5914,4023,6256,9249,5915,1382,56603	RARA,LPL,RXRA,DHRS3,RARB,CRABP2,CYP26B1
WP2011	SREBF and miR33 in cholesterol and lipid homeostasis	0.0424038607748211	-3.16051586487964	19	4	0.0105263157894737	380	5310	19,6319,10891,6720	ABCA1,SCD,PPARGC1A,SREBF1
WP268	Notch Signaling Pathway	0.0431661481316572	-3.14269869897685	46	7	0.0184210526315789	380	5310	8650,3762,4853,3516,1856,9253,1855	NUMB,KCNJ5,NOTCH2,RBPJ,DVL2,NUMBL,DVL1
WP732	Serotonin Receptor 2 and ELK-SRF/GATA4 signaling	0.0501167420549786	-2.99340015396053	20	4	0.0105263157894737	380	5310	3708,5923,10125,5604	ITPR1,RASGRF1,RASGRP1,MAP2K1
WP69	T-Cell antigen Receptor (TCR)  Signaling Pathway	0.0586888989207571	-2.83550468552233	91	11	0.0289473684210526	380	5310	8915,868,3708,7431,3725,1386,5604,1399,5970,5335,1326	BCL10,CBLB,ITPR1,VIM,JUN,ATF2,MAP2K1,CRKL,RELA,PLCG1,MAP3K8
WP1434	Osteopontin Signaling	0.0607527929535849	-2.80094222327367	13	3	0.00789473684210526	380	5310	5970,5604,3690	RELA,MAP2K1,ITGB3
WP3892	Development of pulmonary dendritic cells and macrophage subsets	0.0607527929535849	-2.80094222327367	13	3	0.00789473684210526	380	5310	860,55509,3394	RUNX2,BATF3,IRF8
WP2637	Structural Pathway of Interleukin 1 (IL-1)	0.063255080535914	-2.76057982992188	50	7	0.0184210526315789	380	5310	3656,5600,5604,9252,1386,5970,1326	IRAK2,MAPK11,MAP2K1,RPS6KA5,ATF2,RELA,MAP3K8
WP2112	IL17 signaling pathway	0.0666183479676607	-2.70877524436766	31	5	0.0131578947368421	380	5310	132014,3716,1051,5970,7187	IL17RE,JAK1,CEBPB,RELA,TRAF3
WP408	Oxidative Stress	0.0666183479676607	-2.70877524436766	31	5	0.0131578947368421	380	5310	3726,2878,4501,2729,3162	JUNB,GPX3,MT1X,GCLC,HMOX1
