TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
3.30.40.10	Zinc/RING finger domain, C3HC4 (zinc finger)	5.9297859619839e-08	-16.6406926256947	441	76	0.0521978021978022	1456	15792	69260,225164,217558,66262,244421,19822,93836,54484,76892,58186,20439,170822,232237,80904,30945,338523,207742,55992,223770,72057,76804,67702,20437,74198,70294,78246,51902,230936,57438,71793,75234,109113,19821,29864,216238,68031,72607,20591,19647,68846,218441,17246,18140,68350,217578,234135,319817,67588,106021,56515,23807,268291,71801,28035,76073,80751,59004,69368,235441,70928,435626,23806,68098,71865,19820,72193,237400,382207,24017,74365,66510,28105,381305,69837,74112,329581	Ing2,Mib1,G2e3,Ing5,Lonrf1,Rnf4,Rnf111,Mkrn1,Rnft1,Rad18,Siah2,Usp33,Fgd5,Dtx3,Rnf19a,Kdm7a,Rnf43,Trim3,Brd1,Phf10,Kdm4c,Rnf149,Siah1a,Dtx2,Rnf126,Phf23,Rnf24,Phf13,Marchf7,Ints12,Rnf19b,Uhrf2,Rnf2,Rnf11,Eea1,Rnf146,Usp13,Kdm5c,Rbbp6,Rnf208,Zfyve16,Mdm2,Uhrf1,Mul1,Baz1a,Nsd3,Rc3h2,Rnf41,Topors,Rnf138,Arih2,Rnf217,Plekhf2,Usp39,Pcgf5,Rnf34,Pias4,Wdfy1,Usp3,Trim69,Rufy4,Arih1,Rchy1,Fbxo30,Rlim,Scaf11,Mex3d,Jade3,Rnf13,Lonrf3,Rnf181,Trim36,Rc3h1,Pcgf1,Usp16,Birc7
2.30.29.30	Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB)	3.85859351160488e-06	-12.4652078161202	415	67	0.0460164835164835	1456	15792	211945,17101,226971,26558,71801,18607,74309,72569,19158,100017,22113,231002,29809,20403,269198,216190,22323,239027,230098,18223,102075,21682,217198,218952,70729,71704,102693,245638,69601,101476,19417,20648,78618,21894,380921,77300,19878,17698,232237,18141,625638,27280,101497,319939,231717,67220,68743,68734,227333,52857,74486,14389,67602,57267,57915,26556,72993,73178,54153,21844,24055,381605,75901,223435,237542,230863,19386	Plekhh1,Lyst,Plekhb2,Homer3,Plekhf2,Pdpk1,Osbp2,Bbs5,Cyth2,Ldlrap1,Phlda2,Plekhn1,Rabgap1l,Itsn2,Nbeal1,Appl2,Vasp,Arhgap22,Arhgef39,Numbl,Plekhg4,Tec,Plekhh3,Fermt2,Nos1ap,Arhgef3,Phldb1,Tbc1d8b,Dab2ip,Plekha1,Rasgrf1,Snta1,Acap2,Tln1,Dgkh,Raph1,Rock2,Msn,Fgd5,Nup50,Fam43b,Phlda3,Plekhg2,Tns3,Pheta1,Plekho1,Anln,Ppp4r3a,Dgkd,Gramd1a,Osbpl10,Gab2,Necap1,Apba3,Tbc1d1,Homer1,Appl1,Wasl,Rasa4,Tiam1,Sh3bp2,Tbc1d2,Dcp1a,Trio,Osbpl8,Sh2d5,Ranbp2
1.10.510.10	Transferase(Phosphotransferase) domain 1	8.70755968240473e-05	-9.34873388759792	491	71	0.0487637362637363	1456	15792	17776,68166,18607,106522,328329,26385,26419,18817,109333,78943,108079,83560,214897,18712,50772,110651,24086,69131,27103,21682,264064,69181,20811,19108,11790,98267,65964,140780,18759,17295,27373,17691,17165,71340,381979,68943,213326,19878,66878,13836,107951,13143,102414,18715,226778,223775,228775,11352,26405,12675,14182,15258,12750,108737,20620,12747,244895,18211,192292,16202,26400,224105,17164,338372,12649,102626,279561,223435,12795,74178,20459	Mast2,Spire1,Pdpk1,Pkdcc,Mast4,Grk6,Mapk8,Plk1,Pkn2,Ern1,Prkaa2,Tex14,Csnk1g1,Pim1,Mapk6,Rps6ka3,Tlk2,Cdk12,Eif2ak4,Tec,Cdk8,Dyrk2,Srms,Prkx,Speg,Stk17b,Map3k20,Bmp2k,Prkci,Met,Csnk1e,Sik1,Mapkapk5,Riok1,Brsk1,Pink1,Scyl2,Rock2,Riok3,Epha2,Cdk9,Dapk2,Clk3,Pim2,Mark1,Pim3,Trib3,Abl2,Map3k2,Chuk,Fgfr1,Hipk2,Clk4,Oxsr1,Plk2,Clk1,Peak1,Ntrk1,Nrbp1,Ilk,Map2k7,Pak2,Mapkapk2,Map3k9,Chek1,Mapkapk3,Wnk3,Trio,Plk3,Stk40,Ptk6
2.60.120.650	Cupin	0.000167568650450305	-8.69411743723147	29	10	0.00686813186813187	1456	15792	104263,20591,68736,76804,16468,107817,216850,108829,15460,338523	Kdm3a,Kdm5c,Tyw5,Kdm4c,Jarid2,Jmjd6,Kdm6b,Jmjd1c,Hr,Kdm7a
3.90.640.90	Anti-proliferative protein, N-terminal domain	0.000292099094852388	-8.13841744733475	8	5	0.00343406593406593	1456	15792	12226,57259,22057,12228,12227	Btg1,Tob2,Tob1,Btg3,Btg2
1.20.5.170	-	0.000351500373137463	-7.95329978515661	169	30	0.0206043956043956	1456	15792	326618,16666,17135,233490,16476,14282,22004,17880,28105,12611,14284,18008,269113,226641,212632,22003,11911,17133,74105,18226,16667,16905,378435,11908,14283,16477,11910,74026,14281,77040	Tpm4,Krt16,Mafk,Crebzf,Jun,Fosb,Tpm2,Myh11,Trim36,Cebpg,Fosl2,Nes,Nup54,Atf6,Iffo2,Tpm1,Atf4,Maff,Gga2,Nup62,Krt17,Lmna,Mafa,Atf1,Fosl1,Junb,Atf3,Msl1,Fos,Atg16l1
1.10.418.10	Calponin-like domain	0.000729671934576103	-7.22291552952466	79	17	0.0116758241758242	1456	15792	194401,12797,68794,170736,286940,21346,109711,237436,60595,12316,12798,192176,21345,29856,78286,27008,320878	Mical3,Cnn1,Flnc,Parvb,Flnb,Tagln2,Actn1,Gas2l3,Actn4,Aspm,Cnn2,Flna,Tagln,Smtn,Nav2,Micall1,Mical2
4.10.1170.10	MAP kinase activated protein kinase 2	0.000782275764980848	-7.15330323894159	3	3	0.00206043956043956	1456	15792	102626,17165,17164	Mapkapk3,Mapkapk5,Mapkapk2
3.40.250.10	Rhodanese-like domain	0.000979304689142132	-6.92866773898989	24	8	0.00549450549450549	1456	15792	63953,12530,75590,240672,235584,19252,12532,18218	Dusp10,Cdc25a,Dusp9,Dusp5,Dusp7,Dusp1,Cdc25c,Dusp8
2.10.110.10	Cysteine Rich Protein	0.00114001075648429	-6.77671758110772	75	16	0.010989010989011	1456	15792	30794,21753,56376,110829,320878,27008,21804,14200,67399,29806,225341,22793,194401,319713,210126,30937	Pdlim4,Tes,Pdlim5,Lims1,Mical2,Micall1,Tgfb1i1,Fhl2,Pdlim7,Limd1,Lims2,Zyx,Mical3,Ablim3,Lpp,Lmcd1
