TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
20238	Atxn1 (ataxin 1)	1.85891534521158e-07	-15.4981024810657	663	127	0.0900070871722183	1411	11389	16905,20238,24015,20044,19697,12228,110651,66254,66409,18538,17356,56431,68024,50927,19826,67039,66978,17918,19155,286940,104831,21346,16202,170791,59027,66481,20174,74142,234699,233726,67089,73826,15275,22019,11845,13726,18452,18641,70572,22631,15381,18451,11459,19346,30960,83602,11308,26900,14583,235661,20975,17254,99982,18655,29876,11964,23790,80879,56403,14359,56421,56347,19386,72692,15568,233871,68981,26433,107817,19387,21991,12455,20539,16418,22190,216443,13660,13669,18223,226562,76709,17768,114584,21917,69237,17913,11475,226977,15526,74117,20005,97165,67500,67832,238799,22763,22628,22042,15361,55989,22629,74551,19647,13807,193740,67857,93760,15277,20397,14312,30877,70349,229663,108829,111241,16666,207214,98386,68436,22215,16667,270685,13204,50790,11966,14674,76302	Lmna,Atxn1,Abce1,Rps14,Rela,Btg3,Rps6ka3,Dimt1,Rsl1d1,Pcna,Afdn,Dstn,H2bc4,Nasp,Rnps1,Rbm25,Luc7l,Myo5a,Npepps,Flnb,Ptpn23,Tagln2,Ilk,Rbm39,Nampt,Rps21,Ruvbl2,Lonp1,Edc4,Ipo7,Psmc6,Poldip3,Hk1,Tpp2,Arf6,Emd,P4ha2,Pfkl,Ipo5,Ywhaz,Hnrnpc,P4ha1,Acta1,Rab6a,Vapa,Gtf2a1,Abi1,Ddx3y,Gfpt1,Dync1li1,Synj2,Slc3a2,Kdm1a,Pgk1,Clic4,Atp6v1a,Coro1c,Slc16a3,Syncrip,Fxr1,Pfkp,Eif3c,Ranbp2,Hnrnpll,Elavl1,Atxn2l,Snrpa1,Plod3,Jmjd6,Rangap1,Tpi1,Ccnt1,Slc7a5,Eif6,Ubc,Mars1,Ehd1,Eif3a,Numbl,Prrc2c,Arpc2,Mthfd2,Clic1,Tmpo,Gtpbp4,Myo1c,Acta2,Actr1b,Hspa9,Actr3,Rpl9,Hmgb2,Ccar1,Brix1,Tnpo1,Zfr,Ywhag,Tfrc,Hmga1,Nop58,Ywhah,Pck2,Rbbp6,Eno2,Hspa1a,Ppp6c,Arid1a,Hk2,Sgpl1,Brd2,Gnl3,Copb1,Csde1,Jmjd1c,Hmga1b,Krt16,Larp4,Lbr,Rpl34,Ube3a,Krt17,Mthfd1l,Dhx15,Acsl4,Atp6v1b2,Gna13,Pcnp
13626	Eed (embryonic ectoderm development)	2.39444439865853e-07	-15.2449444308665	1153	199	0.14103472714387	1411	11389	54188,110829,14433,216705,19826,226747,20104,20652,56431,18538,75416,53605,21968,217882,271457,18392,19941,24015,22070,56418,28114,23790,99982,17886,19821,30960,14583,53323,75646,77371,192176,233489,18451,22631,58994,70572,22121,18641,18452,16468,70472,245841,338467,22333,52705,27050,230908,71268,233726,16573,20174,213539,224105,20005,74838,17149,74117,17913,16646,76709,67628,13669,22388,67771,13660,52615,56454,110954,216443,73192,19205,68743,21991,22379,26433,56353,13627,15568,101867,19386,267019,76073,102414,114641,57808,67399,270685,216821,20525,22003,76789,19046,13205,30877,26949,20397,13629,71602,52123,15277,338367,27053,13806,109711,14268,218952,14751,22763,11747,11569,321006,67832,12631,238799,67920,170791,94213,286940,17880,60595,11465,17356,26432,20091,66254,59013,56351,326618,21454,27367,56295,21894,20403,19384,20044,69837,13681,16905,78294,269261,18655,15519,331401,215449,69823,15381,18458,14225,11845,18648,14609,56040,217578,22608,81898,66164,237436,677884,23879,14325,69077,19744,15526,69237,114584,26905,23983,17686,16418,319195,68810,19387,11821,67891,98732,231380,72692,225115,56347,14359,67300,56403,50790,13204,11461,17904,140780,98386,223435,70349,15168,18746,223697,66687,55989,22628,59025,67500,76130	Cpsf4,Lims1,Gapdh,Clint1,Rnps1,Ahctf1,Rps6,Soat1,Dstn,Pcna,Nop14,Nap1l1,Tom1,Cep170b,Rab5a,Orc1,Rpl26,Abce1,Tpt1,Ykt6,Nsun2,Coro1c,Kdm1a,Myh9,Rnf2,Vapa,Gfpt1,Ube2k,Rai14,Sec24a,Flna,Picalm,P4ha1,Ywhaz,Smpd3,Ipo5,Rpl13a,Pfkl,P4ha2,Jarid2,Atad2,Polr2h,Morc3,Vdac1,Krr1,Rps3,Tardbp,Lrrfip2,Ipo7,Kif5b,Ruvbl2,Bag2,Pak2,Rpl9,Naa15,Magoh,Actr3,Myo1c,Kpna1,Arpc2,Anp32b,Eif3a,Wdr1,Arpc5,Ehd1,Suz12,Aldh18a1,Rpl10,Mars1,Xpot,Ptbp1,Anln,Tpi1,Fmnl3,Plod3,Rybp,Eef1a1,Elavl1,Rrp8,Ranbp2,Rps15a,Pcgf5,Clk3,Rpl31,Rpl35a,Pdlim7,Mthfd1l,Tmem11,Slc2a1,Tpm1,Mzt1,Ppp1cb,Ddx3x,Gnl3,Vat1,Sgpl1,Eef2,Myo1e,Agpat5,Hk2,Myo1d,Asns,Eno1,Actn1,Fn1,Fermt2,Gpi1,Zfr,Anxa5,Aebp2,Dcaf1,Brix1,Cfl1,Tnpo1,Mak16,Rbm39,Ddx50,Flnb,Myh11,Actn4,Actg1,Afdn,Plod2,Rps3a1,Dimt1,Hnrnph1,Ptges3,Tpm4,Tcp1,Rpl3,Higd1a,Tln1,Itsn2,Ran,Rps14,Pcgf1,Eif4a1,Lmna,Rps27a,Rpl12,Pgk1,Hsp90aa1,Thoc2,Rap1b,Fyttd1,Hnrnpc,Pabpc1,Fkbp1a,Arf6,Pgam1,Gja1,Rplp1,Baz1a,Ybx1,Sf3b1,Nip7,Gas2l3,Pakap,Fxr2,Ftl1,Psmd11,Rheb,Hspa9,Gtpbp4,Clic1,Eif2s3x,Pcbp1,Msh3,Eif6,Rpl17,Nexn,Rangap1,Aprt,Rpl4,Rab3gap2,Uba6,Hnrnpll,Svil,Eif3c,Fxr1,Cltc,Syncrip,Acsl4,Dhx15,Actb,Myl6,Bmp2k,Lbr,Trio,Copb1,Hcn3,Pkm,Sun2,Tbc1d15,Nop58,Ywhag,Usp14,Ccar1,Las1l
403183	Mettl21e (methyltransferase like 21E)	3.12839748516655e-07	-14.9775747630854	252	60	0.0425230333097094	1411	11389	56454,23983,22004,13669,20104,76709,114584,16978,17913,21917,21346,69077,286940,15526,74117,67300,56403,16905,13681,21894,16828,56347,68794,26433,326618,18538,216443,11674,18008,75991,72333,12798,19231,22003,18451,17886,30960,17254,23790,12331,22437,67500,13684,20174,81898,30794,71268,109711,13806,22608,71340,230908,67089,22235,170768,338467,223697,13629,93760,13030	Aldh18a1,Pcbp1,Tpm2,Eif3a,Rps6,Arpc2,Clic1,Lrrfip1,Myo1c,Tmpo,Tagln2,Psmd11,Flnb,Hspa9,Actr3,Cltc,Syncrip,Lmna,Eif4a1,Tln1,Ldha,Eif3c,Flnc,Plod3,Tpm4,Pcna,Mars1,Aldoa,Nes,Slain2,Palld,Cnn2,Ptma,Tpm1,P4ha1,Myh9,Vapa,Slc3a2,Coro1c,Cap1,Xirp1,Ccar1,Eif4e,Ruvbl2,Sf3b1,Pdlim4,Lrrfip2,Actn1,Eno1,Ybx1,Riok1,Tardbp,Psmc6,Ugdh,Pfkfb3,Morc3,Sun2,Eef2,Arid1a,Ctsb
18663	Pgk2 (phosphoglycerate kinase 2)	5.1617521913743e-07	-14.4768195571346	14	10	0.0070871722182849	1411	11389	20238,21991,66481,22070,20044,18746,11465,11461,27367,13627	Atxn1,Tpi1,Rps21,Tpt1,Rps14,Pkm,Actg1,Actb,Rpl3,Eef1a1
20807	Srf (serum response factor)	5.1617521913743e-07	-14.4768195571346	14	10	0.0070871722182849	1411	11389	22156,21345,14200,11475,16667,12023,13831,13653,20807,14219	Tuft1,Tagln,Fhl2,Acta2,Krt17,Barx2,Epc1,Egr1,Srf,Ccn2
5728	PTEN (phosphatase and tensin homolog)	5.56620269904492e-07	-14.4013825711543	109	33	0.0233876683203402	1411	11389	12632,16828,13806,56040,21454,27367,13627,12631,67300,13681,13629,53605,18538,27050,22235,21991,67951,18746,66313,11459,56431,13205,16854,23983,74117,11461,15519,16948,12331,18655,192176,17755,17886	Cfl2,Ldha,Eno1,Rplp1,Tcp1,Rpl3,Eef1a1,Cfl1,Cltc,Eif4a1,Eef2,Nap1l1,Pcna,Rps3,Ugdh,Tpi1,Tubb6,Pkm,Smurf2,Acta1,Dstn,Ddx3x,Lgals3,Pcbp1,Actr3,Actb,Hsp90aa1,Lox,Cap1,Pgk1,Flna,Map1b,Myh9
19988	Rpl6 (ribosomal protein L6)	6.26078028729391e-07	-14.2837908270815	135	38	0.0269312544294826	1411	11389	114641,11461,15519,269261,57808,67731,22121,18458,20104,70767,19156,13205,23983,319195,73826,20091,16418,13629,13361,67891,27050,213326,14265,26433,13626,19878,267019,56040,13627,27367,13684,78294,66481,20238,24015,19941,22070,20044	Rpl31,Actb,Hsp90aa1,Rpl12,Rpl35a,Fbxo32,Rpl13a,Pabpc1,Rps6,Prpf3,Psap,Ddx3x,Pcbp1,Rpl17,Poldip3,Rps3a1,Eif6,Eef2,Dhfr,Rpl4,Rps3,Scyl2,Fmr1,Plod3,Eed,Rock2,Rps15a,Rplp1,Eef1a1,Rpl3,Eif4e,Rps27a,Rps21,Atxn1,Abce1,Rpl26,Tpt1,Rps14
11465	Actg1 (actin, gamma, cytoplasmic 1)	1.24422071614724e-06	-13.5970011548295	69	24	0.0170092133238838	1411	11389	12632,27367,13627,67300,78294,16905,20174,22070,110954,67891,13626,21991,67731,22631,56515,11459,56431,114641,11461,12331,192176,19821,56207,57808	Cfl2,Rpl3,Eef1a1,Cltc,Rps27a,Lmna,Ruvbl2,Tpt1,Rpl10,Rpl4,Eed,Tpi1,Fbxo32,Ywhaz,Rnf138,Acta1,Dstn,Rpl31,Actb,Cap1,Flna,Rnf2,Uchl5,Rpl35a
72512	Sting1 (stimulator of interferon response cGAMP interactor 1)	1.27781609484653e-06	-13.5703581131097	1767	281	0.199149539333806	1411	11389	320878,224273,17698,20909,22628,12505,50850,76559,66612,320713,70012,66687,74094,223697,18746,319939,68262,20479,98386,68436,21825,67812,380993,56715,50798,80289,11461,76302,69161,223775,14109,56347,233871,52635,67300,69860,70495,16402,213326,12785,67891,98732,20539,66616,19878,19387,14897,23983,72098,19744,15526,75705,230126,237782,226641,235442,21917,69237,71177,18817,108954,12226,14245,22793,66164,66481,170760,244895,18417,27368,230257,20527,18458,21985,18108,72736,14664,15381,11674,11845,218756,18648,107939,20515,21366,67533,15519,232286,56524,80879,18655,12331,14630,71782,434204,321022,235533,69605,66471,12332,21753,21894,15357,19384,110651,27367,21454,54411,16905,13681,20091,100017,17101,17938,73024,100561,17356,244144,67367,56228,21346,11990,75965,11501,67760,226551,13806,269717,140792,268301,18141,15368,71804,58235,12631,76273,67702,11747,26949,20397,13629,71602,68770,52123,78618,69082,66270,17210,66251,27053,67972,18984,51902,13205,18008,108097,231717,65106,20648,241447,102693,192160,229663,75089,233724,103266,22323,215210,105835,53328,14102,57808,67399,19386,267019,240263,13627,228608,12672,245638,76809,73137,545389,16412,54607,97112,19205,21991,52857,66849,58998,16709,66840,11671,67771,338320,13660,228413,17250,20005,224105,213539,76709,16978,16646,233726,19305,16573,20535,11987,12215,74349,56376,72119,109333,20405,116873,214459,27050,269682,54214,22121,69241,65973,233489,108705,69399,104418,12176,75991,24055,414872,13726,57296,237542,26889,17254,23790,11964,29876,57915,57748,192176,52076,235661,17886,30960,11308,26987,52521,16828,67281,66352,20775,12380,18412,56418,12316,67630,75909,170822,56372,19696,29806,15247,20652,12400,269966,320506,20104,330836,74200,56431,67921,76895,14433,242521,226747,231130,216705,68833	Mical2,Crybg3,Msn,Stx4a,Ywhag,Cd44,Spast,Atg2b,Ormdl3,Mysm1,Cep85,Tbc1d15,Tjap1,Sun2,Pkm,Tns3,Agpat4,Vps4b,Lbr,Rpl34,Thbs1,Ubxn4,Zfat,Rabgef1,Gne,Lysmd3,Actb,Pcnp,Manbal,Pim3,Fau,Eif3c,Atxn2l,Esyt2,Cltc,Eif1ad,Atp6ap2,Itga5,Scyl2,Cnbp,Rpl4,Rab3gap2,Slc7a5,Snx9,Rock2,Rangap1,Trip12,Pcbp1,Tmem68,Rheb,Hspa9,Eif4b,Shb,Smcr8,Atf6,Rab8b,Tmpo,Gtpbp4,Ints13,Plk1,Ppp1r15b,Btg1,Lpin1,Zyx,Nip7,Rps21,Acbd3,Peak1,Cldn11,Tbl2,Ptbp3,Slc2a3,Pabpc1,Tpd52,Nmt2,Tmx1,Slc6a9,Hnrnpc,Aldoa,Arf6,Slc4a7,Pgam1,Pom121,Slc20a1,Slc6a6,Ppfibp1,Hsp90aa1,Tmf1,Pals2,Slc16a3,Pgk1,Cap1,Gclm,Ankle2,Whamm,Cdv3,Gk5,Lnpk,Anp32e,Capg,Tes,Tln1,Hmgcr,Ran,Rps6ka3,Rpl3,Tcp1,Atp6ap1,Lmna,Eif4a1,Rps3a1,Ldlrap1,Lyst,Naca,Emc7,Slc15a4,Afdn,Usp35,Paxbp1,Ube2j1,Tagln2,Atrn,Zdhhc20,Adam8,Slc38a2,Suco,Eno1,Orai2,Colec12,Sowahc,Nup50,Hmox1,Mtfr2,Nectin1,Cfl1,Ndfip2,Rnf149,Anxa5,Vat1,Sgpl1,Eef2,Myo1e,Phtf2,Agpat5,Acap2,Zc3h15,Retreg1,Mcl1,Arfgap3,Asns,Atp2b1,Por,Rnf24,Ddx3x,Nes,Prkab2,Pheta1,Arl6ip5,Snta1,Cers6,Phldb1,Casc3,Csde1,Bltp3b,Tmem41b,Tmem263,Vasp,Tmem120a,Sgsm3,Pgrmc1,Fas,Rpl35a,Pdlim7,Ranbp2,Rps15a,Fem1c,Eef1a1,Smox,Chrm4,Tbc1d8b,Bri3bp,Prrc1,Cep170,Itgb1,Socs6,Nmd3,Ptbp1,Tpi1,Gramd1a,Ppp1r2,Nectin3,Ktn1,Wdr45b,Aldh3a2,Arpc5,Mia2,Ehd1,Prrg4,Abcc1,Rpl9,Pak2,Bag2,Arpc2,Lrrfip1,Kpna1,Ipo7,Pex5,Kif5b,Slc4a2,Slc7a1,Bsg,Fhip1b,Pdlim5,Tpx2,Pkn2,Sh3gl1,Stim2,Fnbp1l,Rps3,Golga3,Golga4,Rpl13a,Polr2d,Asph,Picalm,Pttg1ip,1700025G04Rik,Dgkz,Bnip3,Slain2,Sh3bp2,Zyg11b,Emd,Psmd8,Osbpl8,Cln8,Slc3a2,Coro1c,Atp6v1a,Clic4,Tbc1d1,Jmy,Flna,Tmem38b,Dync1li1,Myh9,Vapa,Abi1,Eif4e2,Zfp622,Ldha,Rpl37,Blzf1,Sqle,Cast,Sqstm1,Ykt6,Aspm,Samd8,Vmp1,Usp33,1110004F10Rik,Rel,Limd1,Mfsd14a,Soat1,Cbfb,Nup98,Lmbrd2,Rps6,Slc7a6,Khdc4,Dstn,Ube2f,Bicd2,Gapdh,Klhl9,Ahctf1,Tnip2,Clint1,Pdcl3
67070	Lsm14a (LSM14A mRNA processing body assembly factor)	1.39242700355561e-06	-13.484462287664	28	14	0.00992204110559887	1411	11389	18458,22608,233871,20104,13205,19156,13684,77040,23983,11461,73826,22190,14265,19878	Pabpc1,Ybx1,Atxn2l,Rps6,Ddx3x,Psap,Eif4e,Atg16l1,Pcbp1,Actb,Poldip3,Ubc,Fmr1,Rock2
