TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR013083	Znf_RING/FYVE/PHD	2.74694635187604e-08	-17.4101908667438	441	76	0.0423634336677815	1794	19871	66510,17246,70928,69837,237400,20437,68031,76892,106021,28105,71865,268291,67588,207742,72057,67702,217558,319817,68098,69260,76804,23806,68350,72193,70294,30945,71801,23807,216238,58186,68846,76073,55992,57438,18140,223770,19820,218441,19647,234135,230936,28035,56515,19821,59004,435626,382207,109113,54484,329581,74365,93836,24017,225164,80751,51902,72607,20591,217578,244421,78246,232237,235441,20439,66262,19822,74112,74198,29864,69368,338523,381305,75234,71793,170822,80904	Rnf181,Mdm2,Trim69,Pcgf1,Mex3d,Siah1a,Rnf146,Rnft1,Topors,Trim36,Fbxo30,Rnf217,Rnf41,Rnf43,Phf10,Rnf149,G2e3,Rc3h2,Rchy1,Ing2,Kdm4c,Arih1,Mul1,Scaf11,Rnf126,Rnf19a,Plekhf2,Arih2,Eea1,Rad18,Rnf208,Pcgf5,Trim3,Marchf7,Uhrf1,Brd1,Rlim,Zfyve16,Rbbp6,Nsd3,Phf13,Usp39,Rnf138,Rnf2,Pias4,Rufy4,Jade3,Uhrf2,Mkrn1,Birc7,Lonrf3,Rnf111,Rnf13,Mib1,Rnf34,Rnf24,Usp13,Kdm5c,Baz1a,Lonrf1,Phf23,Fgd5,Usp3,Siah2,Ing5,Rnf4,Usp16,Dtx2,Rnf11,Wdfy1,Kdm7a,Rc3h1,Rnf19b,Ints12,Usp33,Dtx3
IPR011993	PH-like_dom_sf	2.0197922796947e-06	-13.112515883673	415	67	0.0373467112597547	1794	19871	71704,67220,232237,223435,19417,24055,19878,101476,19386,230098,625638,22323,102693,29809,381605,18607,217198,21894,74486,72569,52857,22113,230863,231717,102075,216190,21682,231002,74309,21844,227333,57915,19158,54153,101497,26558,218952,18223,27280,269198,57267,68743,319939,78618,211945,17698,239027,100017,75901,14389,20403,72993,18141,237542,67602,226971,68734,70729,245638,26556,73178,17101,69601,20648,77300,71801,380921	Arhgef3,Plekho1,Fgd5,Trio,Rasgrf1,Sh3bp2,Rock2,Plekha1,Ranbp2,Arhgef39,Fam43b,Vasp,Phldb1,Rabgap1l,Tbc1d2,Pdpk1,Plekhh3,Tln1,Osbpl10,Bbs5,Gramd1a,Phlda2,Sh2d5,Pheta1,Plekhg4,Appl2,Tec,Plekhn1,Osbp2,Tiam1,Dgkd,Tbc1d1,Cyth2,Rasa4,Plekhg2,Homer3,Fermt2,Numbl,Phlda3,Nbeal1,Apba3,Anln,Tns3,Acap2,Plekhh1,Msn,Arhgap22,Ldlrap1,Dcp1a,Gab2,Itsn2,Appl1,Nup50,Osbpl8,Necap1,Plekhb2,Ppp4r3a,Nos1ap,Tbc1d8b,Homer1,Wasl,Lyst,Dab2ip,Snta1,Raph1,Plekhf2,Dgkh
IPR001841	Znf_RING	4.10835611170309e-06	-12.4024875822882	278	49	0.0273132664437012	1794	19871	100978,75234,381305,74198,29864,19822,20439,80904,93836,74365,329581,54484,109113,244421,51902,80751,225164,24017,74164,70294,30945,68350,72193,23806,68098,19821,56515,19647,19820,18140,55992,76073,68846,58186,23807,106021,68031,76892,20437,237400,69837,70928,17246,66510,319817,67702,207742,67588,28105	Nfxl1,Rnf19b,Rc3h1,Dtx2,Rnf11,Rnf4,Siah2,Dtx3,Rnf111,Lonrf3,Birc7,Mkrn1,Uhrf2,Lonrf1,Rnf24,Rnf34,Mib1,Rnf13,Nfx1,Rnf126,Rnf19a,Mul1,Scaf11,Arih1,Rchy1,Rnf2,Rnf138,Rbbp6,Rlim,Uhrf1,Trim3,Pcgf5,Rnf208,Rad18,Arih2,Topors,Rnf146,Rnft1,Siah1a,Mex3d,Pcgf1,Trim69,Mdm2,Rnf181,Rc3h2,Rnf149,Rnf43,Rnf41,Trim36
IPR004827	bZIP	1.39004583705439e-05	-11.1835887420732	54	16	0.00891861761426979	1794	19871	11908,11910,14284,226641,16477,17135,11911,14281,12014,14283,16476,14282,17133,233490,378435,12611	Atf1,Atf3,Fosl2,Atf6,Junb,Mafk,Atf4,Fos,Bach2,Fosl1,Jun,Fosb,Maff,Crebzf,Mafa,Cebpg
IPR046347	bZIP_sf	1.39004583705439e-05	-11.1835887420732	54	16	0.00891861761426979	1794	19871	11908,11910,14284,16477,226641,17135,12014,14281,11911,14283,16476,14282,17133,233490,378435,12611	Atf1,Atf3,Fosl2,Junb,Atf6,Mafk,Bach2,Fos,Atf4,Fosl1,Jun,Fosb,Maff,Crebzf,Mafa,Cebpg
IPR008271	Ser/Thr_kinase_AS	2.10951285812122e-05	-10.7664684170658	311	51	0.0284280936454849	1794	19871	214897,224105,109333,12750,18759,50772,68943,11790,12649,18607,26385,19108,140780,19878,17776,27373,107951,12675,102626,17164,20620,338372,223435,26419,26400,18817,78943,328329,24086,12747,108079,279561,15258,264064,110651,98267,69181,12795,18712,74178,223775,17691,381979,27103,18715,102414,17165,226778,69131,65964,13143	Csnk1g1,Pak2,Pkn2,Clk4,Prkci,Mapk6,Pink1,Speg,Chek1,Pdpk1,Grk6,Prkx,Bmp2k,Rock2,Mast2,Csnk1e,Cdk9,Chuk,Mapkapk3,Mapkapk2,Plk2,Map3k9,Trio,Mapk8,Map2k7,Plk1,Ern1,Mast4,Tlk2,Clk1,Prkaa2,Wnk3,Hipk2,Cdk8,Rps6ka3,Stk17b,Dyrk2,Plk3,Pim1,Stk40,Pim3,Sik1,Brsk1,Eif2ak4,Pim2,Clk3,Mapkapk5,Mark1,Cdk12,Map3k20,Dapk2
IPR001849	PH_domain	6.76026773483135e-05	-9.60186296995536	259	43	0.0239687848383501	1794	19871	71704,24055,19417,232237,223435,67220,19878,101476,102693,230098,74486,217198,381605,102075,231717,22113,21682,216190,21844,74309,226525,231002,19158,227333,27280,218952,101497,54153,211945,78618,68743,239027,21664,72993,20403,14389,226971,237542,380921,77300,71801,20648,69601	Arhgef3,Sh3bp2,Rasgrf1,Fgd5,Trio,Plekho1,Rock2,Plekha1,Phldb1,Arhgef39,Osbpl10,Plekhh3,Tbc1d2,Plekhg4,Pheta1,Phlda2,Tec,Appl2,Tiam1,Osbp2,Rasal2,Plekhn1,Cyth2,Dgkd,Phlda3,Fermt2,Plekhg2,Rasa4,Plekhh1,Acap2,Anln,Arhgap22,Phlda1,Appl1,Itsn2,Gab2,Plekhb2,Osbpl8,Dgkh,Raph1,Plekhf2,Snta1,Dab2ip
IPR001715	CH_dom	7.04835738092857e-05	-9.56013087090671	80	19	0.0105908584169454	1794	19871	68794,21345,194401,12798,237436,29856,170736,192176,78286,320878,67886,12797,227634,286940,27008,12316,21346,60595,109711	Flnc,Tagln,Mical3,Cnn2,Gas2l3,Smtn,Parvb,Flna,Nav2,Mical2,Camsap2,Cnn1,Camsap1,Flnb,Micall1,Aspm,Tagln2,Actn4,Actn1
IPR008343	MKP	8.19271846397419e-05	-9.40967969739692	10	6	0.00334448160535117	1794	19871	19252,63953,235584,240672,18218,75590	Dusp1,Dusp10,Dusp7,Dusp5,Dusp8,Dusp9
IPR036872	CH_dom_sf	0.000100653848714689	-9.20382316801354	82	19	0.0105908584169454	1794	19871	21345,194401,12798,68794,237436,29856,320878,170736,192176,78286,67886,12797,227634,27008,286940,60595,12316,21346,109711	Tagln,Mical3,Cnn2,Flnc,Gas2l3,Smtn,Mical2,Parvb,Flna,Nav2,Camsap2,Cnn1,Camsap1,Micall1,Flnb,Actn4,Aspm,Tagln2,Actn1
