TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mmu_M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	1.05255624214558e-10	-22.9746292080759	26	16	0.02088772845953	766	7924	18655,18648,14433,11674,21991,13807,353204,13806,14751,15275,433182,15277,18641,103988,18746,56421	Pgk1,Pgam1,Gapdh,Aldoa,Tpi1,Eno2,Aldoart1,Eno1,Gpi1,Hk1,Eno1b,Hk2,Pfkl,Gck,Pkm,Pfkp
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	1.05255624214558e-10	-22.9746292080759	26	16	0.02088772845953	766	7924	18746,56421,18641,103988,15275,15277,433182,14751,13806,353204,13807,21991,11674,18648,18655,14433	Pkm,Pfkp,Pfkl,Gck,Hk1,Hk2,Eno1b,Gpi1,Eno1,Aldoart1,Eno2,Tpi1,Aldoa,Pgam1,Pgk1,Gapdh
mmu00010	Glycolysis / Gluconeogenesis	7.62390866007081e-08	-16.3893915582506	65	22	0.0287206266318538	766	7924	14751,13806,11671,353204,13807,21991,11674,16828,72157,18648,18655,14433,18746,66681,56421,18641,74551,103988,56847,15275,15277,433182	Gpi1,Eno1,Aldh3a2,Aldoart1,Eno2,Tpi1,Aldoa,Ldha,Pgm1,Pgam1,Pgk1,Gapdh,Pkm,Pgm2,Pfkp,Pfkl,Pck2,Gck,Aldh1a3,Hk1,Hk2,Eno1b
ko00010	Glycolysis / Gluconeogenesis	7.62390866007081e-08	-16.3893915582506	65	22	0.0287206266318538	766	7924	433182,15277,15275,56847,103988,74551,18641,66681,56421,18746,14433,18648,18655,16828,72157,11674,21991,13807,11671,353204,13806,14751	Eno1b,Hk2,Hk1,Aldh1a3,Gck,Pck2,Pfkl,Pgm2,Pfkp,Pkm,Gapdh,Pgam1,Pgk1,Ldha,Pgm1,Aldoa,Tpi1,Eno2,Aldh3a2,Aldoart1,Eno1,Gpi1
ko03013	RNA transport	2.95267790226191e-07	-15.0353831288961	166	38	0.0496083550913838	766	7924	13669,100042807,13684,18141,67204,13681,26987,17149,18458,56347,71844,72124,19826,14359,23879,331401,19384,56488,192160,230721,68969,14265,19386,13627,13685,269113,269966,97112,19387,13682,26905,20918,18226,75705,107939,13664,73192,70047	Eif3a,Eif3j2,Eif4e,Nup50,Eif2s2,Eif4a1,Eif4e2,Magoh,Pabpc1,Eif3c,Nup58,Seh1l,Rnps1,Fxr1,Fxr2,Thoc2,Ran,Nxt1,Casc3,Pabpc4,Eif1b,Fmr1,Ranbp2,Eef1a1,Eif4ebp1,Nup54,Nup98,Nmd3,Rangap1,Eif4a2,Eif2s3x,Eif1,Nup62,Eif4b,Pom121,Eif1a,Xpot,Trnt1
mmu03013	RNA transport	2.95267790226191e-07	-15.0353831288961	166	38	0.0496083550913838	766	7924	68969,14265,192160,230721,56488,19384,14359,331401,23879,13664,107939,70047,73192,18226,26905,20918,75705,269113,97112,269966,13685,13682,19387,13627,19386,26987,17149,67204,13681,13684,18141,13669,100042807,19826,72124,71844,56347,18458	Eif1b,Fmr1,Casc3,Pabpc4,Nxt1,Ran,Fxr1,Thoc2,Fxr2,Eif1a,Pom121,Trnt1,Xpot,Nup62,Eif2s3x,Eif1,Eif4b,Nup54,Nmd3,Nup98,Eif4ebp1,Eif4a2,Rangap1,Eef1a1,Ranbp2,Eif4e2,Magoh,Eif2s2,Eif4a1,Eif4e,Nup50,Eif3a,Eif3j2,Rnps1,Seh1l,Nup58,Eif3c,Pabpc1
ko03018	RNA degradation	1.07799641774986e-06	-13.7404064085351	80	23	0.0300261096605744	766	7924	57259,433182,18458,214627,56421,12227,66362,70640,15526,12228,12226,18641,225929,68533,103135,22057,18983,66317,230721,13806,13807,234699,75901	Tob2,Eno1b,Pabpc1,Tent4b,Pfkp,Btg2,Exosc3,Dcp2,Hspa9,Btg3,Btg1,Pfkl,Patl1,Mphosph6,Pan2,Tob1,Cnot7,Skic8,Pabpc4,Eno1,Eno2,Edc4,Dcp1a
mmu03018	RNA degradation	1.07799641774986e-06	-13.7404064085351	80	23	0.0300261096605744	766	7924	15526,56421,18641,18458,57259,75901,234699,103135,225929,70640,66362,12227,12226,12228,214627,433182,13806,230721,66317,13807,22057,68533,18983	Hspa9,Pfkp,Pfkl,Pabpc1,Tob2,Dcp1a,Edc4,Pan2,Patl1,Dcp2,Exosc3,Btg2,Btg1,Btg3,Tent4b,Eno1b,Eno1,Pabpc4,Skic8,Eno2,Tob1,Mphosph6,Cnot7
mmu05230	Central carbon metabolism in cancer	1.27588217479368e-06	-13.5718727168086	64	20	0.0261096605744125	766	7924	216456,14182,15275,20525,80879,15277,20539,16653,228026,18641,103988,18746,56421,74769,16828,18648,17869,14660,18211,17295	Gls2,Fgfr1,Hk1,Slc2a1,Slc16a3,Hk2,Slc7a5,Kras,Pdk1,Pfkl,Gck,Pkm,Pfkp,Pik3cb,Ldha,Pgam1,Myc,Gls,Ntrk1,Met
ko05230	Central carbon metabolism in cancer	1.27588217479368e-06	-13.5718727168086	64	20	0.0261096605744125	766	7924	18746,74769,56421,228026,18641,16653,103988,15275,15277,20539,80879,20525,14182,216456,18211,17295,17869,14660,18648,16828	Pkm,Pik3cb,Pfkp,Pdk1,Pfkl,Kras,Gck,Hk1,Hk2,Slc7a5,Slc16a3,Slc2a1,Fgfr1,Gls2,Ntrk1,Met,Myc,Gls,Pgam1,Ldha
