TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00069	Pkinase	2.21890960127771e-05	-10.7159095603455	350	56	0.0322024151811386	1739	19106	140780,18817,107951,192292,15258,78943,27103,26385,17776,74178,12750,17165,26419,228775,12649,18712,98267,27373,12795,12747,338372,19878,26400,69131,279561,381979,68943,213326,224105,20620,102414,12675,18715,108079,26405,264064,109333,13143,11790,102626,226778,17164,50772,69181,244895,17691,24086,110651,223775,19108,223435,18607,214897,18759,108737,328329	Bmp2k,Plk1,Cdk9,Nrbp1,Hipk2,Ern1,Eif2ak4,Grk6,Mast2,Stk40,Clk4,Mapkapk5,Mapk8,Trib3,Chek1,Pim1,Stk17b,Csnk1e,Plk3,Clk1,Map3k9,Rock2,Map2k7,Cdk12,Wnk3,Brsk1,Pink1,Scyl2,Pak2,Plk2,Clk3,Chuk,Pim2,Prkaa2,Map3k2,Cdk8,Pkn2,Dapk2,Speg,Mapkapk3,Mark1,Mapkapk2,Mapk6,Dyrk2,Peak1,Sik1,Tlk2,Rps6ka3,Pim3,Prkx,Trio,Pdpk1,Csnk1g1,Prkci,Oxsr1,Mast4
PF00170	bZIP_1	2.5337740321298e-05	-10.5832155614241	29	11	0.00632547441058079	1739	19106	233490,14283,11910,14282,16477,226641,14284,11908,14281,11911,16476	Crebzf,Fosl1,Atf3,Fosb,Junb,Atf6,Fosl2,Atf1,Fos,Atf4,Jun
PF02373	JmjC	2.7846772614733e-05	-10.4887934828758	20	9	0.00517538815411156	1739	19106	108829,107817,338523,76804,20591,16468,15460,104263,216850	Jmjd1c,Jmjd6,Kdm7a,Kdm4c,Kdm5c,Jarid2,Hr,Kdm3a,Kdm6b
PF00307	CH	5.03819032681443e-05	-9.89587850950519	65	17	0.0097757331799885	1739	19106	21345,286940,192176,68794,12316,109711,237436,60595,170736,320878,194401,21346,12798,29856,27008,78286,12797	Tagln,Flnb,Flna,Flnc,Aspm,Actn1,Gas2l3,Actn4,Parvb,Mical2,Mical3,Tagln2,Cnn2,Smtn,Micall1,Nav2,Cnn1
PF00169	PH	0.000132927213812436	-8.92570884411458	185	33	0.0189764232317424	1739	19106	19417,223435,226971,74309,211945,239027,101497,71801,381605,54153,21844,74486,102693,67220,232237,218952,77300,216190,68743,21682,27280,227333,20648,19158,78618,101476,24055,72993,14389,380921,231717,237542,71704	Rasgrf1,Trio,Plekhb2,Osbp2,Plekhh1,Arhgap22,Plekhg2,Plekhf2,Tbc1d2,Rasa4,Tiam1,Osbpl10,Phldb1,Plekho1,Fgd5,Fermt2,Raph1,Appl2,Anln,Tec,Phlda3,Dgkd,Snta1,Cyth2,Acap2,Plekha1,Sh3bp2,Appl1,Gab2,Dgkh,Pheta1,Osbpl8,Arhgef3
PF07742	BTG	0.000274991611493666	-8.19876996442235	8	5	0.00287521564117309	1739	19106	12226,12228,57259,12227,22057	Btg1,Btg3,Tob2,Btg2,Tob1
PF00412	LIM	0.000447310326174815	-7.71225796222338	70	16	0.00920069005175388	1739	19106	56376,110829,22793,29806,21753,30794,194401,67399,320878,225341,14200,30937,210126,319713,21804,27008	Pdlim5,Lims1,Zyx,Limd1,Tes,Pdlim4,Mical3,Pdlim7,Mical2,Lims2,Fhl2,Lmcd1,Lpp,Ablim3,Tgfb1i1,Micall1
PF12310	Elf-1_N	0.000752849294352883	-7.19164549049674	3	3	0.00172512938470385	1739	19106	69257,13709,56501	Elf2,Elf1,Elf4
PF17904	KH_9	0.000752849294352883	-7.19164549049674	3	3	0.00172512938470385	1739	19106	23879,14359,14265	Fxr2,Fxr1,Fmr1
PF18336	Tudor_FRX1	0.000752849294352883	-7.19164549049674	3	3	0.00172512938470385	1739	19106	23879,14359,14265	Fxr2,Fxr1,Fmr1
