TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR01764	MAPKPHPHTASE	2.60452336599742e-05	-10.5556757754127	10	6	0.0128205128205128	468	6316	240672,75590,19252,63953,235584,18218	Dusp5,Dusp9,Dusp1,Dusp10,Dusp7,Dusp8
PR00310	ANTIPRLFBTG1	0.000101517080246882	-9.19528349534523	8	5	0.0106837606837607	468	6316	57259,12227,12228,22057,12226	Tob2,Btg2,Btg3,Tob1,Btg1
PR00042	LEUZIPPRFOS	0.000101517080246882	-9.19528349534523	8	5	0.0106837606837607	468	6316	14284,14281,14282,14283,11910	Fosl2,Fos,Fosb,Fosl1,Atf3
PR00475	HEXOKINASE	0.000395876769883094	-7.83440758230247	6	4	0.00854700854700855	468	6316	15277,50798,103988,15275	Hk2,Gne,Gck,Hk1
PR00006	COFILIN	0.000404416248819003	-7.81306589155838	3	3	0.00641025641025641	468	6316	56431,12632,12631	Dstn,Cfl2,Cfl1
PR01284	NUCLEARECPTR	0.000404416248819003	-7.81306589155838	3	3	0.00641025641025641	468	6316	15370,18227,18124	Nr4a1,Nr4a2,Nr4a3
PR00194	TROPOMYOSIN	0.00152830008681384	-6.4835992156263	4	3	0.00641025641025641	468	6316	22004,326618,22003	Tpm2,Tpm4,Tpm1
PR00452	SH3DOMAIN	0.00162284259341122	-6.42357598011223	87	15	0.032051282051282	468	6316	217154,20459,20405,20408,20403,12927,338372,333654,71602,20844,21682,11308,20811,24057,30948	Stac2,Ptk6,Sh3gl1,Sh3gl3,Itsn2,Bcar1,Map3k9,Ppp1r13l,Myo1e,Stam,Tec,Abi1,Srms,Sh3yl1,Bin1
PR00454	ETSDOMAIN	0.00223141582146609	-6.10511899745385	26	7	0.014957264957265	468	6316	13709,27049,23872,14390,23871,69257,56501	Elf1,Etv3,Ets2,Gabpa,Ets1,Elf2,Elf4
PR00420	RNGMNOXGNASE	0.00361047651297219	-5.62391551729509	5	3	0.00641025641025641	468	6316	20775,320878,194401	Sqle,Mical2,Mical3
PR00404	MADSDOMAIN	0.00361047651297219	-5.62391551729509	5	3	0.00641025641025641	468	6316	20807,17261,17258	Srf,Mef2d,Mef2a
PR00074	LYSYLOXIDASE	0.00361047651297219	-5.62391551729509	5	3	0.00641025641025641	468	6316	67573,16948,94352	Loxl4,Lox,Loxl2
PR00888	SM22CALPONIN	0.00435871786516599	-5.43557733249004	10	4	0.00854700854700855	468	6316	21345,21346,12798,12797	Tagln,Tagln2,Cnn2,Cnn1
PR02073	FOLLICULNIP1	0.00547957981765684	-5.206726856572	2	2	0.00427350427350427	468	6316	329679,216742	Fnip2,Fnip1
PR00930	HIGHMOBLTYIY	0.00547957981765684	-5.206726856572	2	2	0.00427350427350427	468	6316	15361,15364	Hmga1,Hmga2
PR00193	MYOSINHEAVY	0.00577101640046409	-5.15490706138175	38	8	0.0170940170940171	468	6316	668940,17880,231646,71602,338367,17886,17913,17918	Myh7b,Myh11,Myo1h,Myo1e,Myo1d,Myh9,Myo1c,Myo5a
PR00503	BROMODOMAIN	0.00646087174311793	-5.04199102553675	31	7	0.014957264957265	468	6316	14312,382236,78656,223770,217578,70472,93871	Brd2,Brwd3,Brd8,Brd1,Baz1a,Atad2,Brwd1
PR00449	RASTRNSFRMNG	0.00760522611397047	-4.87891962143537	131	18	0.0384615384615385	468	6316	215449,68939,69834,19416,19744,270192,228543,235442,77407,19334,11855,70784,75141,271457,16653,19346,14579,67790	Rap1b,Rasl11b,Rab43,Rasd1,Rheb,Rab6b,Rhov,Rab8b,Rab35,Rab22a,Arhgap5,Rasl12,Rasd2,Rab5a,Kras,Rab6a,Gem,Rab39b
PR00320	GPROTEINBRPT	0.00833920873274267	-4.78678694328245	84	13	0.0277777777777778	468	6316	226182,140858,73683,27368,78889,22388,66317,105372,11783,77040,72124,69368,102162	Taf5,Wdr5,Atg16l2,Tbl2,Wsb1,Wdr1,Skic8,Utp15,Apaf1,Atg16l1,Seh1l,Wdfy1,Taf5l
PR00190	ACTIN	0.0106424556315103	-4.54290402926194	19	5	0.0106837606837607	468	6316	11459,226977,11461,11475,11465	Acta1,Actr1b,Actb,Acta2,Actg1
PR00305	1433ZETA	0.0112916377847994	-4.4836928462574	7	3	0.00641025641025641	468	6316	22628,22631,22629	Ywhag,Ywhaz,Ywhah
PR00785	NCTRNSLOCATR	0.0112916377847994	-4.4836928462574	7	3	0.00641025641025641	468	6316	12753,18143,11865	Clock,Npas2,Bmal1
PR01463	EAGCHANLFMLY	0.0124151225157619	-4.38883999170486	13	4	0.00854700854700855	468	6316	380728,16510,330953,15168	Kcnh4,Kcnh1,Hcn4,Hcn3
PR00176	NANEUSMPORT	0.0133454509469954	-4.31657970523944	20	5	0.0106837606837607	468	6316	229706,74338,21366,102857,14664	Slc6a17,Slc6a19,Slc6a6,Slc6a8,Slc6a9
PR00148	ENOLASE	0.0156299069553513	-4.15856908751904	3	2	0.00427350427350427	468	6316	13807,433182	Eno2,Eno1b
PR00724	CRBOXYPTASEC	0.0156299069553513	-4.15856908751904	3	2	0.00427350427350427	468	6316	74617,19025	Scpep1,Ctsa
PR00043	LEUZIPPRJUN	0.0156299069553513	-4.15856908751904	3	2	0.00427350427350427	468	6316	16476,16477	Jun,Junb
PR00476	PHFRCTKINASE	0.0156299069553513	-4.15856908751904	3	2	0.00427350427350427	468	6316	56421,18641	Pfkp,Pfkl
PR02031	CYSSERRICHNP	0.0156299069553513	-4.15856908751904	3	2	0.00427350427350427	468	6316	207785,215418	Csrnp2,Csrnp1
PR01760	DISHEVELLED	0.0156299069553513	-4.15856908751904	3	2	0.00427350427350427	468	6316	13542,13543	Dvl1,Dvl2
PR00716	MPIPHPHTASE	0.0156299069553513	-4.15856908751904	3	2	0.00427350427350427	468	6316	12532,12530	Cdc25c,Cdc25a
