TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-74160	Gene Expression	9.57326896850935e-17	-36.8849718487546	1145	207	0.227472527472527	910	8601	192160,19401,105372,73674,66313,70640,67891,18983,15258,18124,17165,56422,15381,109019,11461,14109,12569,66262,12177,216456,57748,56488,269261,52705,20044,72119,75416,108097,12532,331401,27050,107939,28077,13629,22628,228140,75316,20482,80751,104394,74747,54188,83602,269966,70122,333654,17131,72949,14660,67281,19386,245841,13682,67500,12227,71844,76130,230784,67897,18141,75901,66317,107951,22608,225929,72290,12649,15370,13204,97064,19664,69241,67204,19941,66481,20016,17913,60406,19042,108079,13197,22629,20021,17126,71793,229512,19384,27354,57296,93836,18607,225283,70767,20620,13669,22668,19826,17864,17164,103135,21815,73473,16468,68024,81898,69207,74737,57317,66105,14751,15511,12575,27367,103806,21679,70625,11569,26905,52615,56040,67797,20466,76479,12795,13684,98985,12455,18226,20683,93736,232440,59013,101867,264064,544971,75705,17246,319955,70472,13626,269113,17128,56692,69260,231889,24074,57808,19352,100042807,12144,22631,108099,226517,327987,28035,192292,18538,226182,20841,55989,15568,19744,66494,67956,69077,23983,13681,20091,267019,78757,67655,17149,225182,15519,19285,68153,19016,72124,67486,22190,53325,73826,74427,234699,66362,68436,69181,69131,68533,74133,67089,217166,100101806,20104,21676,13685,68981,192657,65961,56347,107701,18140,19205,22121,108143,18227,71177	Casc3,Rara,Utp15,Wdr75,Smurf2,Dcp2,Rpl4,Cnot7,Hipk2,Nr4a3,Mapkapk5,Hbs1l,Hnrnpc,Nabp1,Actb,Fau,Cdk5r1,Ing5,Bnip3l,Gls2,Jmy,Nxt1,Rpl12,Krr1,Rps14,Tpx2,Nop14,Prkab2,Cdc25c,Thoc2,Rps3,Pom121,Med10,Eef2,Ywhag,Tnks1bp1,Taf1d,Skil,Rnf34,E2f4,Ddit4,Cpsf4,Gtf2a1,Nup98,Mllt3,Ppp1r13l,Smad7,Ccnt2,Gls,Rpl37,Ranbp2,Polr2h,Eif4a2,Ccar1,Btg2,Nup58,Las1l,Sesn2,Rnmt,Nup50,Dcp1a,Skic8,Cdk9,Ybx1,Patl1,Lsm11,Chek1,Nr4a1,Dhx15,Wwtr1,Rbpj,Polr2d,Eif2s2,Rpl26,Rps21,Polr1c,Myo1c,Sap30,Ppm1a,Prkaa2,Gadd45a,Ywhah,Polr2c,Smad2,Ints12,Smg5,Ran,Nbn,Psmd8,Rnf111,Pdpk1,Rprd1a,Prpf3,Plk2,Eif3a,Sf1,Rnps1,Mybl1,Mapkapk2,Pan2,Tgif1,Iws1,Jarid2,H2bc4,Sf3b1,Srsf11,Pcf11,Srsf4,Ube2d3,Gpi1,Hspa1b,Cdkn1a,Rpl3,Maml1,Tead4,Med26,Aebp2,Eif2s3x,Suz12,Rplp1,Snrnp48,Sin3a,Smndc1,Plk3,Eif4e,Clp1,Ccnt1,Nup62,Sp1,Aff4,H2aj,Hnrnph1,Rrp8,Cdk8,Bdp1,Eif4b,Mdm2,Ercc6,Atad2,Eed,Nup54,Smad4,Lamtor3,Ing2,Bud31,Taf7,Rpl35a,Rabggtb,Eif3j2,Blm,Ywhaz,Prkag2,Smg7,Med13,Usp39,Nrbp1,Pcna,Taf5,Zfp143,Nop58,Elavl1,Rheb,Prelid1,Kmt5a,Psmd11,Pcbp1,Eif4a1,Rps3a1,Rps15a,Rictor,Ctdp1,Magoh,Rbbp8,Hsp90aa1,Cavin1,Gtf2e2,Pparg,Seh1l,Polr3g,Ubc,Banp,Poldip3,Eaf1,Edc4,Exosc3,Rpl34,Dyrk2,Cdk12,Mphosph6,Smg8,Psmc6,Nr1d1,Srp54c,Rps6,Tead1,Eif4ebp1,Snrpa1,Ell2,Utp3,Eif3c,Sf3b4,Uhrf1,Ptbp1,Rpl13a,Taf9,Nr4a2,Ints13
R-MMU-70171	Glycolysis	1.57188513669115e-10	-22.5735753068657	28	17	0.0186813186813187	910	8601	13806,18641,56421,18648,18640,170768,433182,21991,15277,353204,11674,14751,18655,103988,18746,13807,15275	Eno1,Pfkl,Pfkp,Pgam1,Pfkfb2,Pfkfb3,Eno1b,Tpi1,Hk2,Aldoart1,Aldoa,Gpi1,Pgk1,Gck,Pkm,Eno2,Hk1
R-MMU-212436	Generic Transcription Pathway	2.41637372620012e-10	-22.1435829738341	399	84	0.0923076923076923	910	8601	12569,12795,107951,18983,15258,18124,17165,70625,230784,19744,66494,67956,66313,192292,18538,226182,19401,12227,17126,22190,53325,264064,27354,93836,19042,72119,108079,22629,13197,20021,12177,66262,216456,19016,97064,19664,57748,69241,12649,12455,78757,67655,15370,20683,225182,69131,17128,69260,56692,24074,228140,69181,70472,20482,17246,28077,22628,18607,108097,12532,20620,17131,72949,14660,327987,245841,103806,108143,21679,18227,66105,14751,108099,12575,333654,19352,74747,12144,22631,80751,217166,21815,104394,21676	Cdk5r1,Plk3,Cdk9,Cnot7,Hipk2,Nr4a3,Mapkapk5,Med26,Sesn2,Rheb,Prelid1,Kmt5a,Smurf2,Nrbp1,Pcna,Taf5,Rara,Btg2,Smad2,Ubc,Banp,Cdk8,Nbn,Rnf111,Ppm1a,Tpx2,Prkaa2,Ywhah,Gadd45a,Polr2c,Bnip3l,Ing5,Gls2,Pparg,Wwtr1,Rbpj,Jmy,Polr2d,Chek1,Ccnt1,Rictor,Ctdp1,Nr4a1,Sp1,Rbbp8,Cdk12,Smad4,Ing2,Lamtor3,Taf7,Tnks1bp1,Dyrk2,Atad2,Skil,Mdm2,Med10,Ywhag,Pdpk1,Prkab2,Cdc25c,Plk2,Smad7,Ccnt2,Gls,Med13,Polr2h,Maml1,Taf9,Tead4,Nr4a2,Ube2d3,Gpi1,Prkag2,Cdkn1a,Ppp1r13l,Rabggtb,Ddit4,Blm,Ywhaz,Rnf34,Nr1d1,Tgif1,E2f4,Tead1
R-MMU-70326	Glucose metabolism	1.1644074717971e-07	-15.965883301225	71	24	0.0263736263736264	910	8601	21991,433182,170768,56421,18641,66681,15275,14936,103988,74551,18640,18648,13806,74185,22190,13853,13807,18746,18655,14751,11674,72157,353204,15277	Tpi1,Eno1b,Pfkfb3,Pfkp,Pfkl,Pgm2,Hk1,Gys1,Gck,Pck2,Pfkfb2,Pgam1,Eno1,Gbe1,Ubc,Epm2a,Eno2,Pkm,Pgk1,Gpi1,Aldoa,Pgm1,Aldoart1,Hk2
R-MMU-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	1.20321977253567e-07	-15.933094543589	39	17	0.0186813186813187	910	8601	107951,66105,20482,19042,17131,72949,17126,17128,22190,264064,93836,12455,21815,20683,104394,97064,66313	Cdk9,Ube2d3,Skil,Ppm1a,Smad7,Ccnt2,Smad2,Smad4,Ubc,Cdk8,Rnf111,Ccnt1,Tgif1,Sp1,E2f4,Wwtr1,Smurf2
R-MMU-3700989	Transcriptional Regulation by TP53	1.82195576072612e-07	-15.5181851330267	263	56	0.0615384615384615	910	8601	17246,22628,18607,108097,12532,20620,69131,24074,56692,69260,228140,69181,74747,19352,12144,22631,80751,14660,72949,245841,108143,14751,108099,333654,12575,230784,67956,19744,66494,226182,18538,12227,12569,12795,107951,17165,18983,15258,66262,12177,216456,57748,69241,12649,67655,12455,78757,225182,22190,53325,27354,72119,20021,22629,13197,108079	Mdm2,Ywhag,Pdpk1,Prkab2,Cdc25c,Plk2,Cdk12,Taf7,Lamtor3,Ing2,Tnks1bp1,Dyrk2,Ddit4,Rabggtb,Blm,Ywhaz,Rnf34,Gls,Ccnt2,Polr2h,Taf9,Gpi1,Prkag2,Ppp1r13l,Cdkn1a,Sesn2,Kmt5a,Rheb,Prelid1,Taf5,Pcna,Btg2,Cdk5r1,Plk3,Cdk9,Mapkapk5,Cnot7,Hipk2,Ing5,Bnip3l,Gls2,Jmy,Polr2d,Chek1,Ctdp1,Ccnt1,Rictor,Rbbp8,Ubc,Banp,Nbn,Tpx2,Polr2c,Ywhah,Gadd45a,Prkaa2
R-MMU-446353	Cell-extracellular matrix interactions	2.62064430544207e-07	-15.1546754453106	12	9	0.00989010989010989	910	8601	68794,22323,192176,170736,109711,16202,218952,110829,16412	Flnc,Vasp,Flna,Parvb,Actn1,Ilk,Fermt2,Lims1,Itgb1
R-MMU-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	1.4805865533561e-06	-13.423072228867	24	12	0.0131868131868132	910	8601	12455,104394,20683,97064,107951,22190,17128,72949,17126,17131,93836,264064	Ccnt1,E2f4,Sp1,Wwtr1,Cdk9,Ubc,Smad4,Ccnt2,Smad2,Smad7,Rnf111,Cdk8
R-MMU-170834	Signaling by TGF-beta Receptor Complex	2.28001648114006e-06	-12.9913278864539	61	20	0.021978021978022	910	8601	104394,20683,21815,12455,65112,75788,66313,97064,20482,19042,107951,66105,14225,93836,264064,22190,17128,17131,17126,72949	E2f4,Sp1,Tgif1,Ccnt1,Pmepa1,Smurf1,Smurf2,Wwtr1,Skil,Ppm1a,Cdk9,Ube2d3,Fkbp1a,Rnf111,Cdk8,Ubc,Smad4,Smad7,Smad2,Ccnt2
R-MMU-508751	Circadian Clock	6.38676610448632e-06	-11.9612825046149	31	13	0.0142857142857143	910	8601	18626,217166,27373,12753,78294,59027,11865,50789,20893,18143,79362,12952,22190	Per1,Nr1d1,Csnk1e,Clock,Rps27a,Nampt,Bmal1,Fbxl3,Bhlhe40,Npas2,Bhlhe41,Cry1,Ubc
