TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00338	BRLZ	0.000289805882354617	-8.14629923030365	51	15	0.0137614678899083	1090	9823	11908,11911,16477,17133,14283,16476,226641,11910,12014,14282,14284,14281,12611,378435,17135	Atf1,Atf4,Junb,Maff,Fosl1,Jun,Atf6,Atf3,Bach2,Fosb,Fosl2,Fos,Cebpg,Mafa,Mafk
SM00033	CH	0.000447446220307018	-7.71195420555621	64	17	0.0155963302752294	1090	9823	286940,12798,29856,192176,237436,27008,68794,12316,170736,194401,60595,12797,78286,21345,109711,21346,320878	Flnb,Cnn2,Smtn,Flna,Gas2l3,Micall1,Flnc,Aspm,Parvb,Mical3,Actn4,Cnn1,Nav2,Tagln,Actn1,Tagln2,Mical2
SM00099	btg1	0.000699923811990248	-7.2645390688583	8	5	0.00458715596330275	1090	9823	12228,57259,22057,12226,12227	Btg3,Tob2,Tob1,Btg1,Btg2
SM00558	JmjC	0.000750329184298142	-7.19499853533027	29	10	0.00917431192660551	1090	9823	216850,104263,15460,76804,68736,338523,107817,108829,16468,20591	Kdm6b,Kdm3a,Hr,Kdm4c,Tyw5,Kdm7a,Jmjd6,Jmjd1c,Jarid2,Kdm5c
SM00213	UBQ	0.00190650653506171	-6.26248275089298	43	12	0.0110091743119266	1090	9823	14109,109113,22190,28018,78294,231655,18140,64209,59025,19359,18020,59090	Fau,Uhrf2,Ubc,Ubfd1,Rps27a,Oasl1,Uhrf1,Herpud1,Usp14,Rad23b,Nfatc2ip,Midn
SM00184	RING	0.00196805660390923	-6.2307087186167	227	40	0.036697247706422	1090	9823	68098,76892,23806,74198,19647,56515,67588,23807,30945,74365,67702,70928,329581,19822,66510,69837,54484,58186,109113,225164,24017,93836,29864,28105,80751,207742,381305,244421,76073,55992,68031,319817,19821,18140,106021,70294,19820,51902,80904,75234	Rchy1,Rnft1,Arih1,Dtx2,Rbbp6,Rnf138,Rnf41,Arih2,Rnf19a,Lonrf3,Rnf149,Trim69,Birc7,Rnf4,Rnf181,Pcgf1,Mkrn1,Rad18,Uhrf2,Mib1,Rnf13,Rnf111,Rnf11,Trim36,Rnf34,Rnf43,Rc3h1,Lonrf1,Pcgf5,Trim3,Rnf146,Rc3h2,Rnf2,Uhrf1,Topors,Rnf126,Rlim,Rnf24,Dtx3,Rnf19b
SM00450	RHOD	0.00238215168503523	-6.03975113038076	23	8	0.0073394495412844	1090	9823	75590,12532,63953,240672,19252,12530,18218,235584	Dusp9,Cdc25c,Dusp10,Dusp5,Dusp1,Cdc25a,Dusp8,Dusp7
SM00233	PH	0.00257780457164911	-5.96081718352589	252	43	0.0394495412844037	1090	9823	19417,226971,218952,101497,231717,71801,101476,226525,71704,102075,19878,24055,227333,67220,27280,22113,21844,72993,237542,74486,69601,230098,231002,68743,217198,239027,20648,232237,381605,19158,223435,216190,74309,21682,102693,380921,21664,78618,54153,77300,14389,211945,20403	Rasgrf1,Plekhb2,Fermt2,Plekhg2,Pheta1,Plekhf2,Plekha1,Rasal2,Arhgef3,Plekhg4,Rock2,Sh3bp2,Dgkd,Plekho1,Phlda3,Phlda2,Tiam1,Appl1,Osbpl8,Osbpl10,Dab2ip,Arhgef39,Plekhn1,Anln,Plekhh3,Arhgap22,Snta1,Fgd5,Tbc1d2,Cyth2,Trio,Appl2,Osbp2,Tec,Phldb1,Dgkh,Phlda1,Acap2,Rasa4,Raph1,Gab2,Plekhh1,Itsn2
SM00462	PTB	0.0033050037681905	-5.71231766553073	40	11	0.0100917431192661	1090	9823	100017,230863,70729,29809,57267,18223,57915,216190,625638,72993,319939	Ldlrap1,Sh2d5,Nos1ap,Rabgap1l,Apba3,Numbl,Tbc1d1,Appl2,Fam43b,Appl1,Tns3
SM00220	S_TKc	0.00349721223400817	-5.65578913243417	353	56	0.0513761467889908	1090	9823	19878,279561,12750,18759,17776,78943,98267,69131,26419,65964,24086,224105,226778,13143,213326,18607,15258,328329,108079,12747,223775,102626,50772,26385,12675,12649,69181,26400,20620,140780,11790,102414,19108,244895,264064,223435,214897,110651,18817,18715,17165,108737,27373,27103,17691,68943,228775,74178,109333,381979,17164,338372,18712,12795,107951,26405	Rock2,Wnk3,Clk4,Prkci,Mast2,Ern1,Stk17b,Cdk12,Mapk8,Map3k20,Tlk2,Pak2,Mark1,Dapk2,Scyl2,Pdpk1,Hipk2,Mast4,Prkaa2,Clk1,Pim3,Mapkapk3,Mapk6,Grk6,Chuk,Chek1,Dyrk2,Map2k7,Plk2,Bmp2k,Speg,Clk3,Prkx,Peak1,Cdk8,Trio,Csnk1g1,Rps6ka3,Plk1,Pim2,Mapkapk5,Oxsr1,Csnk1e,Eif2ak4,Sik1,Pink1,Trib3,Stk40,Pkn2,Brsk1,Mapkapk2,Map3k9,Pim1,Plk3,Cdk9,Map3k2
