TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP157	Glycolysis and Gluconeogenesis	1.8490127071239e-05	-10.8982736401584	50	18	0.0296540362438221	607	4808	18648,56421,103988,15275,21991,20525,13807,433182,20527,14751,16828,15277,14433,18655,18641,13806,11674,18746	Pgam1,Pfkp,Gck,Hk1,Tpi1,Slc2a1,Eno2,Eno1b,Slc2a3,Gpi1,Ldha,Hk2,Gapdh,Pgk1,Pfkl,Eno1,Aldoa,Pkm
WP202	Hypertrophy Model	5.38924120911147e-05	-9.82852086748975	20	10	0.0164744645799012	607	4808	22339,21417,15200,11910,22388,16007,18124,15982,13685,13684	Vegfa,Zeb1,Hbegf,Atf3,Wdr1,Ccn1,Nr4a3,Ifrd1,Eif4ebp1,Eif4e
WP163	Cytoplasmic Ribosomal Proteins	0.000299646590502642	-8.11290680939065	81	22	0.0362438220757825	607	4808	20044,66481,114641,267019,68436,110954,67891,19941,67281,110651,20091,78294,27050,269261,56040,20005,22121,319195,20104,27367,57808,14109	Rps14,Rps21,Rpl31,Rps15a,Rpl34,Rpl10,Rpl4,Rpl26,Rpl37,Rps6ka3,Rps3a1,Rps27a,Rps3,Rpl12,Rplp1,Rpl9,Rpl13a,Rpl17,Rps6,Rpl3,Rpl35a,Fau
WP307	Translation Factors	0.000700637054837442	-7.26352055845187	49	15	0.0247116968698517	607	4808	18458,75705,13682,13669,13684,13685,13664,16418,20918,13627,56347,13681,67204,13629,26905	Pabpc1,Eif4b,Eif4a2,Eif3a,Eif4e,Eif4ebp1,Eif1a,Eif6,Eif1,Eef1a1,Eif3c,Eif4a1,Eif2s2,Eef2,Eif2s3x
WP447	Adipogenesis genes	0.000892975133613205	-7.02095182337335	133	30	0.0494233937397035	607	4808	23849,17261,20683,19401,228775,18787,15361,59027,19016,17319,16890,14245,13197,12703,17873,64899,13654,16905,104394,232174,13542,13386,64898,16878,12156,21887,74551,17258,97064,14102	Klf6,Mef2d,Sp1,Rara,Trib3,Serpine1,Hmga1,Nampt,Pparg,Mif,Lipe,Lpin1,Gadd45a,Socs1,Gadd45b,Lpin3,Egr2,Lmna,E2f4,Cyp26b1,Dvl1,Dlk1,Lpin2,Lif,Bmp2,Tle3,Pck2,Mef2a,Wwtr1,Fas
WP385	Myometrial Relaxation and Contraction Pathways	0.00162769416708003	-6.42059088710827	156	33	0.0543657331136738	607	4808	11475,11535,22629,11908,16476,12798,14706,12797,11459,16008,19734,26385,23872,11911,11461,14390,20192,18759,14609,210044,11910,22631,11465,17133,19087,22628,109624,14391,104418,12921,20683,19739,14281	Acta2,Adm,Ywhah,Atf1,Jun,Cnn2,Gng4,Cnn1,Acta1,Igfbp2,Rgs16,Grk6,Ets2,Atf4,Actb,Gabpa,Ryr3,Prkci,Gja1,Adcy2,Atf3,Ywhaz,Actg1,Maff,Prkar2a,Ywhag,Cald1,Gabpb1,Dgkz,Crhr1,Sp1,Rgs9,Fos
WP2902	p53 signaling	0.00316324246271502	-5.75615768166388	67	17	0.028006589785832	607	4808	12452,58801,53892,12649,20437,13197,12575,14102,17873,23882,22401,230784,68098,18787,11783,21825,17246	Ccng2,Pmaip1,Ppm1d,Chek1,Siah1a,Gadd45a,Cdkn1a,Fas,Gadd45b,Gadd45g,Zmat3,Sesn2,Rchy1,Serpine1,Apaf1,Thbs1,Mdm2
WP113	TGF Beta Signaling Pathway	0.00401282517838209	-5.51825975246834	52	14	0.0230642504118616	607	4808	20482,17128,16476,17131,16878,16323,17126,21825,14225,24136,18787,21815,21814,14281	Skil,Smad4,Jun,Smad7,Lif,Inhba,Smad2,Thbs1,Fkbp1a,Zeb2,Serpine1,Tgif1,Tgfbr3,Fos
WP572	EGFR1 Signaling Pathway	0.00433924817388923	-5.44005417769895	178	35	0.057660626029654	607	4808	21815,73178,18759,14609,17126,19248,19734,74769,271457,20459,11308,56392,12927,11908,16476,20466,16667,26400,72993,26405,17869,19252,20683,26419,14281,14389,110651,74155,12703,194655,13627,216190,19707,109333,16653	Tgif1,Wasl,Prkci,Gja1,Smad2,Ptpn12,Rgs16,Pik3cb,Rab5a,Ptk6,Abi1,Shoc2,Bcar1,Atf1,Jun,Sin3a,Krt17,Map2k7,Appl1,Map3k2,Myc,Dusp1,Sp1,Mapk8,Fos,Gab2,Rps6ka3,Errfi1,Socs1,Klf11,Eef1a1,Appl2,Reps1,Pkn2,Kras
WP85	Focal Adhesion	0.00813515343133076	-4.811560677846	185	35	0.057660626029654	607	4808	21923,17904,17931,22793,18607,22339,22323,11465,16412,21825,11855,170736,192176,50772,26419,16416,13367,107746,16202,215449,21894,22330,20459,17295,18591,16476,19878,14268,109711,16402,12927,20811,11461,74769,224105	Tnc,Myl6,Ppp1r12a,Zyx,Pdpk1,Vegfa,Vasp,Actg1,Itgb1,Thbs1,Arhgap5,Parvb,Flna,Mapk6,Mapk8,Itgb3,Diaph1,Rapgef1,Ilk,Rap1b,Tln1,Vcl,Ptk6,Met,Pdgfb,Jun,Rock2,Fn1,Actn1,Itga5,Bcar1,Srms,Actb,Pik3cb,Pak2
