Sample	Number of input reads	Uniquely mapped reads number
1019_compress_04-25_Seq_06-26_S2	11736055	10291435
1019_compress_04-25_Seq_06-27_S4	8720882	7544202
1019_compress_05-18_Seq_07-23_S14	3112155	2536655
1019_compress_05-20_Seq_07-25_S20	7990305	6996494
1019_control_04-25_Seq_06-26_S1	10771366	9314967
1019_control_04-25_Seq_06-27_S3	15954548	14043413
1019_control_05-18_Seq_07-23_S13	4339908	3569320
1019_control_05-20_Seq_07-25_S19	5832946	5002207
I27_compress_04-25_Seq_06-26_S6	12181668	10676465
I27_compress_04-25_Seq_06-27_S8	12043344	10255974
I27_compress_05-18_Seq_07-23_S16	4031735	3342881
I27_compress_05-20_Seq_07-25_S22	469244	253510
I27_control_04-25_Seq_06-26_S5	18840814	16550373
I27_control_04-25_Seq_06-27_S7	16419312	14376556
I27_control_05-18_Seq_07-23_S15	7155113	5973782
I27_control_05-20_Seq_07-25_S21	1143862	837445
Wbo2_compress_04-25_Seq_06-26_S10	78485806	69877521
Wbo2_compress_04-25_Seq_06-27_S12	79756338	70824049
Wbo2_compress_05-18_Seq_07-23_S18	30655819	27143824
Wbo2_compress_05-20_Seq_07-25_S24	115395008	102641754
Wbo2_control_04-25_Seq_06-26_S9	58043324	51715839
Wbo2_control_04-25_Seq_06-27_S11	90402133	80385994
Wbo2_control_05-18_Seq_07-23_S17	25819624	22858498
Wbo2_control_05-20_Seq_07-25_S23	103362234	91995489

