Sample	Number of input reads	Uniquely mapped reads number
1019_compress_04-25_Seq_06-26_S2	156627657	144148946
1019_compress_04-25_Seq_06-27_S4	163936963	151144062
1019_compress_05-18_Seq_07-23_S14	154440745	142882936
1019_compress_05-20_Seq_07-25_S20	119257460	110014299
1019_control_04-25_Seq_06-26_S1	146007350	134973471
1019_control_04-25_Seq_06-27_S3	121639442	111057898
1019_control_05-18_Seq_07-23_S13	166805370	153804634
1019_control_05-20_Seq_07-25_S19	176434921	163026624
I27_compress_04-25_Seq_06-26_S6	141182054	130327233
I27_compress_04-25_Seq_06-27_S8	161770688	148648267
I27_compress_05-18_Seq_07-23_S16	132291752	121770726
I27_compress_05-20_Seq_07-25_S22	189638902	172651213
I27_control_04-25_Seq_06-26_S5	137248570	126859807
I27_control_04-25_Seq_06-27_S7	147323900	136180586
I27_control_05-18_Seq_07-23_S15	146315019	135396285
I27_control_05-20_Seq_07-25_S21	146402293	135182991
Wbo2_compress_04-25_Seq_06-26_S10	143841893	131582996
Wbo2_compress_04-25_Seq_06-27_S12	50329693	45062573
Wbo2_compress_05-18_Seq_07-23_S18	138606460	127353162
Wbo2_compress_05-20_Seq_07-25_S24	54473988	48596467
Wbo2_control_04-25_Seq_06-26_S9	113296380	104212697
Wbo2_control_04-25_Seq_06-27_S11	53251651	48595459
Wbo2_control_05-18_Seq_07-23_S17	115250700	106001155
Wbo2_control_05-20_Seq_07-25_S23	39468946	35629998
