"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","CellLine"
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA",149,0.813396469026445,3.26025149943007,1e-10,1.25e-09,3.94736842105263e-10,1343,"tags=62%, list=10%, signal=57%","3099/7422/133/8553/2355/5163/54541/8614/5507/5033/23764/6781/6513/467/5209/7128/5329/8819/26355/7538/55818/284119/55276/6095/205/55076/55139/8987/6515/8974/3725/7852/2632/2353/9469/665/771/5165/5230/2023/3516/2997/3162/10397/1466/26118/25976/4783/2309/4601/3036/7436/1649/30001/10957/8497/3098/7167/5214/23036/6478/3219/230/1942/5292/3623/226/6533/901/58528/25819/1837/3486/2821/26136/8406/694/23210/5837/2719/2597/54800/2026/7045/5236/5155/272/23327/123/5066/2908/538/23645","WBO2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB",142,0.698460553749092,2.77469120612573,1e-10,1.25e-09,3.94736842105263e-10,1487,"tags=43%, list=11%, signal=39%","7422/8553/2355/23764/467/5209/7128/5329/4616/3726/7538/3383/1051/6515/3725/687/2353/9120/25816/10135/602/10318/25976/4783/19/9322/7071/2150/1326/8877/1847/9021/9314/10957/9945/6347/5187/4791/5806/10950/1942/1958/4088/5328/5970/3164/2669/7832/80176/56937/694/1827/57018/8744/9592/9242/3280/23645/3949/3659/23135","WBO2"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",158,0.677030182412491,2.71924365319273,1e-10,1.25e-09,3.94736842105263e-10,1105,"tags=30%, list=8%, signal=28%","3099/7422/5352/54541/8614/9123/5033/6781/8819/26355/55276/205/55139/8974/7852/10461/5836/10058/5165/5230/2023/2997/4601/7436/30001/8497/8996/5223/7167/7039/5214/5351/23036/1491/2729/226/5315/58528/9514/4233/3486/112399/8702/4351/2719/6382/2026/7045","WBO2"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",181,0.605304219681754,2.47552570516321,1e-10,1.25e-09,3.94736842105263e-10,1424,"tags=30%, list=10%, signal=27%","3099/8553/5163/5352/54541/5033/6781/6513/205/6515/7852/2632/10135/5230/2023/4783/134429/7436/1649/30001/6472/26227/7167/6319/1491/4171/2729/226/6533/10437/6510/7277/10797/2058/440/871/112399/6503/2821/3638/7832/26136/900/5347/23062/7037/29968/2597/5236/6016/9695/23645/7494/3949","WBO2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",137,0.556138005212073,2.19698745477351,1.19201426897652e-09,1.19201426897652e-08,3.76425558624164e-09,2652,"tags=43%, list=19%, signal=35%","7422/5352/7128/5329/4616/51330/3690/3725/7076/4853/7049/6641/4487/5806/2316/5351/7058/1004/7431/5376/3487/30008/3956/284217/7169/871/3693/6422/2669/3486/56937/11167/6382/627/2026/7045/59/3485/10979/10516/64175/2335/6876/1292/10272/1647/3371/1601/6591/3909/5118/26577/7857/5744/800/50863/1296/6303/6695","WBO2"
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING",136,0.558941497644013,2.20636005700085,2.05137323601782e-09,1.70947769668151e-08,5.39835062109952e-09,1564,"tags=25%, list=11%, signal=22%","3099/8553/5033/23764/4643/4616/1154/5732/6095/6515/3394/9249/10397/4783/1326/6004/894/5292/8651/55509/58528/6510/8829/6484/5621/5583/79026/123/2118/7494/8809/2027/23075/3587","WBO2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",142,0.554579854775943,2.2031134584217,6.31122695594136e-09,4.50801925424383e-08,1.42358502765595e-08,1992,"tags=30%, list=14%, signal=26%","8553/8614/6513/1154/2274/9060/2353/771/9249/9214/25976/7071/25987/10125/9314/7869/645/23030/6478/9094/9620/3487/5914/56603/9467/26353/10395/5366/55191/55806/3280/9536/7494/56994/2317/3572/64919/23389/9612/360/26018/11001","WBO2"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",91,0.593124504056161,2.1858787983242,4.79487590615164e-08,2.99679744134478e-07,9.46357086740456e-08,1670,"tags=33%, list=12%, signal=29%","133/5329/3383/3690/5732/10135/3269/7076/166929/19/4067/8877/10125/6004/6347/3656/9180/5970/4233/7832/2719/2773/8744/8809/3949/3659/91/3587/7855/1902","WBO2"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",117,0.542655951343477,2.09322805565267,6.02928965897691e-08,3.34960536609828e-07,1.05777011560998e-07,1867,"tags=28%, list=14%, signal=25%","3148/467/4616/51330/3725/3082/665/7076/3162/4092/8900/7049/1649/90427/10950/894/8915/1491/5914/5970/7832/5366/2026/841/5526/7417/3659/2878/3005/5611/3459/1027/1647","WBO2"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",164,0.50164568064595,2.01998464141361,7.78980120325151e-08,3.89490060162575e-07,1.22996861103971e-07,3245,"tags=40%, list=24%, signal=31%","54541/467/26355/3725/2353/3162/10397/2309/8877/1649/9314/6004/6236/3006/64787/7039/894/10437/8651/2040/7704/7832/900/694/6382/6520/8841/55766/6256/27244/8744/26207/23645/2760/7378/5820/29946/91/6281/1647/1839/6206/6141/5912/25873/2073/5429/3945/10399/55367/6303/4084/1012/317/3094/55240/7135/57799/10904/5925/57761/57763/3275/51181/351/49856","WBO2"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",22,0.800163117955597,2.30044359160459,1.0506579663097e-06,4.3777415262904e-06,1.38244469251276e-06,896,"tags=41%, list=7%, signal=38%","7422/6781/4023/7076/7056/4487/894/8829/11167","WBO2"
"HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_DN",125,0.509493673223639,1.98706356743285,9.93494316648924e-07,4.3777415262904e-06,1.38244469251276e-06,2735,"tags=40%, list=20%, signal=32%","8553/3690/2274/4853/4092/7049/7436/1628/3397/3815/11044/5376/4088/8829/4233/5468/2202/861/3638/9975/10395/2650/627/6256/23469/140609/2908/5737/390/11030/3949/10516/50937/302/1902/1027/8871/1601/2534/1843/6591/490/5581/7410/6541/4363/6383/120/5293/493","WBO2"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",104,0.540274894216634,2.03563059975938,1.38308196032939e-06,5.31954600126689e-06,1.67985663197902e-06,2181,"tags=28%, list=16%, signal=24%","7422/54541/8614/467/1051/55033/9531/30001/6347/64859/10797/440/6897/55062/29968/1054/5832/9695/10954/7494/6208/5611/1978/4848/9709/56915/79094/30827/4869","WBO2"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",133,0.496114344251075,1.95238473924733,2.47015902414972e-06,8.82199651482043e-06,2.78589363625908e-06,2334,"tags=34%, list=17%, signal=28%","467/3726/3383/2353/3162/4067/10125/4487/6236/10950/226/7277/440/3164/5437/51083/3306/7832/6897/80273/694/5471/7037/2026/8836/9818/1054/5984/3485/5580/3659/2878/3572/360/54107/6782/5504/6648/291/1742/8804/409/116138/3337/5873","WBO2"
"HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS",132,0.489617056630187,1.92340878087661,4.44160451817648e-06,1.48053483939216e-05,4.67537317702787e-06,2066,"tags=27%, list=15%, signal=23%","8553/8614/5507/4616/8877/8497/7004/5348/6319/688/88/7169/3693/8082/1837/3486/165/26353/2170/5837/8557/5621/10014/6016/3679/10468/2027/2878/2273/3490/6876/1292/7138/1839/5569","WBO2"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",43,0.659448551255197,2.17004044879227,2.08728958370878e-05,6.52277994908992e-05,2.05982524708103e-05,1928,"tags=42%, list=14%, signal=36%","51330/3690/3725/3162/1326/9021/5292/8651/9180/3953/8809/3659/91/83729/3572/10456/3459/3597","WBO2"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",127,0.480287303534503,1.87671530295948,2.62824801807639e-05,7.73014122963644e-05,2.44109723041151e-05,3285,"tags=38%, list=24%, signal=29%","1154/7538/9060/2353/771/2261/8900/12/4665/9314/10950/7869/645/6478/3487/56603/51083/26353/55806/3716/9536/7494/56994/2317/3572/2030/64377/9612/11001/3251/10733/6652/445/999/29107/10535/27250/120/493/29887/5603/1345/1363/51181/5777/8140/51599/2109","WBO2"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",82,0.518738527329478,1.89237046399315,0.000150158378871664,0.000375395947179159,0.000118546088582892,2330,"tags=33%, list=17%, signal=28%","3383/3394/602/7076/4067/6347/2316/894/8915/2634/3702/8651/16/2650/3589/1615/6170/8664/7163/586/3459/6885/6133/4869/6223/4690/7903","WBO2"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",112,0.484957676970623,1.84866910737812,0.000147910498948435,0.000375395947179159,0.000118546088582892,2002,"tags=25%, list=15%, signal=22%","23764/7128/5329/1051/7076/4067/1847/10125/5292/88/4504/1512/308/25801/4179/2773/5155/868/5580/3659/5550/2335/11216/7511/4048/710/2534/1514","WBO2"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",118,0.459427291598529,1.7742084958747,0.000145675498667852,0.000375395947179159,0.000118546088582892,1722,"tags=23%, list=13%, signal=20%","7128/5329/7852/3394/9935/2150/12/30001/9314/6004/9945/7869/50856/894/8829/10912/5328/7476/3486/6616/2118/23645/220/3587/51193/4319/5593","WBO2"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",63,0.541762925422201,1.89559235633769,0.00017133148887987,0.000407932116380643,0.000128820668330729,957,"tags=22%, list=7%, signal=21%","467/5329/51330/4023/5165/4783/134429/10957/7869/6319/58191/230/5468/308","WBO2"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",87,0.485902260849766,1.79445580903683,0.000376172888789956,0.000854938383613536,0.000269980542193748,2294,"tags=32%, list=17%, signal=27%","9510/10461/25816/10397/51171/8916/6319/6675/22936/7113/3638/9871/56937/2773/55768/8555/220/7163/3005/3998/3977/6611/5867/1021/87/9590/6652/9218","WBO2"
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","HALLMARK_COAGULATION",62,0.53094634635718,1.8609916231703,0.000436287355008161,0.000908931989600336,0.000287031154610632,2379,"tags=34%, list=17%, signal=28%","23764/3690/7076/7056/5328/1512/5028/5624/4485/5155/10603/5550/2335/4319/55970/4048/710/2534/726/3426/8609","WBO2"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",159,0.419392192332501,1.68693921746983,0.000431137681591758,0.000908931989600336,0.000287031154610632,1548,"tags=22%, list=11%, signal=20%","6513/8974/80853/665/10058/2309/4601/8780/645/4005/2057/26502/2729/6006/3049/22936/440/10098/7832/23039/831/7037/5909/1371/51646/9663/140609/2908/6386/5526/50865/4779/51274/571/3005","WBO2"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",91,0.444048458968467,1.63647953380763,0.00222293583477984,0.00444587166955968,0.00140395947459779,4848,"tags=52%, list=35%, signal=34%","664/19/81611/8082/10282/9871/26286/81542/6456/5066/538/8773/7163/3998/9805/10040/967/5594/1176/9522/51606/8417/23673/163/1213/8615/23033/6197/8546/51614/10972/3920/8675/2717/9367/2581/1211/375/1173/4074/5862/2803/1315/6647/11316/8774/2778","WBO2"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",168,0.372675619119767,1.50612262575884,0.0032631433483252,0.00627527566985615,0.00198166600100721,1557,"tags=17%, list=11%, signal=15%","5209/284119/1031/4023/2632/19/6239/8780/64859/10449/593/226/901/6510/2040/5468/8082/80273/26353/58472/5236/123/128338/3679/2878/54996/204/35/65124","WBO2"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",47,0.523879908121587,1.75966582831809,0.00548119818853877,0.0101503670158125,0.00320537905762501,1987,"tags=26%, list=14%, signal=22%","3726/4092/4091/7071/9241/3397/4088/56937/23645/9612/6498/6885","WBO2"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",174,0.365048695221414,1.47946856936414,0.00614957466209788,0.0109813833251748,0.00346780526058151,4055,"tags=36%, list=29%, signal=26%","4643/64411/84333/11135/4853/51174/9411/675/2316/2037/54509/5829/7277/11104/11190/9702/7414/5347/11346/22930/253260/163786/1894/2317/7430/6624/4926/54443/5981/4690/10163/10276/1062/23012/55201/11133/10844/24137/394/57787/29127/10018/25777/9585/23607/9181/22994/58526/10426/3832/3619/3799/3996/151987/6780/5108/10801/274/3831/9793/10128/613/7248","WBO2"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",32,0.529554441729226,1.64637653879117,0.0124896772525618,0.0215339262975204,0.00680018725184855,2426,"tags=34%, list=18%, signal=28%","7422/6469/7436/9620/8829/8828/154796/1021/2114/7857/5727","WBO2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",115,0.386520008751749,1.48616425980187,0.0148945839493477,0.0248243065822462,0.00783925471018302,2338,"tags=26%, list=17%, signal=22%","7128/3383/10135/3394/9021/26524/6347/5214/5292/10437/8651/55016/10797/8082/54625/694/10392/841/129607/3659/7378/3587/9961/710/29126/3106/6648/9688/7903/11054","WBO2"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",179,0.344401139606525,1.40861121736095,0.0154007830490855,0.0248399726598153,0.00784420189257325,4276,"tags=42%, list=31%, signal=29%","5230/5634/890/7298/4171/2058/10549/3615/7458/7416/5093/8662/6164/5984/4085/4175/8664/10492/6627/7555/7514/5425/6188/54107/3015/3183/6141/3251/4869/1176/1478/3066/4706/6742/6175/52/7913/10399/6240/1977/4953/6193/8761/8894/6146/26986/3735/5901/10728/3326/9377/5706/1665/10935/6128/10575/5714/6418/26354/5683/10155/5688/5887/6637/6194/23435/7419/5690/5713/10971/10856/7411/9045/3329/4673","WBO2"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",163,0.347575728179184,1.40256608070144,0.0172541502766494,0.0269596098072646,0.00851356099176777,2725,"tags=26%, list=20%, signal=21%","3148/1031/10606/11200/29028/675/81611/4171/10797/10549/253714/11340/5347/7037/29893/1633/4085/4175/83461/204/6117/10492/29089/7514/1027/5425/3015/51747/7465/7112/580/7884/5981/10733/7374/10527/8726/7913/10535/8914/1033/9837/1062","WBO2"
"HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_DN",89,0.387652984470104,1.4292894705695,0.029208929220238,0.0442559533639969,0.0139755642202096,2210,"tags=28%, list=16%, signal=24%","8471/797/2261/8900/2827/10991/7704/7832/3351/11346/29799/55190/5737/3485/79696/9127/6620/242/5324/152/7068/6498/9194/57118/580","WBO2"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_WNT_BETA_CATENIN_SIGNALING",32,0.494004610848191,1.53585266644028,0.0337202429744905,0.0495885926095448,0.0156595555609089,3447,"tags=44%, list=25%, signal=33%","3516/894/8321/1856/8313/10014/8650/9612/3066/5727/8312/6502/2770/10023","WBO2"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",27,0.479279205213467,1.43933104538744,0.0490693739424704,0.0700991056321005,0.0221365596732949,2104,"tags=26%, list=15%, signal=22%","8819/4853/8321/10402/3280/7855/23291","WBO2"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",185,0.314878659144921,1.29277580517435,0.0566298342541436,0.0786525475751995,0.0248376466026946,5106,"tags=50%, list=37%, signal=32%","56898/6392/10449/593/55288/2821/80273/7416/4717/7417/2746/291/51660/7388/4706/22/1337/4711/3945/498/51606/3313/481/4190/4714/26521/4710/528/4694/4720/4976/10312/1345/4697/9296/9377/9167/4724/3032/6389/4835/2109/56945/81689/10935/1350/840/7384/1347/6832/8050/8802/4942/506/8803/211/37/2879/3421/5018/7386/9927/292/1351/7419/1327/10128/1374/533/537/9550/10632/1528/2108/27089/26520/2110/1892/539/529/10651/8402/3030/3418/10939/5447/4259/10440/517/4698/4191/4712/1743","WBO2"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",85,0.369995422910396,1.35337891218877,0.0594512195121951,0.0803394858272907,0.0253703639454602,3525,"tags=31%, list=26%, signal=23%","5163/6513/7852/1649/6503/10392/6016/466/1027/6885/5594/5335/4690/7132/1977/51135/5601/1213/57761/6197/5899/29110/156/10298/4087/7184","WBO2"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",39,0.417950064474117,1.35127709700748,0.0931372549019608,0.122549019607843,0.0386996904024768,2951,"tags=41%, list=21%, signal=32%","3726/5214/2729/10549/5621/1032/2878/10542/2512/140809/6648/9943/9124/4363/4710/4720","WBO2"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",126,0.310506537307452,1.20981010693541,0.135493372606775,0.173709452059968,0.0548556164399897,1735,"tags=17%, list=13%, signal=15%","9060/3394/3162/29950/6472/645/3487/2729/6533/6510/84913/316/5909/128/9361/9663/9536/7378/586/10653/2948","WBO2"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",27,0.415100502006272,1.24659495549662,0.16751269035533,0.209390862944162,0.0661234304034197,870,"tags=15%, list=6%, signal=14%","5329/4067/202/8406","WBO2"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",137,0.290403483002925,1.14722029963887,0.197674418604651,0.241066364152014,0.0761262202585306,4246,"tags=39%, list=31%, signal=27%","3383/1265/1001/2037/54509/1004/4478/51776/88/7087/2318/1495/3638/7414/5600/7106/7045/9459/6624/87/5310/29126/5335/3909/2771/7410/999/60412/1297/51474/60/5603/7781/7073/3757/2683/147/2770/1272/8754/1024/253559/3688/5818/143903/9074/1009/57863/7248/4902/103910/6251/257194","WBO2"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",54,0.342553405766334,1.17298474438284,0.223255813953488,0.26578073089701,0.0839307571253716,77,"tags=4%, list=1%, signal=4%","3099/9064","WBO2"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",163,0.263848434892398,1.06470284091719,0.312320916905444,0.363163856866795,0.114683323221093,2763,"tags=22%, list=20%, signal=18%","8819/1031/602/4853/890/675/11044/4171/51776/4088/11104/1112/10592/5347/4331/5813/4085/9252/4175/10492/7514/1027/4926/3015/8317/904/7112/580/10733/6541/10951/1033/10762/1062/7090/4953","WBO2"
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",73,-0.253325373398043,-0.998488414106178,0.458100558659218,0.520568816658202,0.164390152628906,2421,"tags=22%, list=18%, signal=18%","3417/8800/367/3992/21/64137/196743/9415/3991/23417/9420/373156/54677/64577/10350/23460","WBO2"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",22,-0.298549666228419,-0.915267844934942,0.575829383886256,0.639810426540284,0.202045397854827,1757,"tags=23%, list=13%, signal=20%","3642/4760/3670/5126/4825","WBO2"
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",117,0.242102036238417,0.933878589795709,0.60735294117647,0.660166240409207,0.208473549602908,4698,"tags=42%, list=34%, signal=28%","3155/2572/6392/131076/10449/226/3956/1371/2026/10455/2027/35/6281/6611/23710/3015/644/23173/57515/873/5910/4953/4190/1429/3320/3032/6389/549/51478/2820/8802/2182/7358/8803/37/3421/3295/1374/50486/5465/10965/10961/10005/210/2110/1892/51109/594/3422","WBO2"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",133,0.231572634872555,0.911319907580944,0.647826086956522,0.689176688251619,0.217634743658406,3203,"tags=23%, list=23%, signal=18%","7298/10309/5893/11130/8480/8731/5437/3615/129607/5557/5984/6386/155382/51082/5980/5430/65109/2959/3251/25920/2073/2987/5436/5429/50808/4090/10289/6749/5432/6809/11051","WBO2"
"HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",83,0.244270509356034,0.888797971547826,0.672782874617737,0.700815494393476,0.221310156124256,2204,"tags=17%, list=16%, signal=14%","9249/3155/8915/1382/10455/9961/7555/6258/2100/11001/1381/6648/291/1742","WBO2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",56,0.217593078634904,0.74881427281918,0.873817034700315,0.891650035408485,0.281573695392153,3329,"tags=30%, list=24%, signal=23%","2634/10437/54625/841/129607/3659/55603/83666/135112/1997/11054/6737/5359/8767/85363/3433/716","WBO2"
"HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS","HALLMARK_SPERMATOGENESIS",76,0.200950533503405,0.725025906731295,0.935285053929122,0.935285053929122,0.295353174924986,1687,"tags=13%, list=12%, signal=12%","8900/9063/3306/5984/79696/4291/56903/2947/8161/3598","WBO2"
