"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ONTOLOGY","CellLine"
"GO:0001666","GO:0001666","response to hypoxia",258,0.530392582633699,2.24164693111826,8.18496825342426e-15,1.12357546254502e-11,7.63821869958993e-12,1848,"tags=24%, list=10%, signal=22%","HK2/VEGFA/ADM/ASCL2/ANG/FOSL2/PDK1/PLOD2/DDIT4/STC2/STC1/SLC2A1/ANGPTL4/FAM162A/HILPDA/BNIP3/RORA/AK4/CXCL12/EPAS1/CXCR4/FOS/BNIP3L/EGLN1/PDK3/PGK1/ENO1/NDRG1/ALKBH5/FOXO3/GAD2/CCNA2/TGFBR3/CRYAB/ERO1A/NPPC/NOL3/EDN1/DIO3/HSPG2/BBC3/PLOD1/SIRT4/HIF3A/SDHD/CYGB/ITPR1/LIMD1/ACAA2/EGR1/SMAD3/GATA6/AJUBA/CASR/EPHA4/PLAU/PPARG/SFRP1/MT3/EGLN3/DDR2/FGFR2","BP","iN #1"
"GO:0036293","GO:0036293","response to decreased oxygen levels",269,0.521675362399698,2.20417797088931,1.12413753131068e-14,1.12357546254502e-11,7.63821869958993e-12,1848,"tags=23%, list=10%, signal=21%","HK2/VEGFA/ADM/ASCL2/ANG/FOSL2/PDK1/PLOD2/DDIT4/STC2/STC1/SLC2A1/ANGPTL4/FAM162A/HILPDA/BNIP3/RORA/AK4/CXCL12/EPAS1/CXCR4/FOS/BNIP3L/EGLN1/PDK3/PGK1/ENO1/NDRG1/ALKBH5/FOXO3/GAD2/CCNA2/TGFBR3/CRYAB/ERO1A/NPPC/NOL3/EDN1/DIO3/HSPG2/BBC3/PLOD1/SIRT4/HIF3A/SDHD/CYGB/ITPR1/LIMD1/ACAA2/EGR1/SMAD3/GATA6/AJUBA/CASR/EPHA4/PLAU/PPARG/SFRP1/MT3/EGLN3/DDR2/FGFR2","BP","iN #1"
"GO:0070482","GO:0070482","response to oxygen levels",294,0.50041772809714,2.14547097812168,2.17237237611582e-13,1.44752412661851e-10,9.84046574584392e-11,1848,"tags=22%, list=10%, signal=20%","HK2/VEGFA/ADM/ASCL2/ANG/FOSL2/PDK1/PLOD2/DDIT4/STC2/MYOD1/STC1/SLC2A1/ANGPTL4/FAM162A/HILPDA/BNIP3/RORA/AK4/CXCL12/EPAS1/CXCR4/FOS/BNIP3L/EGLN1/PDK3/PGK1/ENO1/NDRG1/ALKBH5/FOXO3/GAD2/CCNA2/TGFBR3/CRYAB/ERO1A/NPPC/NOL3/EDN1/DIO3/HSPG2/BBC3/PLOD1/SIRT4/HIF3A/SDHD/CYGB/ITPR1/LIMD1/ACAA2/EGR1/SMAD3/GATA6/AJUBA/COL1A1/CASR/EPHA4/PLAU/PPARG/SFRP1/MT3/EGLN3/DDR2/FGFR2","BP","iN #1"
"GO:0048514","GO:0048514","blood vessel morphogenesis",493,0.41563973097457,1.87844120199934,1.2860583172657e-11,6.42707644053531e-09,4.36921391471056e-09,2318,"tags=22%, list=12%, signal=20%","HK2/VEGFA/ADM/ANG/LOX/ANGPTL4/MYO1E/TNFAIP3/ADAMTS1/JUNB/TNFRSF12A/ITGB3/TBX2/RORA/STAB2/EGR3/EPAS1/CXCR4/BMP4/CD40/EGLN1/ETS1/PGK1/RBPJ/HMOX1/NOTCH2/TIPARP/SHH/WNT11/RRAS/KLF2/SMAD7/FOXH1/SPHK1/TGFBR3/NPR1/HOXA5/NOG/KLF4/ANGPTL6/NPPC/TIE1/LRP2/EDN1/CCL2/HPSE/FLNA/TGFA/HSPG2/ID1/MIR27B/KLF5/ARHGAP22/SH2D2A/HIF3A/THBS2/EFNA1/FGF10/GATA2/E2F7/ETV2/NR2F2/ZC3H12A/EFEMP2/PKM/HOXA7/GATA6/NRP1/RLN2/THBS4/ITGA2B/LAMA1/PROK2/GAB1/APOH/RELA/NR4A1/MAPK7/PPARG/SFRP1/WNT7A/CTSH/PDCD10/LEPR/PROK1/RUNX1/CYP1B1/FGFR2/PLXND1/TBX6/PROX1/BTG1/RBM15/PIK3C2A/JMJD6/SERPINE1/LOXL2/NPPB/S1PR1/CLIC4/ATF2/CASP8/NRP2/HDAC5/TGFBI/JAK1/DLL4/PDGFB","BP","iN #1"
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels",132,0.579051820039751,2.24274445166705,7.58633912365328e-11,3.03301838163658e-08,2.06188711760766e-08,1980,"tags=30%, list=10%, signal=27%","VEGFA/PDK1/STC2/STC1/FAM162A/HILPDA/BNIP3/RORA/AK4/EPAS1/FOS/BNIP3L/EGLN1/PDK3/PGK1/ENO1/NDRG1/FOXO3/GAD2/CCNA2/ERO1A/NOL3/EDN1/BBC3/SIRT4/HIF3A/SDHD/ACAA2/GATA6/AJUBA/CASR/EPHA4/PPARG/SFRP1/MT3/EGLN3/DDR2/FGFR2/PMAIP1","BP","iN #1"
"GO:0071456","GO:0071456","cellular response to hypoxia",126,0.586863049544696,2.26042383497887,1.17373720892361e-10,3.91050113439717e-08,2.65841181880769e-08,1980,"tags=31%, list=10%, signal=28%","VEGFA/PDK1/STC2/STC1/FAM162A/HILPDA/BNIP3/RORA/AK4/EPAS1/FOS/BNIP3L/EGLN1/PDK3/PGK1/ENO1/NDRG1/FOXO3/GAD2/CCNA2/ERO1A/NOL3/EDN1/BBC3/SIRT4/HIF3A/SDHD/ACAA2/GATA6/AJUBA/CASR/EPHA4/PPARG/SFRP1/MT3/EGLN3/DDR2/FGFR2/PMAIP1","BP","iN #1"
"GO:0071453","GO:0071453","cellular response to oxygen levels",145,0.561655383169555,2.20780695951578,3.91074061152629e-10,1.11679578320587e-07,7.59212951801571e-08,1980,"tags=28%, list=10%, signal=25%","VEGFA/PDK1/STC2/MYOD1/STC1/FAM162A/HILPDA/BNIP3/RORA/AK4/EPAS1/FOS/BNIP3L/EGLN1/PDK3/PGK1/ENO1/NDRG1/FOXO3/GAD2/CCNA2/ERO1A/NOL3/EDN1/BBC3/SIRT4/HIF3A/SDHD/ACAA2/GATA6/AJUBA/CASR/EPHA4/PPARG/SFRP1/MT3/EGLN3/DDR2/FGFR2/PMAIP1","BP","iN #1"
"GO:0001525","GO:0001525","angiogenesis",423,0.409595600938547,1.82350725891711,1.03868886748982e-09,2.5954238076402e-07,1.76440437885443e-07,2318,"tags=22%, list=12%, signal=20%","HK2/VEGFA/ADM/ANG/ANGPTL4/TNFAIP3/ADAMTS1/TNFRSF12A/ITGB3/RORA/STAB2/EGR3/EPAS1/CXCR4/BMP4/CD40/EGLN1/ETS1/PGK1/RBPJ/HMOX1/NOTCH2/SHH/RRAS/KLF2/SPHK1/TGFBR3/NPR1/HOXA5/KLF4/ANGPTL6/NPPC/TIE1/EDN1/CCL2/HPSE/FLNA/TGFA/HSPG2/ID1/MIR27B/KLF5/ARHGAP22/SH2D2A/HIF3A/THBS2/EFNA1/FGF10/GATA2/E2F7/ZC3H12A/PKM/HOXA7/GATA6/NRP1/RLN2/THBS4/ITGA2B/PROK2/GAB1/APOH/RELA/NR4A1/MAPK7/PPARG/SFRP1/WNT7A/CTSH/PDCD10/LEPR/PROK1/RUNX1/CYP1B1/FGFR2/PLXND1/BTG1/RBM15/PIK3C2A/JMJD6/SERPINE1/LOXL2/NPPB/S1PR1/CLIC4/ATF2/CASP8/NRP2/HDAC5/TGFBI/JAK1/DLL4/PDGFB","BP","iN #1"
"GO:0044703","GO:0044703","multi-organism reproductive process",150,0.537272100115978,2.12594017725298,1.39580114217725e-09,3.10022942579147e-07,2.10757809888986e-07,1600,"tags=20%, list=8%, signal=18%","VEGFA/ADM/STC2/MAFF/STC1/SLC2A1/JUNB/ITGB3/HAVCR2/SYDE1/FOS/ACVR1C/TIMP1/THBD/FOSL1/TEAD4/TEAD3/EDN1/SLC38A3/HSPG2/DSG1/IQUB/EPOR/NR2F2/DSG2/PCSK5/RLN2/CORIN/FOSB/RARA","BP","iN #1"
"GO:0071396","GO:0071396","cellular response to lipid",452,0.400375574616045,1.79386513400939,1.72810061824743e-09,3.45447313587662e-07,2.34839778753414e-07,3858,"tags=31%, list=20%, signal=25%","DDIT4/MYOD1/STC1/HMGB2/TNFAIP3/SPON2/ZFP36/KDM3A/NR1D1/INSIG2/PTGER2/METTL21C/TBX2/RORA/HAVCR2/KLF9/WNT6/LPL/SCNN1G/FOS/CD40/DAXX/IRF8/ARID5A/ABCB4/TNIP1/GRAMD1C/PDK3/WNT11/OPRK1/ABCA1/FOXO3/FOXH1/LYN/CCNA2/KLF4/FOXP1/NLRP3/EDN1/CCL2/PER1/IRAK2/KDM4C/PIAS2/BCL10/GPR155/GBP2/ADCY8/TMF1/HCK/VIM/PIM1/ZC3H12A/AXL/MSN/SREBF1/SCNN1B/COL1A1/CASR/RARA/RELA/CYP26B1/SFRP1/SSTR5/PABPN1/MGST1/INSIG1/BTG2/CYP1B1/FGFR2/PMEPA1/EDNRB/EPHA3/CDK19/SERPINE1/AXIN2/TLR4/CCDC62/TNFSF4/GRAMD1A/ESRRB/HDAC5/CMPK2/BMP6/RXRA/NR3C2/NR3C1/CRY2/PTGFR/HES1/SMYD3/XBP1/MAP4K1/NFE2L1/TLR9/CDC73/WNT7B/LDLR/TWF2/PRKCD/MGARP/PENK/YES1/TRERF1/PKN1/REST/TNIP2/DAB2IP/UFSP2/LPAR1/NCOR2/RXRG/ESR2/GIT1/IRF3/TRIM68/TFAP4/TNC/DAB2/CNOT2/UBR5/UFL1/H2AZ1/ERRFI1/PTGS2/SNAI2/CD274/MAPK1/SHPK/WNT10B/TSPO/RARG/PRKD1/RNF6/PRKCE/HDAC2/TNFRSF1B/ASS1","BP","iN #1"
