"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","ONTOLOGY","CellLine"
"GO:0036293","GO:0036293","response to decreased oxygen levels",312,0.491891624704623,2.22493540246716,2.56846588219675e-14,5.66603573612603e-11,3.9662520517712e-11,1453,"tags=22%, list=9%, signal=21%","Crhr1/Ero1a/Mgarp/Kcnk3/Ptgs2/Slc2a1/Hilpda/Lif/Plau/Stc2/Kcnj11/Car9/Plk3/Fos/Hk2/Inhba/Fam162a/Egr1/Vegfa/Adm/Bmp2/Angpt4/Bnip3/Srf/Fosl2/Nppc/Nr4a2/Ddit4/Egln1/Atf4/Ak4/Ndrg1/Vasn/Stc1/Cbfa2t3/Penk/Bnip3l/Myc/Higd1a/Alkbh5/Hmox1/Pgk1/Lmna/Egln3/Slc1a1/Eif4ebp1/Tbl2/Eno1/Vldlr/Apaf1/Tek/Zfas1/Eno1b/Rest/Tfrc/Mapk8/Plekhn1/Pdk1/Pparg/Ascl2/Lta/Lonp1/Pik3cb/Mdm2/Rock2/Bbc3/Cpeb1/Acvrl1/Suv39h2","BP","mG #1"
"GO:0070482","GO:0070482","response to oxygen levels",334,0.480734844102051,2.18830751183516,8.98103520200279e-14,9.90608182780908e-11,6.93430454807268e-11,1453,"tags=22%, list=9%, signal=20%","Crhr1/Ero1a/Mgarp/Kcnk3/Ptgs2/Slc2a1/Hilpda/Lif/Plau/Stc2/Kcnj11/Car9/Plk3/Fos/Hk2/Inhba/Fam162a/Egr1/Vegfa/Adm/Bmp2/Angpt4/Bnip3/Srf/Fosl2/Nppc/Nr4a2/Ddit4/Egln1/Atf4/Ak4/Ndrg1/Vasn/Stc1/Fas/Cbfa2t3/Penk/Bnip3l/Myc/Higd1a/Alkbh5/Hmox1/Slc7a5/Pgk1/Lmna/Egln3/Slc1a1/Eif4ebp1/Tbl2/Eno1/Vldlr/Apaf1/Tek/Zfas1/Eno1b/Rest/Tfrc/Mapk8/Plekhn1/Pdk1/Pparg/Ascl2/Lta/Lonp1/Pik3cb/Atp6v1a/Mdm2/Rock2/Bbc3/Cpeb1/Acvrl1/Suv39h2","BP","mG #1"
"GO:0001666","GO:0001666","response to hypoxia",296,0.49929060696829,2.25066087939718,1.73428963293459e-13,1.27528097675124e-10,8.92702768952648e-11,1453,"tags=23%, list=9%, signal=21%","Crhr1/Ero1a/Mgarp/Kcnk3/Ptgs2/Slc2a1/Hilpda/Lif/Plau/Stc2/Kcnj11/Car9/Plk3/Fos/Hk2/Inhba/Fam162a/Egr1/Vegfa/Adm/Bmp2/Angpt4/Bnip3/Srf/Fosl2/Nppc/Nr4a2/Ddit4/Egln1/Atf4/Ak4/Ndrg1/Vasn/Stc1/Cbfa2t3/Penk/Bnip3l/Myc/Higd1a/Alkbh5/Hmox1/Pgk1/Lmna/Egln3/Eif4ebp1/Tbl2/Eno1/Vldlr/Apaf1/Tek/Zfas1/Eno1b/Rest/Tfrc/Plekhn1/Pdk1/Pparg/Ascl2/Lta/Lonp1/Pik3cb/Mdm2/Rock2/Bbc3/Cpeb1/Acvrl1/Suv39h2","BP","mG #1"
"GO:0002181","GO:0002181","cytoplasmic translation",154,0.561886601636873,2.33134851552386,2.47955221901572e-11,1.36747304878717e-08,9.57237659288438e-09,5098,"tags=74%, list=30%, signal=52%","Eif4ebp1/Piwil2/Cpeb1/Eif2ak4/Eif4a1/Pkm/Nemf/Syncrip/Rps6-ps4/Pabpc1/Rpl34/Cpeb2/Csde1/Eif2s3x/Eif2s2/Rps21/Rps14/Eif4a2/Rpl12/Fmr1/Eef2/Eif3c/Rpl13a/Eif3j2/Cnbp/Rpl3/Rpl31/Rps3/Impact/Rpl35a/Rps15a/Rps3a1/Rps27a/Rpl26/Rplp1/Rpl4/Ybx1/Rpl22l1/Rpl37/Rpl9/Rpl17/Rpl30/Nck1/Rps6/Rpl23/Zc3h15/Rps28/Rps2/Rpl18a/Rplp0/Eif5/Rpl10a/Rpsa/Rpl5/Rps12/Eif3j1/Rpl15/Rpl8/Rps7/Rps11/Rpl18/Eif3a/Rps20/Rpl27a/Rpl22/Rbm24/Rps5/Rps13/Rpl13/Rpl35/Rps19/Rps9/Rpl38/Rps16/Rps25/Rps26/Rpl41/Cpeb4/Rps23/Rpl7/Rpl36/Rpl39/Rps29/Rpl6/Eif3m/Rps8/Eif3e/Rpl24/Etf1/Rplp2/Uba52/Rpl27/Rps15/Eif3h/Rpl21/Rpl23a/Nmnat2/Mettl3/Rps10/Rpl7a/Rpl14/Rpl36a/Rpl6l/Slbp/Rpl29/Ythdf2/Rpl19/Eif3g/Rps24/Rps17/Rpl32/Rpl28/Rps4x/Denr","BP","mG #1"
"GO:0071456","GO:0071456","cellular response to hypoxia",145,0.570005683524921,2.35098182183263,5.20557576733107e-11,1.82813985210699e-08,1.27970661976473e-08,1453,"tags=27%, list=9%, signal=25%","Ero1a/Mgarp/Kcnk3/Ptgs2/Hilpda/Stc2/Plk3/Fos/Inhba/Fam162a/Vegfa/Angpt4/Bnip3/Egln1/Atf4/Ak4/Ndrg1/Vasn/Stc1/Bnip3l/Myc/Higd1a/Pgk1/Lmna/Egln3/Eif4ebp1/Tbl2/Eno1/Vldlr/Zfas1/Eno1b/Pdk1/Pparg/Pik3cb/Mdm2/Rock2/Bbc3/Cpeb1/Suv39h2","BP","mG #1"
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels",155,0.56087915202054,2.3249166676885,5.68592385363855e-11,1.82813985210699e-08,1.27970661976473e-08,1453,"tags=26%, list=9%, signal=24%","Ero1a/Mgarp/Kcnk3/Ptgs2/Hilpda/Stc2/Plk3/Fos/Inhba/Fam162a/Vegfa/Angpt4/Bnip3/Egln1/Atf4/Ak4/Ndrg1/Vasn/Stc1/Bnip3l/Myc/Higd1a/Pgk1/Lmna/Egln3/Eif4ebp1/Tbl2/Eno1/Vldlr/Zfas1/Eno1b/Mapk8/Pdk1/Pparg/Pik3cb/Mdm2/Rock2/Bbc3/Cpeb1/Suv39h2","BP","mG #1"
"GO:0071453","GO:0071453","cellular response to oxygen levels",170,0.546258712317906,2.30195500475592,5.80098774467312e-11,1.82813985210699e-08,1.27970661976473e-08,1453,"tags=25%, list=9%, signal=23%","Ero1a/Mgarp/Kcnk3/Ptgs2/Hilpda/Stc2/Plk3/Fos/Inhba/Fam162a/Vegfa/Angpt4/Bnip3/Egln1/Atf4/Ak4/Ndrg1/Vasn/Stc1/Fas/Bnip3l/Myc/Higd1a/Pgk1/Lmna/Egln3/Eif4ebp1/Tbl2/Eno1/Vldlr/Zfas1/Eno1b/Mapk8/Pdk1/Pparg/Pik3cb/Atp6v1a/Mdm2/Rock2/Bbc3/Cpeb1/Suv39h2","BP","mG #1"
"GO:0010817","GO:0010817","regulation of hormone levels",459,0.388372220206162,1.80290902727129,3.77893587865219e-09,1.04204156853834e-06,7.29434070260889e-07,2849,"tags=24%, list=17%, signal=21%","Hsd17b2/Ucn/Il11/Gpr68/Crhr1/Aldh8a1/Slc26a7/Gipr/Cyp27b1/Lif/Mafa/Stc2/Kcnj11/Inhba/Aldh1a3/Egr1/Adm/Syt7/Bmp2/Gck/Cnr1/Hsd17b1/Pim3/Cntf/Nr1d1/Hmga2/Crabp2/Myh9/Bmal1/Rdh9/Gal/Cacna1h/Pfkl/Ctsk/Slc7a5/Cyp11a1/Acvr1c/Tiparp/Hmgcr/Rab44/Sstr5/Adh7/Star/Camk2n1/Tiam1/Pde3b/Hmga1/Pfkfb2/Rest/Cckbr/Smpd3/Plb1/Ptger3/Pparg/Cyp26b1/Naglu/Rdh1/Ces1d/Vgf/Lipe/Gja1/Foxd1/Rab11fip1/Sgpl1/Apln/Slc3a2/Ece1/Tbc1d1/Trpc1/Akr1c18/Awat2/Edn1/Pck2/Clock/Plekha1/Tbx3/Hsd17b8/Cry1/Il6/Clcf1/Dhrs11/Acsl4/Ccdc186/Snap25/Pde1c/Rab11fip5/Por/Tmf1/Smad2/Cpe/Jak2/Dgat1/Trpm4/Stx4a/Sirt1/Myo5a/Pax8/Snord32a/Cpa4/Trh/P4hb/Sin3a/Ywhaz/Pcsk4/Runx1/Smad4/Anxa5/Fgfr1/Ctsb/Tardbp/Rab8b/Ptbp1","BP","mG #1"
"GO:0035082","GO:0035082","axoneme assembly",101,-0.558242186723991,-2.21572884420028,6.76810871969253e-09,1.65893864840464e-06,1.16126496979988e-06,6270,"tags=72%, list=37%, signal=46%","Ttll1/Ak7/Mns1/Pierce2/Cfap47/Bbof1/Cfap69/Pla2g3/Meig1/Cfap43/Cfap65/Dnaaf10/Ift88/Tpgs1/Hoatz/Rsph1/Dnaaf4/Cluap1/Ttc12/Spef1/Cntrl/Ccdc65/Dnai4/Drc7/Foxj1/Tekt2/Cfap206/Dnaaf11/Dnah7a/Dnai2/Cfap91/Lrrc23/Dnah2/Rp1l1/Ttll3/Odad2/Ift46/Cfap57/Ccdc103/Cplane2/Spag16/Cfap44/Spef2/Cfap74/Spaca9/Tbc1d32/Rsph4a/Iqcg/Dnah5/Odad3/Ccdc40/Daw1/Ccdc39/Dnai3/Lrguk/Dnah7c/Cfap157/Dnah7b/Dnaaf1/Ulk4/Cc2d2a/Dnah1/Cfap100/Cep131/Spag6l/Odad4/Dnaaf3/Dnajb13/Ttll8/Armc2/Lrrc43/Spag17/Cfap73","BP","mG #1"
"GO:0001525","GO:0001525","angiogenesis",489,0.385490340382607,1.80468299871557,9.47511816782665e-09,2.09021106782256e-06,1.46315772128439e-06,1961,"tags=20%, list=12%, signal=18%","Nr4a1/Prok2/Adm2/Egr3/Itgb3/Serpine1/Ptgs2/Ccn2/Gpr4/Klf4/Lif/Plau/Ccn1/Hk2/Ntrk1/Thbs4/Ngfr/Itga5/Ppp1r15a/Ereg/Vegfa/Adm/Plk2/Hbegf/Angpt4/Actg1/Srf/Angptl6/Thbs1/Nppc/Tnfrsf12a/Arhgap22/Egln1/Hmga2/Dll4/Myh9/Bsg/Kctd10/F3/Clic4/Jmjd6/Btg1/Ets1/Flna/Cdh5/Bmp4/Cspg4/Jun/Gna13/Sphk1/Hmox1/Pgk1/Rbpj/Lgals3/Egfl7/Mir24-2/Tek/Fn1/Plg/Pde3b/Tspan18/Gadd45a/Cald1/Prok1/Adamts9/Adamts1/Hpse/Pparg/Scg2/Sp1/Ppp1r16b/Hyal1/Pik3cb/Rock2/Klf5/Wnt7a/Yjefn3/Acvrl1/Pdcl3/Apln/Amotl2/Emp2/Fgf18/Epha2/Foxj2/Pkm/Ism1/Jcad/Itgb1/Edn1/Pdgfb/Dab2ip/Cxcl10/Adam8/Vezf1/Rgcc/Loxl2/Thsd7a/Rela","BP","mG #1"
