"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DE"
"ANXA2P3",403.939408819058,1.800109397717,0.299573047766602,6.00891639330475,1.86767401825024e-09,2.58896972409849e-05,1
"YBX3P1",134.154878718935,1.8090317385076,0.337009216759031,5.36789989278273,7.96587444984756e-08,0.000552114758118935,1
"ANXA2P1",1404.72862811457,1.51021910193671,0.338707670586243,4.45876852839733,8.24318806697787e-06,0.0380890243281491,1
"ST13P4",109.467670989863,1.62023537785547,0.37060426737422,4.37187458561946,1.23184282720866e-05,0.0393143837087985,1
"LOC646214_1",77.7956709115832,1.69898086076735,0.391375957796717,4.3410455520362,1.41806318384066e-05,0.0393143837087985,1
"NFKB2",48.5403528796835,3.03204342091215,0.714621889642479,4.2428639044755,2.20685279094034e-05,0.0509856556466917,0
"CCN1",119.831875274544,1.67770784608745,0.404561820729319,4.14697522139628,3.36896506506803e-05,0.0667151339028187,0
"HK2",90.0723110933261,2.0474071536029,0.506877510454466,4.03925428012616,5.36214093322293e-05,0.0929124970204203,0
"ANXA2P2",3941.14461134439,1.43690138210233,0.362746500626299,3.96117227766899,7.45826952978257e-05,0.11487392469094,0
"ACTA2",6875.91898555019,1.68415310005786,0.438556134929877,3.84022241605888,0.000122922892613603,0.141996428117481,0
"IFIT2",28.6347645157462,1.48414771072418,0.385403511610539,3.85089306665153,0.000117687880244085,0.141996428117481,0
"MSN",7505.50370436928,1.46900987481778,0.381218068529844,3.85346340083766,0.000116458678355571,0.141996428117481,0
"AHCTF1P1",49.0876393708994,1.48455346670355,0.408435706949691,3.63472987655903,0.000278272042858336,0.250884021462494,0
"RBPMS",74.075642252791,2.52207517989771,0.689615963962952,3.6572169318766,0.00025496858610297,0.250884021462494,0
"KLF13",35.0575460590805,1.44121564817609,0.398388015850322,3.61761797753867,0.000297326814381517,0.250884021462494,0
"UBE2MP1",235.45832978472,1.42333199072789,0.394411522567058,3.60874850071322,0.000307677706309508,0.250884021462494,0
"APOL1",34.1683557640598,1.71712218991672,0.473664389444557,3.62518742844549,0.000288751954876708,0.250884021462494,0
"RNR1",11012.1656783121,0.717984331288749,0.202353522588981,3.54816818656087,0.000387920429990544,0.298741833362718,0
"TAGLN2",441.686528166446,1.38372237199399,0.394614529849416,3.50651653025047,0.000454013235495403,0.331238498444067,0
"ELL2",176.2813897964,1.41408290295378,0.406017244487585,3.48281488570374,0.000496171325127483,0.343896345445858,0
"YBX3",466.529506579707,1.13079385040648,0.327711236853511,3.45058003278648,0.000559383283654921,0.369246241810691,0
"COL12A1",91.2271101597207,1.38828588591527,0.406652789528448,3.4139342497198,0.000640320265117123,0.40345997795698,0
"YWHAEP1",224.851119301494,1.4869450625201,0.439589067680279,3.38257971329165,0.000718084346953287,0.425310338077775,0
"RAP1B",1805.85371691591,1.22596878133534,0.36317791258988,3.37566999213349,0.000736361860760828,0.425310338077775,0
"PABPC3",49.1895859196534,3.14102254607309,0.933823416685606,3.36361510104495,0.000769287499683644,0.426554532824587,0
"OR1F1",26.144071504323,1.29718458056258,0.388660104739102,3.3375809987839,0.000845110854793959,0.450574102659764,0
"CSNK1A1L",1088.24858561487,1.24859493249418,0.376029794982839,3.32046808299103,0.000898666340880041,0.461381956195523,0
"VEGFA",45.085915384947,2.24394477479217,0.681535559888495,3.29248377760259,0.00099306626710544,0.491638735521986,0
"RHBDF1",272.479429125342,1.06013724288909,0.33644764972137,3.15097235414498,0.00162727892248612,0.68355577040917,0
"GSG1L",77.2703214450266,0.783270029499362,0.248336456671945,3.15406783199001,0.00161011656764451,0.68355577040917,0
"CHORDC1P4",120.963950471957,1.20969448466151,0.381947925465228,3.16717123987008,0.00153929648231227,0.68355577040917,0
"RELB",8.48670029977933,1.85784533520371,0.584443701897484,3.17882685564399,0.00147872392862958,0.68355577040917,0
"THBD",29.5385838729047,1.08785511495876,0.343718550360288,3.1649589869923,0.00155104812475587,0.68355577040917,0
"TRIM21",28.3578640873268,1.02168032365835,0.329065836290743,3.10479001762933,0.00190414151699857,0.776329697312769,0
"POTEKP",287.419223900028,1.28908561989075,0.419011908971246,3.07648921734873,0.00209453878238603,0.829557045755291,0
"P4HA1",40.1197557961483,0.884050765498212,0.288862488807883,3.06045540612293,0.00221000668582974,0.845194682264042,0
"SERPINA3",30.9436018167352,1.50762457399287,0.493609435647251,3.05428637525128,0.0022559661840838,0.845194682264042,0
"IFI16",209.59793365575,0.838651738485711,0.27600052324294,3.03858749480528,0.00237690071831603,0.867068362034125,0
"IFIT3",169.692872950455,1.10751413624699,0.365996191983352,3.0260263918193,0.00247790673393024,0.880737003736948,0
"WASH7P",14.5036938815971,-0.271426528064194,0.43305382824196,-0.626773186987139,0.530807921826053,0.999878154981222,0
"LOC729737",12.0876704929078,0.249521536865595,0.473232942494912,0.527270006923234,0.598006099398494,0.999878154981222,0
"WASH9P",7.65424423085242,-0.0889877269100543,0.749168362209566,-0.118782014028993,0.905448058516119,0.999878154981222,0
"LOC100288069",8.55856265770176,0.108395155879025,0.540680926644873,0.200478971121947,0.8411060027619,0.999878154981222,0
"LINC00115",6.72659639876028,0.051910053246325,0.791483231248766,0.0655857903198071,0.947707602435959,0.999878154981222,0
"LINC01128",270.89682833867,-0.205932815291251,0.224103034025522,-0.918920246603167,0.35813728900965,0.999878154981222,0
"LOC107984850",4.80947333315368,-0.167598690012157,0.691262870700384,-0.242452903397439,0.808429245901089,0.999878154981222,0
"LOC284600",109.23016259756,-0.165785567684045,0.324058326603801,-0.511591753933659,0.608936757830998,0.999878154981222,0
"LINC02593",114.425297116597,-0.297205894724563,0.348121258783275,-0.85374244527132,0.393247710552642,0.999878154981222,0
"LOC107985728",158.764458820134,-0.31165868428486,0.1855242950175,-1.67988070918401,0.0929805278158387,0.999878154981222,0
"SAMD11",392.922550964136,-0.134758069767964,0.211607173594612,-0.636831292053114,0.524234740972526,0.999878154981222,0
"NOC2L",358.02149372904,-0.531814419153814,0.423948444092857,-1.25443182199138,0.209685092149386,0.999878154981222,0
"KLHL17",102.449411056184,-0.162463281552331,0.255053450110663,-0.636977392314596,0.52413956969546,0.999878154981222,0
"PLEKHN1",7.10272565254011,0.384109444127002,0.82638990277172,0.464804135237731,0.642071726170038,0.999878154981222,0
"HES4",44.1339377451606,-0.241748520978693,0.383690994509652,-0.63006045082617,0.528655034067042,0.999878154981222,0
"ISG15",14.677617073266,0.20100572408261,0.51384330611803,0.391180972271806,0.695663471920417,0.999878154981222,0
"AGRN",679.38012762785,-0.172107686661189,0.201398883424552,-0.854561275289611,0.392794073491275,0.999878154981222,0
"LOC100288175",8.94750155439982,0.382439223946744,0.669148224348619,0.571531403702115,0.567639479237705,0.999878154981222,0
"C1orf159",29.1620180457876,0.043286776531218,0.386065484859746,0.112122886475966,0.910725971060543,0.999878154981222,0
"LOC124903819",5.09663880188126,-0.887974352983147,0.776938311278899,-1.14291487508381,0.253073935904582,0.999878154981222,0
