"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","DE"
"Dhfr",1199.10859535162,1.42794992136412,0.1425548850068,10.0168431358632,1.28543233002691e-23,2.41339919962552e-19,1
"Efcc1",1430.71192323589,1.98526752054245,0.209183557242107,9.49055244454382,2.29813062158658e-21,2.1573701210144e-17,1
"Pvr",9388.01757160691,1.49954233214041,0.158848723490089,9.44006536026067,3.725469423589e-21,2.33152294759612e-17,1
"Serpine1",43674.6948393433,2.22165630084162,0.248618319766857,8.93601204820702,4.03468011413956e-19,1.89377797857425e-15,1
"Inhba",3526.85333211154,1.1861569219796,0.158211764958958,7.49727381075168,6.51587775355294e-14,2.44671209645913e-10,1
"Atp8b1",285.514412718623,1.56093424990188,0.214287016298425,7.28431557294193,3.2330742200865e-13,1.0116828080354e-09,1
"Kcnk3",324.651156609362,2.54831327575442,0.356102482507488,7.15612330981387,8.29904985535526e-13,2.22592372906136e-09,1
"Ankrd33b",2609.84914679916,1.71975685194275,0.241111143925702,7.13263113409928,9.84681875848841e-13,2.31092527738275e-09,1
"Slc20a1",31026.5664693178,0.806938582369738,0.113948075814337,7.08163412679766,1.42464385577886e-12,2.69393148513076e-09,1
"Plaur",2843.84144878873,1.49611464577565,0.211296378225978,7.08064500838522,1.43485032496978e-12,2.69393148513076e-09,1
"Cxcl2",5579.04184915438,1.524378851712,0.217888240869299,6.99615016225864,2.63091558007111e-12,4.13832537590151e-09,1
"Syt7",1401.05991156462,1.50795530262135,0.215563792814933,6.99540160678081,2.64500157181455e-12,4.13832537590151e-09,1
"Slco2a1",4668.64760232746,1.41213899709414,0.203727666218123,6.93150333142389,4.16391646991079e-12,6.01365628635194e-09,1
"Mex3d",2019.24244383271,0.949110461214112,0.141226905259496,6.72046491049408,1.81145654086216e-11,2.42929261104907e-08,1
"Ero1a",9271.18494179195,1.64176689566618,0.244907370864794,6.70362386345877,2.03313200638777e-11,2.54480356132869e-08,1
"Gm41958",422.516461274161,1.8604352037555,0.278270715673836,6.68570244357347,2.29819572850342e-11,2.69678905016573e-08,1
"Nipal1",373.357582925246,2.52957938816572,0.386026819997849,6.55285917227155,5.64457436676598e-11,6.2339343374136e-08,1
"Tsc22d2",9397.67156207184,1.01105341004302,0.156570359828154,6.45750198921888,1.06445353545504e-10,1.11028417378713e-07,1
"Slc7a1",8603.2811891027,1.6491771656818,0.256800336199268,6.42202105375008,1.34476817373721e-10,1.32884328746927e-07,1
"Snhg5",1342.60643329998,0.959027542070349,0.15046680730263,6.37368173926547,1.84543354604988e-10,1.73240074135433e-07,1
"Artn",736.81652667277,1.79274755640685,0.28319847107071,6.33035746848798,2.44593869422444e-10,2.1867856659078e-07,1
"Lims2",424.752686383607,1.53934274272901,0.244684551211384,6.2911317249415,3.15159750570954e-10,2.68960196225894e-07,1
"Map1b",34849.9515116834,1.0320609924712,0.164300303693388,6.28155255511397,3.35208442842265e-10,2.73632109320154e-07,1
"Raph1",5308.70811066018,1.28777422154211,0.206098503143576,6.24834339842343,4.14828853820977e-10,3.24517155437035e-07,1
"Chrm4",181.966850497789,1.47343446929015,0.237224744682604,6.21113312298656,5.26038845954296e-10,3.95055173311676e-07,1
"Gpr68",143.607647778358,3.22904423713684,0.521340921073942,6.19372872262766,5.87573207906205e-10,4.24295653016885e-07,1
"Atp13a4",13910.0137858634,1.64518826415281,0.266113119050578,6.18228920852309,6.31786428059505e-10,4.39325562474711e-07,1
"Heatr9",4901.50775085609,1.16531196977631,0.190685191475601,6.11118231446626,9.88957077247974e-10,6.25546003675211e-07,1
"Hrh4",40.0422342811083,4.80012412501858,0.785684113041369,6.10948350022935,9.99540884700736e-10,6.25546003675211e-07,1
"Syt4",237.884586091789,1.72368668690068,0.282105682637279,6.11007431961919,9.9584754565484e-10,6.25546003675211e-07,1
"Adamts1",39944.1363008309,0.938273451609766,0.154971554748932,6.05448821320696,1.40864788072302e-09,8.53140772921764e-07,1
"Cers3",112.714393537392,2.06092299078778,0.341877145223751,6.02825611357831,1.65738263065357e-09,9.72417465328772e-07,1
"Clic4",112916.133728682,1.04259716028696,0.173560299868794,6.00711776296268,1.88850351434572e-09,1.07444404490427e-06,1
"Gdnf",597.096921604171,2.17364550415594,0.363062394678125,5.98697506549251,2.13779540396328e-09,1.18050319733561e-06,1
"Gm2065",4135.18392953155,-0.879646890574214,0.147343135165496,-5.97005683085402,2.37170959201177e-09,1.27225278828632e-06,-1
"Itgal",1120.13172531481,-1.0718418271488,0.18060741497311,-5.93465017650787,2.94472685905044e-09,1.53575685496311e-06,-1
"Trh",178.552162271916,2.03128736256336,0.342803285178804,5.92551895033285,3.11312679150389e-09,1.57970150028339e-06,1
"Gpr158",106.071452485409,1.92755990168807,0.326378776766353,5.90589841896479,3.50730047260421e-09,1.73288332560905e-06,1
"Rgs16",53994.8115805246,1.19353255365289,0.20365257121992,5.86063090931475,4.6111185576358e-09,2.1643437729903e-06,1
"Bmp2",346.610806334278,1.57830062978915,0.269115876638628,5.8647622336623,4.49776738835063e-09,2.1643437729903e-06,1
"Ifi203",2165.62665581673,0.759540385522971,0.130642294473342,5.8138934912687,6.10362574791457e-09,2.79501398578283e-06,1
"Tmtc2",881.781902110791,1.09705700918753,0.188841961482091,5.80939215298063,6.27000681769458e-09,2.80284233338609e-06,1
"Srms",188.336125774074,1.49706489425487,0.260112978819452,5.75544096665012,8.64159173666792e-09,3.77316011292884e-06,1
"Crhr1",48.1665700044136,2.56508996399775,0.447479438843908,5.73230799302159,9.90731591328574e-09,4.22749673345317e-06,1
"Adtrp",498.551983120337,1.01757637934279,0.177699829599246,5.7263779128976,1.02597534846123e-08,4.28059714830214e-06,1
"Cyp27b1",141.212392184666,2.24033903407717,0.394187856211442,5.68342986414949,1.32019879468173e-08,5.31504336622142e-06,1
"Klf11",717.902600904079,0.836876823980997,0.147283088832259,5.68209718180286,1.33053016358139e-08,5.31504336622142e-06,1
"Slc4a7",6163.91570153074,0.944078160206847,0.166401614049061,5.67349160404476,1.3991596149253e-08,5.47275453546301e-06,1
"Myc",5331.21470799379,1.2685229200762,0.224020992230755,5.66251808566916,1.4916764888199e-08,5.71555634236605e-06,1
"Stmn4",172.934877793497,1.36402832243419,0.241584251655327,5.6461806309307,1.64051483401092e-08,6.16013320171099e-06,1
"Syt12",3280.46971462453,-0.656852223455514,0.116585588434265,-5.63407735275849,1.75998017095469e-08,6.47914268817142e-06,-1
"Adm2",84.1492029500646,2.04267857258437,0.366753630636119,5.569620589826,2.55294646800137e-08,9.21760960321647e-06,1
"Slc6a9",6298.75583996974,1.1563994313233,0.207864842083279,5.56322762297626,2.64830084571203e-08,9.38148082608365e-06,1
"Itga5",20764.6918586297,1.47899283824823,0.266546139738404,5.54873103658436,2.87750450717928e-08,1.00046568744983e-05,1
"Sprr1a",198.973081678944,1.59870638808216,0.289463196112245,5.52300399344113,3.33252158085132e-08,1.1376016850997e-05,1
"Irx3",883.087097670037,1.47310646176802,0.267345762126146,5.51011712343111,3.58595010066751e-08,1.20225380607201e-05,1
"Ppp1r15a",17353.2058164257,1.35149956106107,0.246311039131128,5.48696301159923,4.08902711168796e-08,1.34686814073582e-05,1
"Gm39974",175.581224734112,1.53112444044122,0.280034576270636,5.46762639396889,4.56101961828947e-08,1.45140920904042e-05,1
"Slc7a5",17117.8739384458,0.974086006554996,0.1780990976501,5.46934835385142,4.51693199941985e-08,1.45140920904042e-05,1
"Zfp469",2894.56325372938,1.36203856921372,0.249428589979622,5.46063532382152,4.74433696315548e-08,1.48458210805407e-05,1
"Rassf1",5866.02617606327,0.796427072663475,0.146659864922073,5.43043642571642,5.62164035404195e-08,1.73026717454324e-05,1
"Rai14",9057.99413630127,0.63176162001926,0.116776381819722,5.41001194055289,6.30205469639221e-08,1.90840446652845e-05,1
"Serpinb2",173.461627376477,1.21348562724766,0.226379317340417,5.36040854572806,8.3033954463685e-08,2.39840383854721e-05,1
"Fam83g",533.289629272779,1.51957141554633,0.283382252487432,5.36226740456769,8.21837568499934e-08,2.39840383854721e-05,1
"Mir17hg",100.378717643273,1.90482407930326,0.355020241684627,5.36539570325503,8.07719429011456e-08,2.39840383854721e-05,1
"Snhg17",1885.95467752934,0.861430423459832,0.160822483664796,5.35640542186451,8.48939052517309e-08,2.41497435015341e-05,1
"Tmem236",51.3260247927166,2.95364472930491,0.556430799084713,5.3081977743925,1.10714474452107e-07,3.10248396692285e-05,1
"Baat",75.9587225596477,2.55316270488222,0.482558524339144,5.29088716934123,1.21724447155832e-07,3.36084778728052e-05,1
"Atoh8",2945.12273389144,-1.1355671401632,0.215600376865015,-5.2669997922785,1.38671363789354e-07,3.77326790600742e-05,-1
"Wnt4",495.99692817714,-1.20271866098478,0.228794236806011,-5.25676991595086,1.46607543005845e-07,3.82065027295804e-05,-1
"Mthfd2",5749.05670826963,1.43596994434953,0.273196039145784,5.25618873845848,1.47071359193421e-07,3.82065027295804e-05,1
"Slco1a4",27515.7813512146,-0.594501753581938,0.113008291303789,-5.26069146540584,1.43514674773633e-07,3.82065027295804e-05,-1
"Rasd2",235.68606211785,2.02082081655112,0.384599983941587,5.25434451619229,1.48552580519807e-07,3.82065027295804e-05,1
"Nr1d1",10693.3813675225,1.18627684509132,0.227022569867425,5.22536964401412,1.73807534213891e-07,4.40977899306191e-05,1
"Pmepa1",7689.03507126679,1.09553136052416,0.210472744933316,5.20509845999898,1.9389377381887e-07,4.84753030553477e-05,1
"Vgf",36495.8315269009,1.13196433839419,0.217565005491633,5.20287872507934,1.96224928479703e-07,4.84753030553477e-05,1
"Grb10",451.507640226161,0.965167213644431,0.18562336176493,5.19959990201394,1.9971796078246e-07,4.86974638141648e-05,1
"Npc1l1",147.984270759146,1.88092001830843,0.362515832760784,5.18851826135165,2.11973977763819e-07,5.1023223493791e-05,1
"5430416N02Rik",436.218732467333,1.12481740857319,0.219276580384067,5.12967416129459,2.90244132147508e-07,6.81166697633682e-05,1
"D6Ertd527e",106.16532338038,2.36255685941753,0.460443416207377,5.1310471086277,2.88134780047537e-07,6.81166697633682e-05,1
"Dusp10",5832.91186932731,1.43790752928254,0.280515355929663,5.12594943159933,2.96042063563001e-07,6.86196264616709e-05,1
"Gfod1",340.208835992175,1.17070469198386,0.228883508277732,5.11484947427187,3.13991247498748e-07,7.18925081925487e-05,1
"Atp13a5",188.05035799989,1.25699242948306,0.246429292278163,5.10082392341654,3.38178063740348e-07,7.64975077918679e-05,1
"LOC115486417",1258.15415810975,-0.699135208130662,0.137258742049112,-5.09355686707742,3.51407581351206e-07,7.81748061640827e-05,-1
"Vcl",49045.6071121864,0.638561010192888,0.125399672213493,5.09220637439734,3.53920560529802e-07,7.81748061640827e-05,1
"Opn3",612.822451217784,1.39171865937796,0.273513099794702,5.088307142958,3.61273921756514e-07,7.88711381509135e-05,1
"Prkab2",2589.8971502407,0.856665400715673,0.169298043550919,5.06010218870613,4.19031841918351e-07,9.01045366171911e-05,1
