ROI,Area,Mean,Min,Max,MinThr,MaxThr
0001-0001-0102,238.789,717.21,0,6517,0,65535
0001-0002-0388,277.632,2864.412,0,9822,0,65535
0001-0003-0429,330.06,11300.303,0,28934,0,65535
0001-0004-0468,263.199,11222.572,0,25870,0,65535
0001-0005-0475,195.277,4601.143,0,17226,0,65535
0001-0006-0526,236.879,3462.261,0,12956,0,65535
0001-0007-0544,419.208,9306.503,0,27040,0,65535
0001-0008-0639,256.831,2435.388,0,9478,0,65535
0001-0009-0786,231.785,2482.712,0,9753,0,65535
0001-0010-0816,732.075,7135.267,0,26248,0,65535
0002-0001-0023,193.154,535.816,0,8583,0,65535
0002-0002-0114,427.91,1252.425,0,5793,0,65535
0002-0003-0173,294.825,707.856,0,7033,0,65535
0002-0004-0346,247.704,797.674,0,6792,0,65535
0002-0005-0398,350.224,3.72,0,1110,0,65535
0002-0006-0459,179.357,601.44,0,14781,0,65535
0002-0007-0502,266.595,1576.123,0,18121,0,65535
0002-0008-0523,192.517,422.109,0,12818,0,65535
0002-0009-0540,206.526,43.768,0,4829,0,65535
0002-0010-0572,259.803,292.766,0,4450,0,65535
0002-0011-0577,233.483,1318.413,0,15332,0,65535
0002-0012-0583,285.698,2603.932,0,12612,0,65535
0002-0013-0590,239.426,366.092,0,14299,0,65535
0002-0014-0604,212.682,2355.687,0,12233,0,65535
0002-0015-0625,272.75,1146.234,0,17467,0,65535
0002-0016-0655,181.268,207.583,0,7515,0,65535
0002-0017-0694,258.742,1098.147,0,22770,0,65535
0002-0018-0746,387.369,6.138,0,1868,0,65535
0002-0019-0749,486.281,2228.693,0,26489,0,65535
0002-0020-0760,251.949,4354.375,0,25663,0,65535
0002-0021-0778,385.247,1293.848,0,23425,0,65535
0002-0022-0803,151.552,429.38,0,13266,0,65535
0002-0023-0856,244.733,14559.33,0,42640,0,65535
0002-0024-0893,167.471,1781.365,0,11028,0,65535
0003-0001-0076,230.087,3.031,0,766,0,65535
0003-0002-0096,208.437,87.005,0,2694,0,65535
0003-0003-0307,143.274,435.846,0,9753,0,65535
0003-0004-0334,525.549,15150.906,0,44155,0,65535
0003-0005-0590,662.242,3899.997,0,17880,0,65535
0003-0006-0770,224.78,3432.706,0,13335,0,65535
0003-0007-0870,196.55,4732.151,0,23356,0,65535
0003-0008-0882,166.41,886.213,0,7309,0,65535
0004-0001-0096,412.628,2913.396,0,16055,0,65535
0004-0002-0195,462.508,968.609,0,19223,0,65535
0004-0003-0331,539.77,1189.186,0,16021,0,65535
0004-0004-0329,196.762,395.56,0,25594,0,65535
0004-0005-0345,251.949,6358.198,0,23356,0,65535
0004-0006-0359,145.184,707.962,0,9099,0,65535
0004-0007-0403,304.377,12764.611,0,34306,0,65535
0004-0008-0418,263.836,2870.677,0,24285,0,65535
0004-0009-0425,184.451,6373.694,0,17880,0,65535
0004-0010-0442,144.335,1525.384,0,11062,0,65535
0004-0011-0470,819.525,1613.956,0,65535,0,65535
0004-0012-0454,103.369,7929.273,0,17639,0,65535
0004-0013-0466,247.28,368.5,0,10304,0,65535
0004-0014-0466,135.632,7451.815,0,21117,0,65535
0004-0015-0526,234.756,1476.331,0,11785,0,65535
0004-0016-0526,235.605,589.05,0,14678,0,65535
0004-0017-0526,166.41,6618.214,0,19671,0,65535
0004-0018-0541,204.191,7311.034,0,18776,0,65535
0004-0019-0562,230.724,758.603,0,9512,0,65535
0004-0020-0601,103.369,123.15,0,2315,0,65535
0004-0021-0637,222.658,593.84,0,11751,0,65535
0004-0022-0633,226.054,3188.889,0,15298,0,65535
0004-0023-0710,328.999,9595.76,0,31999,0,65535
0004-0024-0742,226.266,233.321,0,8238,0,65535
0004-0025-0944,257.256,71.316,0,4864,0,65535
0005-0001-0020,311.381,45.16,0,3831,0,65535
0005-0002-0013,172.565,80.908,0,3589,0,65535
0005-0003-0014,166.622,8.755,0,1799,0,65535
0005-0004-0060,482.461,160.339,0,4347,0,65535
0005-0005-0057,107.402,93.277,0,4519,0,65535
0005-0006-0092,234.969,60.301,0,4416,0,65535
0005-0007-0095,464.843,511.527,0,9719,0,65535
0005-0008-0088,457.414,18.551,0,3589,0,65535
0005-0009-0105,247.916,148.172,0,4932,0,65535
0005-0010-0122,327.088,16.533,0,1833,0,65535
0005-0011-0128,161.952,287.385,0,5415,0,65535
0005-0012-0137,175.749,172.221,0,3934,0,65535
0005-0013-0144,252.374,113.512,0,5759,0,65535
