ROI,Area,Mean,Min,Max,MinThr,MaxThr
0001-0001-0012,144.335,10251.741,1680,16112,0,65535
0001-0002-0012,119.713,10813.844,6736,13392,0,65535
0001-0003-0009,116.529,7950.047,3280,11040,0,65535
0001-0004-0020,204.404,8063.618,1440,17120,0,65535
0001-0005-0052,406.897,10929.961,4448,16144,0,65535
0001-0006-0056,341.734,10754.335,4880,16224,0,65535
0001-0007-0060,426.424,6001.29,1072,10832,0,65535
0001-0008-0090,320.084,12821.57,3584,19296,0,65535
0001-0009-0097,340.46,20050.324,7632,30880,0,65535
0001-0010-0102,298.646,10726.118,5616,14704,0,65535
0001-0011-0115,320.508,12150.146,6912,17168,0,65535
0001-0012-0112,120.987,18528.646,6752,36160,0,65535
0001-0013-0126,316.475,17065.636,5168,28288,0,65535
0001-0014-0118,145.608,27389.831,3152,52032,0,65535
0001-0015-0136,193.578,11544.053,4576,16400,0,65535
0001-0016-0145,382.912,15151.441,5392,21520,0,65535
0001-0017-0143,417.722,8572.659,3072,12256,0,65535
0001-0018-0139,170.442,18771.447,3056,29968,0,65535
0001-0019-0158,525.548,11133.861,7408,17440,0,65535
0001-0020-0147,334.942,20145.156,3760,44432,0,65535
0001-0021-0157,253.647,17546.015,8880,28400,0,65535
0001-0022-0172,454.867,11843.233,6304,25936,0,65535
0001-0023-0189,143.698,6947.781,4064,14144,0,65535
0001-0024-0197,102.308,8937.826,4320,14416,0,65535
0001-0025-0206,368.691,10602.492,3392,15024,0,65535
0001-0026-0229,395.859,13979.856,5280,17936,0,65535
0001-0027-0230,106.129,12235.424,5120,22192,0,65535
0001-0028-0260,280.604,7995.026,3168,10864,0,65535
0001-0029-0294,258.317,18888.69,2992,33568,0,65535
0001-0030-0306,237.516,8962.288,4688,15696,0,65535
0001-0031-0321,352.771,13445.045,4112,24288,0,65535
0001-0032-0320,244.308,11966.846,2784,19008,0,65535
0001-0033-0342,340.46,10346.673,5840,14864,0,65535
0001-0034-0355,253.01,19790.966,2912,42576,0,65535
0001-0035-0379,214.167,15923.092,2512,30608,0,65535
0001-0036-0401,236.03,13857.338,5392,23728,0,65535
0001-0037-0418,228.601,8314.176,3248,13264,0,65535
0001-0038-0424,244.52,10608.75,6672,15088,0,65535
0001-0039-0440,148.792,11176.103,6240,15712,0,65535
0001-0040-0463,215.441,11839.606,7536,17328,0,65535
0001-0041-0465,154.948,12089.797,7120,18256,0,65535
0001-0042-0480,328.574,13115.256,3104,24048,0,65535
0001-0043-0474,261.925,16049.919,2320,24480,0,65535
0001-0044-0482,150.278,14254.508,6464,20992,0,65535
0001-0045-0511,444.466,10226.789,5008,16064,0,65535
0001-0046-0527,379.091,12189.581,1536,27728,0,65535
0001-0047-0529,319.235,8693.926,3728,19136,0,65535
0001-0048-0528,118.015,27259.367,2512,65520,0,65535
0001-0049-0568,398.831,15103.438,7072,23840,0,65535
0001-0050-0559,213.531,11530.258,4480,17376,0,65535
0001-0051-0572,289.943,12743.086,5792,22240,0,65535
0001-0052-0589,310.32,16948.651,6208,25616,0,65535
0001-0053-0607,175.537,13115.821,6704,23200,0,65535
0001-0054-0609,276.146,15909.669,8160,26896,0,65535
0001-0055-0612,268.717,15073.555,7600,21488,0,65535
0001-0056-0619,332.395,13734.764,6080,22704,0,65535
0001-0057-0626,331.121,27957.231,8432,48016,0,65535
0001-0058-0630,324.117,11158.926,5936,17040,0,65535
0001-0059-0619,118.864,15470.429,4176,21792,0,65535
0001-0060-0645,270.84,8164.577,1312,12240,0,65535
0001-0061-0652,356.804,13064.5,5136,22032,0,65535
0001-0062-0662,393.949,19482.836,5328,34096,0,65535
0001-0063-0675,415.175,12299.967,5296,17904,0,65535
0001-0064-0688,164.924,11548.87,5616,16368,0,65535
0001-0065-0692,102.52,9403.462,6304,14016,0,65535
0001-0066-0697,258.105,12088.382,5456,19248,0,65535
0001-0067-0702,182.329,14387.26,3408,22928,0,65535
0001-0068-0723,290.58,10369.286,3584,17200,0,65535
0001-0069-0741,466.329,13999.345,7392,22352,0,65535
0001-0070-0746,366.78,38625.509,7776,54016,0,65535
0001-0071-0749,262.35,11439.767,6128,19760,0,65535
0001-0072-0759,224.568,11289.558,3520,18144,0,65535
0001-0073-0761,206.314,11594.025,6528,15936,0,65535
0001-0074-0760,235.181,18209.314,2736,38208,0,65535
0001-0075-0788,235.605,13810.811,1744,26000,0,65535
0001-0076-0794,254.284,17314.19,5936,32480,0,65535
0001-0077-0788,107.614,28962.241,3008,43088,0,65535
0001-0078-0794,336.003,8817.607,2336,14176,0,65535
0001-0079-0800,255.77,17303.635,4384,28688,0,65535
0001-0080-0801,291.641,12069.892,1712,16464,0,65535
0001-0081-0827,230.723,12995.753,4736,19216,0,65535
0001-0082-0826,222.021,12986.616,1328,22464,0,65535
0001-0083-0844,212.682,9862.962,2064,20416,0,65535
0001-0084-0846,203.13,18913.137,2256,42624,0,65535
0001-0085-0846,186.574,11616.728,1024,20960,0,65535
0001-0086-0856,359.139,17042.194,4096,25232,0,65535
0001-0087-0872,164.075,12664.238,1552,23712,0,65535
0001-0088-0871,231.997,21429.46,1632,41312,0,65535
0001-0089-0882,255.345,25817.549,6000,42000,0,65535
0001-0090-0894,490.314,21092.918,2240,47920,0,65535
0001-0091-0898,254.284,12072.467,1440,23440,0,65535
0001-0092-0889,443.83,7565.391,3040,10752,0,65535
0001-0093-0935,262.35,23571.728,4096,36016,0,65535
0002-0001-0020,176.81,22445.791,9536,36048,0,65535
0002-0002-0023,107.402,10452.016,1600,15376,0,65535
0002-0003-0041,297.584,9662.95,4272,16176,0,65535
0002-0004-0050,337.701,16607.497,5232,29168,0,65535
0002-0005-0046,199.309,25263.506,13184,45360,0,65535
0002-0006-0060,353.62,10607.376,2672,20080,0,65535
0002-0007-0064,292.915,9690.829,1776,16816,0,65535
0002-0008-0078,172.14,33410.012,2752,58768,0,65535
0002-0009-0101,602.173,10927.763,4112,17136,0,65535
0002-0010-0135,261.501,18336.636,2000,28704,0,65535
0002-0011-0143,221.809,10208.26,4784,15056,0,65535
0002-0012-0158,108.039,16922.593,9168,23728,0,65535
0002-0013-0162,217.351,15486.828,2768,27456,0,65535
0002-0014-0172,336.427,12256.616,5904,18176,0,65535
0002-0015-0180,230.511,10948.538,4672,16544,0,65535
0002-0016-0183,239.85,12448.538,3152,22112,0,65535
0002-0017-0190,257.892,10133.202,2640,17664,0,65535
0002-0018-0203,459.749,16069.592,7360,24064,0,65535
0002-0019-0199,208.861,9237.122,4512,14704,0,65535
0002-0020-0208,345.554,14742.005,1856,27408,0,65535
0002-0021-0218,135.42,18732.013,5952,28816,0,65535
0002-0022-0236,228.176,8752.491,4464,14064,0,65535
0002-0023-0242,434.915,19428.755,4384,38464,0,65535
0002-0024-0278,248.341,8156.253,3424,13152,0,65535
0002-0025-0282,409.019,11862.194,6336,15936,0,65535
0002-0026-0299,152.401,26450.496,10352,38336,0,65535
0002-0027-0303,215.229,23296.237,5488,34672,0,65535
0002-0028-0310,214.804,12402.055,3104,20048,0,65535
0002-0029-0333,208.224,11141.953,6112,18112,0,65535
0002-0030-0336,326.876,15405.631,1584,26624,0,65535
0002-0031-0360,471.847,14523.149,6720,21936,0,65535
0002-0032-0370,271.901,16767.488,6592,27040,0,65535
0002-0033-0372,193.578,24077.649,2384,45344,0,65535
0002-0034-0422,296.735,12812.635,4704,20432,0,65535
0002-0035-0466,238.365,12124.367,4848,17440,0,65535
0002-0036-0475,262.986,18295.787,8656,30048,0,65535
0002-0037-0491,381.638,8967.092,4128,14352,0,65535
0002-0038-0503,263.836,31015.054,3792,51200,0,65535
0002-0039-0498,123.746,33702.148,5600,60336,0,65535
0002-0040-0512,276.146,24314.183,2144,45216,0,65535
0002-0041-0559,349.587,15788.784,3728,26928,0,65535
0002-0042-0570,231.148,13103.618,4672,20704,0,65535
0002-0043-0574,164.499,31353.001,2768,56016,0,65535
0002-0044-0590,384.398,9146.787,2864,13424,0,65535
0002-0045-0592,264.685,10197.094,2080,15216,0,65535
0002-0046-0588,228.601,13660.732,7584,24496,0,65535
0002-0047-0608,366.78,25226.509,15728,37696,0,65535
0002-0048-0619,348.738,14662.398,6096,24848,0,65535
0002-0049-0626,123.321,17993.859,2400,37872,0,65535
0002-0050-0661,342.371,10435.015,4768,14576,0,65535
0002-0051-0673,306.075,14673.831,9968,18464,0,65535
0002-0052-0671,246.43,11617.75,4512,19712,0,65535
0002-0053-0693,458.687,31215.052,11568,47872,0,65535
0002-0054-0681,208.436,12872.391,5008,18832,0,65535
0002-0055-0691,406.472,18913.763,4976,34576,0,65535
0002-0056-0700,234.12,32513.741,13552,47888,0,65535
0002-0057-0703,280.604,10801.719,4880,17584,0,65535
0002-0058-0713,268.293,11910.848,3200,22288,0,65535
0002-0059-0731,325.602,11420.402,5616,31968,0,65535
0002-0060-0773,323.48,9416.304,4896,14112,0,65535
0002-0061-0777,316.051,12864.741,6592,19888,0,65535
0002-0062-0795,496.894,11654.739,5104,17808,0,65535
0002-0063-0799,380.577,9241.441,4544,15136,0,65535
0002-0064-0810,308.41,11388.278,2240,18784,0,65535
0002-0065-0836,268.505,7891.794,2608,14640,0,65535
0002-0066-0868,399.892,10131.057,2528,20000,0,65535
0002-0067-0868,221.384,11291.72,2992,18896,0,65535
0002-0068-0959,228.389,11419.554,2528,19424,0,65535
0002-0069-0972,447.862,7820.785,1920,12400,0,65535
0002-0070-1002,242.61,14528.658,2416,26864,0,65535
0002-0071-1010,124.17,17542.92,1600,30992,0,65535
0002-0072-1018,239.214,9788.295,928,18208,0,65535
0002-0073-1026,199.309,22606.671,9072,33984,0,65535
0003-0001-0013,139.877,11718.992,3120,20368,0,65535
0003-0002-0019,239.638,17932.797,2032,39216,0,65535
0003-0003-0056,385.034,14580.551,5488,25296,0,65535
