Gene_ID,C1,C2,C3,UC1,UC2,UC3
ENSG00000290825,1,2,0,0,0,0
ENSG00000223972,0,0,0,0,0,1
ENSG00000227232,237,179,178,156,222,201
ENSG00000278267,4,1,4,2,1,4
ENSG00000243485,1,0,0,0,0,0
ENSG00000284332,0,0,0,0,0,0
ENSG00000237613,0,0,0,0,0,0
ENSG00000268020,0,0,0,0,0,0
ENSG00000290826,0,0,0,0,0,0
ENSG00000240361,0,0,0,0,0,0
ENSG00000186092,0,0,0,0,0,0
ENSG00000238009,1,0,0,1,1,1
ENSG00000239945,0,0,0,0,0,0
ENSG00000233750,0,0,0,0,0,0
ENSG00000268903,51,35,50,32,49,41
ENSG00000269981,56,46,62,38,40,37
ENSG00000239906,2,0,0,0,0,0
ENSG00000241860,8,10,8,4,9,14
ENSG00000222623,0,0,0,0,0,1
ENSG00000241599,0,0,0,0,0,0
ENSG00000279928,13,13,9,13,20,17
ENSG00000279457,127,104,115,103,158,130
ENSG00000273874,0,1,0,0,0,0
ENSG00000228463,6,1,4,2,1,4
ENSG00000286448,0,0,0,0,1,0
ENSG00000236679,1,0,1,0,0,1
ENSG00000236601,0,0,0,0,0,0
ENSG00000290385,33,28,26,11,33,14
ENSG00000269732,0,0,0,0,0,0
ENSG00000284733,0,0,0,0,0,0
ENSG00000237094,0,0,0,0,0,0
ENSG00000233653,0,0,0,0,0,0
ENSG00000250575,0,0,0,0,0,0
ENSG00000278757,0,0,0,0,0,0
ENSG00000230021,3,5,3,1,2,1
ENSG00000235146,0,0,0,0,0,0
ENSG00000225972,50,50,69,20,46,38
ENSG00000225630,3602,2978,3151,2039,2926,2600
ENSG00000237973,2098,1790,2021,1189,1818,1525
ENSG00000278791,1,0,2,0,1,0
ENSG00000229344,329,394,450,215,455,422
ENSG00000240409,1,2,0,3,1,2
ENSG00000248527,28345,24027,25300,16281,22786,19576
ENSG00000198744,317,351,264,169,292,277
ENSG00000268663,0,0,0,0,0,0
ENSG00000284662,0,0,0,0,0,0
ENSG00000229376,0,0,0,0,0,0
ENSG00000291215,176,113,126,96,139,141
ENSG00000223181,0,0,0,0,0,0
ENSG00000229905,0,0,0,0,0,0
ENSG00000228327,0,0,0,0,0,0
ENSG00000237491,45,22,25,27,29,27
ENSG00000285268,0,0,0,0,0,0
ENSG00000290784,14,9,4,5,8,11
ENSG00000230092,0,0,0,0,0,0
ENSG00000177757,1,0,4,1,0,0
ENSG00000225880,55,48,52,31,33,25
ENSG00000228794,840,643,736,571,813,719
ENSG00000288531,3,1,3,1,1,2
ENSG00000230368,2,0,0,0,1,0
ENSG00000234711,0,0,0,0,1,0
ENSG00000283040,0,0,0,0,0,0
ENSG00000272438,2,6,1,5,0,1
ENSG00000230699,14,11,5,4,8,10
ENSG00000241180,0,0,0,0,0,0
ENSG00000223764,31,14,13,13,26,17
ENSG00000187634,75,68,46,88,72,35
ENSG00000188976,10213,8047,7625,8331,8368,7655
ENSG00000187961,1279,1042,1142,1009,1230,1133
ENSG00000187583,384,311,312,343,387,333
ENSG00000187642,8,7,8,3,4,1
ENSG00000272512,151,90,142,86,118,100
ENSG00000188290,449,286,340,287,415,367
ENSG00000187608,1047,802,877,931,916,898
ENSG00000231702,6,5,2,3,8,7
ENSG00000224969,0,1,0,1,0,0
ENSG00000188157,27417,16490,16795,20791,21205,18323
ENSG00000242590,0,0,0,0,0,0
ENSG00000291156,87,75,92,76,96,78
ENSG00000273443,17,9,11,13,5,7
ENSG00000217801,27,16,22,16,21,23
ENSG00000237330,5,1,3,0,0,1
ENSG00000131591,1039,758,823,751,943,877
ENSG00000285812,0,0,1,0,0,1
ENSG00000223823,0,0,0,0,0,0
ENSG00000207730,0,0,0,0,0,0
ENSG00000207607,0,0,0,0,0,0
ENSG00000198976,0,0,0,0,0,0
ENSG00000272141,0,0,0,0,0,0
ENSG00000205231,0,0,1,0,0,0
ENSG00000162571,0,0,1,0,0,0
ENSG00000186891,6,10,6,13,9,9
ENSG00000186827,4,3,6,1,1,1
ENSG00000078808,9251,6939,6900,7799,8889,8325
ENSG00000176022,1873,1280,1413,1443,1728,1458
ENSG00000184163,50,35,52,30,44,29
ENSG00000260179,13,16,20,8,13,11
ENSG00000160087,4013,2883,3192,3185,3876,3546
ENSG00000230415,79,52,68,57,103,70
ENSG00000162572,455,307,461,327,436,404
ENSG00000131584,3241,2163,2439,2368,2893,2529
ENSG00000278073,0,0,0,0,0,0
ENSG00000169972,1088,752,772,877,949,846
