Sample,Target,EqCq Mean,Adjusted EqCq Mean,Delta EqCq Mean,Delta EqCq SD,Delta Delta EqCq,RQ,RQ Min,RQ Max
uG-C1-0218,COL4A1,19.49283068,19.49283068,2.496262475,0.039322985,-0.943885384,1.923702074,1.871976598,1.976856801
uG-C1-0218,FOS,30.49328917,30.49328917,13.49672096,0.199845479,-1.289315676,2.444120942,2.127958768,2.807257016
uG-C1-0218,FOSB,28.7872056,28.7872056,11.79063739,0.063801707,,,,
uG-C1-0218,FOSL1,19.4333303,19.4333303,2.436762095,0.087112271,-0.153755972,1.112461935,1.047277452,1.18170362
uG-C1-0218,FOSL2,21.957356,21.957356,4.960787796,0.028778262,-0.525859325,1.43979092,1.411355143,1.468799617
uG-C1-0218,GAPDH,16.99656821,16.99656821,,,,,,
uG-C1-0218,IL1b,27.72357232,27.72357232,10.72700411,0.049372922,,,,
uG-C1-0218,MMP1,33.49608875,33.49608875,16.49952054,0.06806193,,,,
uG-C1-0218,TNF,29.54070954,29.54070954,12.54414133,0.046124855,,,,
uG-C2-0218,COL4A1,19.93523513,19.93523513,2.701204065,0.041658462,-0.738943794,1.66895354,1.621450894,1.717847842
uG-C2-0218,FOS,30.96576288,30.96576288,13.73173181,0.258055342,-1.054304829,2.076717287,1.736580738,2.483474908
uG-C2-0218,FOSB,29.11528432,29.11528432,11.88125325,0.079541222,,,,
uG-C2-0218,FOSL1,19.87988527,19.87988527,2.645854205,0.070180461,0.055336138,0.962370191,0.916675742,1.010342418
uG-C2-0218,FOSL2,22.22385525,22.22385525,4.989824183,0.070026895,-0.496822938,1.411102649,1.344244942,1.481285606
uG-C2-0218,GAPDH,17.23403107,17.23403107,,,,,,
uG-C2-0218,IL1b,28.23959696,28.23959696,11.0055659,0.062525759,,,,
uG-C2-0218,MMP1,34.55297247,34.55297247,17.31894141,0.047037978,,,,
uG-C2-0218,TNF,29.51898791,29.51898791,12.28495684,0.065124562,,,,
uG-C3-0218,COL4A1,19.54564514,19.54564514,2.664191404,0.046483846,-0.775956455,1.712324885,1.65803287,1.768394682
uG-C3-0218,FOS,30.63014513,30.63014513,13.7486914,0.213922875,-1.037345237,2.052447383,1.769598861,2.380505748
uG-C3-0218,FOSB,29.18357969,29.18357969,12.30212596,0.037302775,,,,
uG-C3-0218,FOSL2,22.00405196,22.00405196,5.122598231,0.065753487,-0.36404889,1.287032861,1.22969063,1.347049042
uG-C3-0218,GAPDH,16.88145373,16.88145373,,,,,,
uG-C3-0218,IL1b,27.92855051,27.92855051,11.04709678,0.040932612,,,,
uG-C3-0218,MMP1,33.62088977,33.62088977,16.73943603,0.032623097,,,,
uG-C3-0218,TNF,29.46449418,29.46449418,12.58304044,0.102284154,,,,
uG-E1-0218,COL4A1,19.44887051,19.44887051,2.274267215,0.024536766,-1.165880644,2.24370133,2.205864049,2.282187634
uG-E1-0218,FOS,30.51840598,30.51840598,13.34380269,0.195360719,-1.442233954,2.717413201,2.373265055,3.111466411
uG-E1-0218,FOSB,28.91628893,28.91628893,11.74168564,0.081509159,,,,
uG-E1-0218,FOSL1,19.59616242,19.59616242,2.421559126,0.048915197,-0.168958941,1.124246927,1.086767814,1.163018574
uG-E1-0218,FOSL2,21.95314405,21.95314405,4.77854075,0.028343624,-0.708106371,1.633658429,1.601876303,1.66607113
uG-E1-0218,GAPDH,17.1746033,17.1746033,,,,,,
uG-E1-0218,IL1b,28.05663653,28.05663653,10.88203323,0.047192245,,,,
uG-E1-0218,MMP1,32.94074929,32.94074929,15.76614599,0.040191144,,,,
uG-E1-0218,TNF,29.48167912,29.48167912,12.30707582,0.114926446,,,,
uG-E2-0218,COL4A1,19.29652512,19.29652512,2.395799984,0.068485447,-1.044347875,2.062433889,1.966816588,2.162699651
uG-E2-0218,FOS,30.06905937,30.06905937,13.16833424,0.092166552,-1.617702399,3.068859079,2.878936259,3.271311067
uG-E2-0218,FOSB,27.73479047,27.73479047,10.83406534,0.120351787,,,,
uG-E2-0218,FOSL1,19.60828063,19.60828063,2.707555493,0.078904372,0.117037426,0.922079197,0.873002809,0.973914444
uG-E2-0218,FOSL2,21.77840432,21.77840432,4.877679186,0.069781423,-0.608967935,1.525167755,1.453152902,1.600751496
uG-E2-0218,GAPDH,16.90072513,16.90072513,,,,,,
uG-E2-0218,IL1b,27.6280563,27.6280563,10.72733116,0.098867414,,,,
uG-E2-0218,MMP1,32.00860526,32.00860526,15.10788013,0.069470427,,,,
uG-E2-0218,TNF,30.26616508,30.26616508,13.36543994,0.102544579,,,,
uG-E3-0218,COL4A1,19.58386075,19.58386075,2.556298938,0.019103694,-0.883848921,1.845291737,1.821018056,1.869888979
uG-E3-0218,FOS,29.65685067,29.65685067,12.62928886,0.172646499,-2.156747777,4.459085236,3.95616138,5.025942884
uG-E3-0218,FOSB,27.85373857,27.85373857,10.82617675,0.055910094,,,,
uG-E3-0218,FOSL1,20.04187364,20.04187364,3.014311829,0.02602929,0.423793761,0.745461752,0.732132639,0.759033533
uG-E3-0218,FOSL2,22.07588202,22.07588202,5.048320211,0.025563655,-0.438326911,1.355031989,1.331233141,1.379256296
uG-E3-0218,GAPDH,17.02756181,17.02756181,,,,,,
uG-E3-0218,IL1b,28.07118249,28.07118249,11.04362068,0.083594475,,,,
uG-E3-0218,MMP1,34.82948708,34.82948708,17.80192527,0.036463188,,,,
uG-E3-0218,TNF,29.28594073,29.28594073,12.25837892,0.133387147,,,,
