Group,Rel.Intensity,,,,,,
Ctrl,0.334926371,,,,,,
Ctrl,0.80850317,,,,,,
Ctrl,0.760470983,,,,,,
Ctrl,0.735797414,,,,,,
Ctrl,0.68695331,,,,,,
Ctrl,0.48505938,,,,,,
Ctrl,0.697533861,,,,,,
Ctrl,0.5511453,,,,,,
Ctrl,0.555926823,,,,,,
Ctrl,0.533070214,,,,,,
Ctrl,0.745128136,,,,,,
Ctrl,0.786276915,,,,,,
Ctrl,0.849672097,,,,,,
Ctrl,1.061313697,,,,,,
Ctrl,1.130277529,,,,,,
Ctrl,0.854793587,,,,,,
Ctrl,0.820966701,,,,,,
Ctrl,0.907910688,,,,,,
Ctrl,0.761374727,,,,,,
Comp,0.781860379,,,,,,
Comp,0.812444217,,,,,,
Comp,1.041422382,,,,,,
Comp,0.897022387,,,,,,
Comp,0.990624238,,,,,,
Comp,0.935950347,,,,,,
Comp,1.196890293,,,,,,
Comp,0.926378651,,,,,,
Comp,0.928859072,,,,,,
Comp,0.881902478,,,,,,
Comp,0.998112964,,,,,,
Comp,0.916306988,,,,,,
Comp,0.889459535,,,,,,
Comp,0.938620525,,,,,,
Comp,0.762029094,,,,,,
Comp,0.916003093,,,,,,
