Series,VGLUT MFI,HIF MFI Mean,Sample,Group,NeuN count,DAPI count,NeuN freq
1,1308.23,2709.186,176130_C-MaxIP,C,538,683,0.787701318
2,1279.097,2901.653,176130_C-MaxIP,C,470,563,0.834813499
3,1485.475,2854.592,176130_C-MaxIP,C,468,593,0.78920742
4,1559.817,2898.380,176130_C-MaxIP,C,360,517,0.696324952
5,1833.859,3806.261,176130_C-MaxIP,C,384,494,0.777327935
6,1663.506,4328.725,176130_C-MaxIP,C,384,493,0.778904665
7,1289.757,3737.260,176130_C-MaxIP,C,352,472,0.745762712
1,3137.191,3733.400,178992_C-MaxIP,C,443,640,0.6921875
2,2968.02,4094.355,178992_C-MaxIP,C,518,711,0.728551336
3,3142.068,4353.881,178992_C-MaxIP,C,511,689,0.741654572
4,3397.459,4296.471,178992_C-MaxIP,C,580,782,0.74168798
5,3364.552,4083.007,178992_C-MaxIP,C,697,879,0.79294653
6,3309.798,3925.840,178992_C-MaxIP,C,747,940,0.794680851
7,3346.871,4325.564,178992_C-MaxIP,C,690,715,0.965034965
1,1731.26,4203.584,178993_C-MaxIP,C,474,525,0.902857143
2,1571.865,4551.936,178993_C-MaxIP,C,552,545,1.012844037
3,1923.063,4655.717,178993_C-MaxIP,C,646,586,1.102389078
4,1772.007,4740.764,178993_C-MaxIP,C,595,622,0.95659164
5,1640.573,4781.641,178993_C-MaxIP,C,535,597,0.896147404
6,1859.041,4550.792,178993_C-MaxIP,C,572,567,1.008818342
7,1657.775,4304.011,178993_C-MaxIP,C,612,596,1.026845638
1,1077.221,8234.296,178991_E-MaxIP,E,133,509,0.26129666
2,1424.634,9015.603,178991_E-MaxIP,E,173,434,0.398617512
3,1305.292,9084.688,178991_E-MaxIP,E,169,451,0.374722838
4,1253.528,9655.551,178991_E-MaxIP,E,1620,507,3.195266272
5,1081.549,8760.060,178991_E-MaxIP,E,1292,611,2.114566285
6,1397.653,8582.177,178991_E-MaxIP,E,199,459,0.433551198
7,646.202,4088.642,178991_E-MaxIP,E,1725,507,3.402366864
1,1037.422,7643.397,179041_E_2-MaxIP,E,,,
2,1181.211,6842.148,179041_E_2-MaxIP,E,,,
3,985.369,6834.214,179041_E_2-MaxIP,E,,,
4,928.491,6412.153,179041_E_2-MaxIP,E,,,
5,1110.495,5840.948,179041_E_2-MaxIP,E,,,
6,1324.266,8139.569,179041_E_2-MaxIP,E,,,
7,1743.017,5623.667,179041_E_2-MaxIP,E,,,
1,1979.654,5465.717,179041_E-MaxIP,E,501,568,0.882042254
2,1819.03,7290.236,179041_E-MaxIP,E,508,720,0.705555556
3,1241.939,7028.381,179041_E-MaxIP,E,319,540,0.590740741
4,1005.019,5826.695,179041_E-MaxIP,E,221,538,0.410780669
5,1170.178,5085.165,179041_E-MaxIP,E,250,455,0.549450549
6,1197.024,5729.035,179041_E-MaxIP,E,173,434,0.398617512
7,1160.946,5973.166,179041_E-MaxIP,E,151,425,0.355294118
1,734.206,7355.342,179042_E-MaxIP,E,259,602,0.430232558
2,649.977,6266.555,179042_E-MaxIP,E,160,480,0.333333333
3,784.42,7674.995,179042_E-MaxIP,E,160,437,0.366132723
4,714.213,6668.067,179042_E-MaxIP,E,186,602,0.3089701
5,849.962,6535.169,179042_E-MaxIP,E,223,533,0.418386492
6,913.998,6598.674,179042_E-MaxIP,E,218,572,0.381118881
7,830.103,6396.209,179042_E-MaxIP,E,223,512,0.435546875
8,348.164,2443.501,179042_E-MaxIP,E,63,591,0.106598985
