TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr18	mouse chr18	4.47928015903055e-06	-12.3160482032354	561	74	0.0396145610278373	1868	24140	73137,319262,54607,225182,15526,24066,21417,70640,225341,319195,13653,18145,28105,78656,83885,17131,67222,225115,66878,328949,72747,329002,16948,77619,66060,58801,12532,68982,17126,13831,433182,77805,100042807,212163,69749,67951,16573,17128,59025,12583,24074,72124,30948,66191,20983,26405,15200,73473,225432,319713,240354,56515,225164,240185,225283,67897,17714,69597,11789,13664,20044,13367,107035,67655,69241,106878,240263,140792,66286,76482,68166,106894,54670,383348	Prrc1,Fchsd1,Socs6,Rbbp8,Hspa9,Spry4,Zeb1,Dcp2,Lims2,Rpl17,Egr1,Npc1,Trim36,Brd8,Slc25a2,Smad7,Srfbp1,Svil,Riok3,Mcc,Ttc39c,Zfp236,Lox,Prelid2,Cystm1,Pmaip1,Cdc25c,1500015A07Rik,Smad2,Epc1,Eno1b,Esco1,Eif3j2,Ark2n,Epb41l4aos,Tubb6,Kif5b,Smad4,Usp14,Cdo1,Taf7,Seh1l,Bin1,Ier3ip1,Syt4,Map3k2,Hbegf,Iws1,Rbm27,Ablim3,Malt1,Rnf138,Mib1,Jcad,Rprd1a,Rnmt,Grpel2,Afg3l2,Apc,Eif1a,Rps14,Diaph1,Fbxo38,Ctdp1,Polr2d,Smim3,Fem1c,Colec12,Sec11c,Rmc1,Spire1,Hmgxb3,Atp8b1,Kctd16
mouse chr10 D3|10 74.51 cM	mouse chr10 D3|10 74.51 cM	0.000462673904988899	-7.67848806089933	3	3	0.00160599571734475	1868	24140	104080,407790,108037	Nxph4,Ndufa4l2,Shmt2
mouse chr6 C1|6 32.27 cM	mouse chr6 C1|6 32.27 cM	0.000865098844475541	-7.05266678649085	16	6	0.00321199143468951	1868	24140	22134,232086,66510,12332,68364,28035	Tgoln1,Tmem150a,Rnf181,Capg,0610030E20Rik,Usp39
mouse chr6 A3.3|6 12.36 cM	mouse chr6 A3.3|6 12.36 cM	0.00124990816202404	-6.68468520074778	17	6	0.00321199143468951	1868	24140	68794,23917,245884,232664,69573,12321	Flnc,Impdh1,Garin1a,Ccdc136,Hilpda,Calu
mouse chr1	mouse chr1	0.00149721932267621	-6.50414567614217	1256	126	0.0674518201284797	1868	24140	67702,227333,69953,100217464,76867,12747,15559,68833,435626,93689,56207,269198,72999,63953,226359,70729,226641,18640,109019,70454,73674,19243,13603,98732,208768,18143,78825,98363,14200,66875,77264,73824,16978,67771,26987,100217461,93842,70827,75623,240913,226922,66352,80914,14455,20652,116914,226551,77300,226971,665574,226778,17926,108954,12227,14897,381269,213417,11790,381305,16008,114641,226977,67921,22019,21854,68736,17164,212439,98376,545389,214791,170760,76709,16510,98267,69368,77040,227195,56812,14268,67812,320982,11910,55989,13599,19225,67886,69399,27280,56210,20254,22782,72949,30928,19231,29809,81898,226412,98403,226525,74117,226747,67876,18159,18071,94227,14660,19734,20479,17864,15939,72750,21346,117198,213539,226517,19821,226418,12270,98386,319651,12316,66262,107652,226562,11352	Rnf149,Dgkd,2810025M15Rik,Snora41,Rhbdd1,Clk1,Htr2b,Pdcl3,Rufy4,Lmod1,Uchl5,Nbeal1,Insig2,Dusp10,C1ql2,Nos1ap,Atf6,Pfkfb2,Nabp1,Cenpl,Wdr75,Ptp4a1,Opn3,Rab3gap2,Sde2,Npas2,Desi2,Efhd1,Fhl2,Swt1,Zfp142,Snhg6,Lrrfip1,Arpc5,Eif4e2,Snord89,Igsf9,Trak2,Tex30,Adamts4,Kcnq5,Blzf1,Uck2,Gas5,Soat1,Slc19a2,Suco,Raph1,Plekhb2,Gm7694,Mark1,Myoc,Ppp1r15b,Btg2,Trip12,Mreg,Klhdc8a,Speg,Rc3h1,Igfbp2,Rpl31,Actr1b,Ube2f,Tpp2,Timm17a,Tyw5,Mapkapk2,AA986860,Gorab,Cep170,Sertad4,Acbd3,Arpc2,Kcnh1,Stk17b,Wdfy1,Atg16l1,Ino80d,Dnajb2,Fn1,Ubxn4,Arl4c,Atf3,Nop58,Ecel1,Ptgs2,Camsap2,1700025G04Rik,Phlda3,Rev1,Scg2,Slc30a1,Ccnt2,Zbtb18,Ptma,Rabgap1l,Sf3b1,R3hdm1,Zfp451,Rasal2,Actr3,Ahctf1,Coq10b,Nppc,Nhlh1,Pi15,Gls,Rgs16,Vps4b,Mybl1,Ier5,Fam117b,Tagln2,Ivns1abp,Bag2,Smg7,Rnf2,Yod1,C4bp-ps1,Lbr,Usp37,Aspm,Ing5,Uap1,Prrc2c,Abl2
mouse chr10	mouse chr10	0.00170761893177188	-6.37265531636992	1056	108	0.0578158458244111	1868	24140	70312,80904,103142,268354,13629,17319,380629,13654,18451,58250,70294,17246,12952,12798,66687,75089,66341,216456,432467,21664,237400,19156,17938,216190,21917,11783,69718,118445,56422,215449,215821,237542,14219,15364,13014,103266,114774,67972,19386,59090,66548,268301,12512,216134,23924,104080,17904,77048,108705,15275,56351,108829,71804,213326,19707,108037,208266,94213,18641,13115,15500,74747,211329,68031,71865,70574,67500,59004,100504608,53605,20397,18045,67588,69181,110829,216238,319880,71912,17931,19205,17311,268291,237320,13496,73192,83554,22213,14609,17873,71371,13853,216443,103466,52705,72843,407790,414093,103135,278279,237436,12226,57267,74732,69564,12215,216188,83430,270685	Cactin,Dtx3,Rdh9,Tafa2,Eef2,Mif,Heca,Egr2,P4ha1,Chst11,Rnf126,Mdm2,Cry1,Cnn2,Tbc1d15,Bltp3b,Eid3,Gls2,Hnrnph3,Phlda1,Mex3d,Psap,Naca,Appl2,Tmpo,Apaf1,Ipmk,Klf16,Hbs1l,Rap1b,Arfgef3,Osbpl8,Ccn2,Hmga2,Cstb,Tmem263,Pawr,Atp2b1,Ranbp2,Midn,Adamtsl5,Sowahc,Cd63,Pdxk,Katna1,Nxph4,Myl6,Cep83,Pttg1ip,Hk1,Ptges3,Jmjd1c,Mtfr2,Scyl2,Reps1,Shmt2,Dot1l,Ddx50,Pfkl,Cyp27b1,Hsf2,Ddit4,Ncoa7,Rnf146,Fbxo30,Cpm,Ccar1,Pias4,Eef1akmt3,Nap1l1,Sgpl1,Nfyb,Rnf41,Dyrk2,Lims1,Eea1,Tmcc3,Jsrp1,Ppp1r12a,Ptbp1,Kitl,Rnf217,Aldh8a1,Arid3a,Xpot,Fstl3,Ube2g2,Gja1,Gadd45b,Arid5b,Epm2a,Mars1,Nt5dc3,Krr1,Prdm4,Ndufa4l2,A830082N09Rik,Pan2,Tmtc2,Gas2l3,Btg1,Apba3,Stx11,Nmrk2,Bsg,Aldh1l2,Il23a,Mthfd1l
mouse chr8 B3.1|8 32.3 cM	mouse chr8 B3.1|8 32.3 cM	0.00174344697681105	-6.35189110423471	4	3	0.00160599571734475	1868	24140	77113,12876,66234	Klhl2,Cpe,Msmo1
mouse chr18 A1|18 6.15 cM	mouse chr18 A1|18 6.15 cM	0.00174344697681105	-6.35189110423471	4	3	0.00160599571734475	1868	24140	76482,18145,66878	Rmc1,Npc1,Riok3
mouse chr5	mouse chr5	0.00264780922491435	-5.93402268847466	1288	127	0.0679871520342612	1868	24140	243272,54216,19744,264064,381677,13874,76809,231842,213948,272158,54153,231130,52850,17135,381626,76199,100561,27368,52323,19384,269717,208606,19822,330171,24055,16527,67956,18787,231912,12753,104443,107999,68080,231386,26433,75416,231889,74198,21682,72611,320292,66898,208213,19712,22235,75991,22393,11461,52331,231207,19664,231655,68939,13602,231717,69815,107939,231858,231103,433926,13204,100503199,12452,14825,19248,269682,100978,231380,56317,320717,140780,57915,77407,66913,12740,666311,75788,319804,11987,231510,269113,243219,53324,192292,54188,215210,22190,109108,100532,231646,65961,17165,20535,212090,71782,116873,14284,22388,23790,68770,53323,68473,22628,231915,70701,212996,100494,20005,209707,66681,23857,231506,69282,108099,20310,19046,22226,56715,330189,80751,242819,381686,68098,18984,22629,330192,21814	Sbno1,Pcdh7,Rheb,Cdk8,Vgf,Ereg,Bri3bp,Amz1,Atg9b,Poln,Rasa4,Tnip2,Sgsm1,Mafk,Rbm33,Med13l,Slc15a4,Tbl2,Klhl7,Ran,Orai2,Rsrc2,Rnf4,Kctd10,Sh3bp2,Kcnk3,Kmt5a,Serpine1,Katnal1,Clock,Npffr2,Gtpbp6,Gpn3,Ythdc1,Plod3,Nop14,Bud31,Dtx2,Tec,Zfp655,Rasgef1b,Baiap2l1,Tmem132c,Rest,Ugdh,Slain2,Wfs1,Actb,Stbd1,Cpeb2,Rbpj,Oasl1,Rasl11b,Sparcl1,Pheta1,Krtcap3,Pom121,Radil,Gckr,Lrrc8b,Dhx15,5430416N02Rik,Ccng2,Cxcl1,Ptpn12,Golga3,Nfxl1,Uba6,Anapc7,Pptc7,Bmp2k,Tbc1d1,Rab35,Kdelr2,Cldn4,Zscan25,Smurf1,Glt1d1,Slc7a1,Gpat3,Nup54,2900026A02Rik,Nptx2,Nrbp1,Cpsf4,Tmem120a,Ubc,Slc30a9,Rell1,Myo1h,Utp3,Mapkapk5,Slc4a2,Tmem60,Ankle2,Stim2,Fosl2,Wdr1,Coro1c,Phtf2,Ube2k,Mob1b,Ywhag,Uspl1,Nipal1,Galnt17,Zfand2a,Rpl9,Lcorl,Pgm2,Dmtf1,Lin54,1700001J03Rik,Prkag2,Cxcl2,Ppp1cb,Ucn,Rabgef1,Tmem120b,Rnf34,Rundc3b,Kpna7,Rchy1,Por,Ywhah,Vps37b,Tgfbr3
mouse chr9 F1|9 57.98 cM	mouse chr9 F1|9 57.98 cM	0.00328052091764588	-5.71975305284062	9	4	0.00214132762312634	1868	24140	102626,321006,21767,81000	Mapkapk3,Dcaf1,Tex264,Rad54l2
