TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50089	ZF_RING_2	9.26361307953718e-06	-11.5894164040316	270	49	0.0380730380730381	1287	13384	225164,28105,74365,20439,329581,74164,69837,74198,54484,109113,319817,68350,20437,29864,19822,17246,100978,51902,23806,66510,19821,19820,80751,381305,70928,80904,106021,58186,244421,18140,72193,55992,24017,23807,30945,76073,67588,68098,19647,56515,76892,68846,67702,207742,70294,93836,75234,68031,237400	Mib1,Trim36,Lonrf3,Siah2,Birc7,Nfx1,Pcgf1,Dtx2,Mkrn1,Uhrf2,Rc3h2,Mul1,Siah1a,Rnf11,Rnf4,Mdm2,Nfxl1,Rnf24,Arih1,Rnf181,Rnf2,Rlim,Rnf34,Rc3h1,Trim69,Dtx3,Topors,Rad18,Lonrf1,Uhrf1,Scaf11,Trim3,Rnf13,Arih2,Rnf19a,Pcgf5,Rnf41,Rchy1,Rbbp6,Rnf138,Rnft1,Rnf208,Rnf149,Rnf43,Rnf126,Rnf111,Rnf19b,Rnf146,Mex3d
PS50217	BZIP	5.82602414266978e-05	-9.75059066248864	51	15	0.0116550116550117	1287	13384	11910,14284,14281,12014,17135,12611,11911,17133,378435,226641,16476,14282,11908,14283,16477	Atf3,Fosl2,Fos,Bach2,Mafk,Cebpg,Atf4,Maff,Mafa,Atf6,Jun,Fosb,Atf1,Fosl1,Junb
PS00108	PROTEIN_KINASE_ST	0.000100924487929544	-9.20113796501031	311	51	0.0396270396270396	1287	13384	98267,12795,12750,214897,20620,12747,109333,224105,69181,17165,27103,17691,110651,65964,27373,140780,279561,74178,102414,24086,12649,381979,68943,328329,26400,223435,226778,18759,18607,11790,26385,69131,50772,102626,18715,78943,108079,223775,26419,17164,338372,19108,19878,17776,13143,12675,107951,15258,18712,18817,264064	Stk17b,Plk3,Clk4,Csnk1g1,Plk2,Clk1,Pkn2,Pak2,Dyrk2,Mapkapk5,Eif2ak4,Sik1,Rps6ka3,Map3k20,Csnk1e,Bmp2k,Wnk3,Stk40,Clk3,Tlk2,Chek1,Brsk1,Pink1,Mast4,Map2k7,Trio,Mark1,Prkci,Pdpk1,Speg,Grk6,Cdk12,Mapk6,Mapkapk3,Pim2,Ern1,Prkaa2,Pim3,Mapk8,Mapkapk2,Map3k9,Prkx,Rock2,Mast2,Dapk2,Chuk,Cdk9,Hipk2,Pim1,Plk1,Cdk8
PS50021	CH	0.000160071859675294	-8.73988772058539	80	19	0.0147630147630148	1287	13384	12316,170736,192176,320878,29856,60595,67886,21346,237436,12798,68794,109711,227634,21345,78286,286940,27008,194401,12797	Aspm,Parvb,Flna,Mical2,Smtn,Actn4,Camsap2,Tagln2,Gas2l3,Cnn2,Flnc,Actn1,Camsap1,Tagln,Nav2,Flnb,Micall1,Mical3,Cnn1
PS00036	BZIP_BASIC	0.000221494564055077	-8.4151125102923	34	11	0.00854700854700855	1287	13384	14283,16477,14282,11908,226641,16476,11911,14281,12014,14284,11910	Fosl1,Junb,Fosb,Atf1,Atf6,Jun,Atf4,Fos,Bach2,Fosl2,Atf3
PS00960	BTG_1	0.000356406633736842	-7.93943824936227	8	5	0.00388500388500389	1287	13384	57259,12228,12227,12226,22057	Tob2,Btg3,Btg2,Btg1,Tob1
PS01203	BTG_2	0.000356406633736842	-7.93943824936227	8	5	0.00388500388500389	1287	13384	12228,57259,22057,12226,12227	Btg3,Tob2,Tob1,Btg1,Btg2
PS51184	JMJC	0.000438358301241158	-7.73247394263629	31	10	0.00777000777000777	1287	13384	104263,68736,107817,20591,16468,108829,338523,76804,216850,15460	Kdm3a,Tyw5,Jmjd6,Kdm5c,Jarid2,Jmjd1c,Kdm7a,Kdm4c,Kdm6b,Hr
PS50003	PH_DOMAIN	0.000591216509214813	-7.43332826379661	237	39	0.0303030303030303	1287	13384	211945,216190,19158,380921,72993,223435,77300,68743,74309,54153,78618,19417,67220,71704,71801,21844,230098,237542,14389,239027,20403,19878,102693,69601,217198,24055,101497,232237,74486,21682,381605,227333,226525,231717,20648,101476,226971,218952,102075	Plekhh1,Appl2,Cyth2,Dgkh,Appl1,Trio,Raph1,Anln,Osbp2,Rasa4,Acap2,Rasgrf1,Plekho1,Arhgef3,Plekhf2,Tiam1,Arhgef39,Osbpl8,Gab2,Arhgap22,Itsn2,Rock2,Phldb1,Dab2ip,Plekhh3,Sh3bp2,Plekhg2,Fgd5,Osbpl10,Tec,Tbc1d2,Dgkd,Rasal2,Pheta1,Snta1,Plekha1,Plekhb2,Fermt2,Plekhg4
PS01132	ACTINS_ACT_LIKE	0.000739689880993306	-7.20927953934329	13	6	0.00466200466200466	1287	13384	11475,226977,74117,11459,11461,11465	Acta2,Actr1b,Actr3,Acta1,Actb,Actg1
